PRCP       012108 19110101 20151231 missing_value=99999.9 WONGANOO                                  
19110101 19111231   158.5
19120101 19121231    81.1
19130101 19131231   201.6
19140101 19141231   166.5
19150101 19151231   286.2
19160101 19161231   193.1
19170101 19171231   364.1
19180101 19181231   282.9
19190101 19191231   278.1
19200101 19201231   174.2
19210101 19211231   252.6
19220101 19221231   169.0
19230101 19231231   133.0
19240101 19241231   113.9
19250101 19251231   255.0
19260101 19261231   173.1
19270101 19271231   351.3
19280101 19281231   108.6
19290101 19291231   141.9
19300101 19301231   341.2
19310101 19311231   325.9
19320101 19321231   102.4
19330101 19331231   185.7
19340101 19341231   243.2
19350101 19351231   122.6
19360101 19361231    61.2
19370101 19371231   100.1
19380101 19381231   137.1
19390101 19391231   216.3
19400101 19401231    63.7
19410101 19411231   247.3
19420101 19421231   579.8
19430101 19431231   106.6
19440101 19441231    70.7
19450101 19451231   204.1
19460101 19461231   272.6
19470101 19471231   339.5
19480101 19481231   308.1
19490101 19491231   164.2
19500101 19501231    76.8
19510101 19511231   137.2
19520101 19521231   183.2
19530101 19531231   197.3
19540101 19541231   219.7
19550101 19551231   425.9
19560101 19561231   130.2
19570101 19571231    69.4
19580101 19581231   313.8
19590101 19591231   117.0
19600101 19601231   242.3
19610101 19611231    79.8
19620101 19621231   105.6
19630101 19631231   325.6
19640101 19641231   114.9
19650101 19651231   257.4
19660101 19661231   106.0
19670101 19671231   198.1
19680101 19681231   313.0
19690101 19691231   107.1
19700101 19701231   125.7
19710101 19711231   124.0
19720101 19721231    73.2
19730101 19731231   470.8
19740101 19741231   376.6
19750101 19751231   324.9
19760101 19761231    49.2
19770101 19771231   119.3
19780101 19781231   284.5
19790101 19791231   155.7
19800101 19801231   464.4
19810101 19811231   105.4
19820101 19821231   278.8
19830101 19831231   211.7
19840101 19841231   204.9
19850101 19851231   419.3
19860101 19861231   188.3
19870101 19871231   353.8
19880101 19881231   203.0
19890101 19891231   195.7
19900101 19901231   257.0
19910101 19911231    98.1
19920101 19921231   313.8
19930101 19931231   136.5
19940101 19941231   157.1
19950101 19951231   349.3
19960101 19961231   382.3
19970101 19971231   383.8
19980101 19981231   352.4
19990101 19991231   319.4
20000101 20001231   440.7
20010101 20011231   381.0
20020101 20021231   263.3
20030101 20031231   239.5
20040101 20041231   346.8
20050101 20051231   118.1
20060101 20061231   509.7
20070101 20071231   205.7
20080101 20081231   152.9
20090101 20091231   129.9
20100101 20101231   199.9
20110101 20111231   338.6
20120101 20121231   264.7
20130101 20131231   195.9
20140101 20141231   344.6
20150101 20151231   187.3
