PRCP       013002 19510101 20171231 missing_value=99999.9 GLEN AYLE                                 
19510101 19511231   124.5
19520101 19521231   146.6
19530101 19531231   209.4
19540101 19541231   251.4
19550101 19551231   386.3
19560101 19561231   138.5
19570101 19571231   137.9
19580101 19581231   228.5
19590101 19591231   131.7
19600101 19601231   309.8
19610101 19611231   143.9
19620101 19621231   149.4
19630101 19631231   232.0
19640101 19641231   194.5
19650101 19651231   197.3
19660101 19661231   268.2
19670101 19671231   387.6
19680101 19681231   325.0
19690101 19691231   149.4
19700101 19701231   191.3
19710101 19711231   143.0
19720101 19721231   135.7
19730101 19731231   477.0
19740101 19741231   357.7
19750101 19751231   305.0
19760101 19761231   134.6
19770101 19771231    44.4
19780101 19781231   353.2
19790101 19791231   174.2
19800101 19801231   377.0
19810101 19811231    52.0
19820101 19821231   247.0
19830101 19831231   192.8
19840101 19841231   308.0
19850101 19851231    75.4
19860101 19861231    86.8
19870101 19871231   354.6
19880101 19881231   246.6
19890101 19891231   118.9
19900101 19901231   168.6
19910101 19911231   172.9
19920101 19921231   373.1
19930101 19931231   330.0
19940101 19941231   149.6
19950101 19951231   612.9
19960101 19961231   193.3
19970101 19971231   518.6
19980101 19981231   270.2
19990101 19991231   494.0
20000101 20001231   388.9
20010101 20011231   351.0
20020101 20021231   411.0
20030101 20031231   408.1
20040101 20041231   311.2
20050101 20051231   196.6
20060101 20061231   493.0
20070101 20071231   374.1
20080101 20081231 99999.9
20090101 20091231   101.0
20100101 20101231   228.1
20110101 20111231   615.8
20120101 20121231   312.9
20130101 20131231   347.2
20140101 20141231   329.3
20150101 20151231   333.5
20160101 20161231   203.8
20170101 20171231   374.9
