PRCP       013017 19570101 20171231 missing_value=99999.9 GILES METEOROLOGICAL OFFICE               
19570101 19571231   237.7
19580101 19581231   244.2
19590101 19591231   125.4
19600101 19601231   307.7
19610101 19611231    38.0
19620101 19621231   199.7
19630101 19631231   149.1
19640101 19641231   141.2
19650101 19651231   127.3
19660101 19661231   250.3
19670101 19671231   320.6
19680101 19681231   342.5
19690101 19691231   321.7
19700101 19701231   143.7
19710101 19711231   246.4
19720101 19721231   116.8
19730101 19731231   547.6
19740101 19741231   782.4
19750101 19751231   304.2
19760101 19761231   158.6
19770101 19771231   189.8
19780101 19781231   273.3
19790101 19791231   245.0
19800101 19801231   277.0
19810101 19811231   249.6
19820101 19821231   401.2
19830101 19831231   425.2
19840101 19841231   217.0
19850101 19851231    83.6
19860101 19861231   201.4
19870101 19871231   261.0
19880101 19881231   234.6
19890101 19891231   424.2
19900101 19901231   158.2
19910101 19911231   238.0
19920101 19921231   298.4
19930101 19931231   297.0
19940101 19941231   183.2
19950101 19951231   254.6
19960101 19961231   183.8
19970101 19971231   285.0
19980101 19981231   375.4
19990101 19991231   535.0
20000101 20001231   617.0
20010101 20011231   843.4
20020101 20021231   156.0
20030101 20031231   460.6
20040101 20041231   230.4
20050101 20051231   315.6
20060101 20061231   257.0
20070101 20071231   279.6
20080101 20081231   237.6
20090101 20091231   167.2
20100101 20101231   337.6
20110101 20111231   554.6
20120101 20121231   233.2
20130101 20131231   300.6
20140101 20141231   343.2
20150101 20151231   250.0
20160101 20161231   517.8
20170101 20171231   375.4
