PRCP       014015 19020101 20171231 missing_value=99999.9 DARWIN AIRPORT                            
19020101 19021231  1287.1
19030101 19031231  1464.1
19040101 19041231  1981.1
19050101 19051231  1604.3
19060101 19061231  1209.7
19070101 19071231  1774.0
19080101 19081231  1567.8
19090101 19091231  1700.5
19100101 19101231  2364.5
19110101 19111231  1051.3
19120101 19121231  1638.8
19130101 19131231  1077.8
19140101 19141231  1519.2
19150101 19151231  1584.4
19160101 19161231  1817.4
19170101 19171231  2341.0
19180101 19181231  1626.0
19190101 19191231  1467.4
19200101 19201231  1675.9
19210101 19211231  1459.6
19220101 19221231  2276.2
19230101 19231231  1785.8
19240101 19241231  1313.0
19250101 19251231  1849.5
19260101 19261231  1418.6
19270101 19271231  1237.1
19280101 19281231  1200.9
19290101 19291231  1734.7
19300101 19301231  1241.7
19310101 19311231  1389.0
19320101 19321231  1887.0
19330101 19331231  1844.7
19340101 19341231  1451.8
19350101 19351231  1389.3
19360101 19361231  1417.4
19370101 19371231  1141.8
19380101 19381231  1639.7
19390101 19391231  1627.7
19400101 19401231  1574.5
19410101 19411231  1547.7
19420101 19421231  1686.8
19430101 19431231  1566.0
19440101 19441231  1559.3
19450101 19451231  1716.0
19460101 19461231  1024.7
19470101 19471231  1672.2
19480101 19481231  1303.9
19490101 19491231  1680.6
19500101 19501231  1809.0
19510101 19511231  1152.2
19520101 19521231  1104.4
19530101 19531231  1698.3
19540101 19541231  1893.1
19550101 19551231  1735.5
19560101 19561231  2307.0
19570101 19571231  1883.9
19580101 19581231  1076.9
19590101 19591231  1552.1
19600101 19601231  1755.7
19610101 19611231  1120.8
19620101 19621231  1621.8
19630101 19631231  1333.7
19640101 19641231  1703.5
19650101 19651231  1554.4
19660101 19661231  1369.6
19670101 19671231  1627.3
19680101 19681231  2121.2
19690101 19691231  1946.7
19700101 19701231  1224.4
19710101 19711231  1972.5
19720101 19721231  1491.5
19730101 19731231  1666.7
19740101 19741231  2643.9
19750101 19751231  1909.8
19760101 19761231  1562.7
19770101 19771231  2385.1
19780101 19781231  1734.4
19790101 19791231  1197.1
19800101 19801231  1844.8
19810101 19811231  2164.4
19820101 19821231  1494.6
19830101 19831231  1886.2
19840101 19841231  1948.8
19850101 19851231  1233.8
19860101 19861231  1737.8
19870101 19871231  1977.8
19880101 19881231  1853.0
19890101 19891231  1480.4
19900101 19901231  1343.4
19910101 19911231  1975.6
19920101 19921231  1407.4
19930101 19931231  1569.0
19940101 19941231  1580.6
19950101 19951231  2455.4
19960101 19961231  1803.6
19970101 19971231  2282.8
19980101 19981231  2776.6
19990101 19991231  1892.0
20000101 20001231  2140.8
20010101 20011231  1443.8
20020101 20021231  1214.4
20030101 20031231  1968.2
20040101 20041231  1778.2
20050101 20051231  1360.2
20060101 20061231  1803.0
20070101 20071231  1808.4
20080101 20081231  1962.7
20090101 20091231  1742.4
20100101 20101231  2257.2
20110101 20111231  2686.0
20120101 20121231  1723.7
20130101 20131231  1759.4
20140101 20141231  1547.4
20150101 20151231  1743.8
20160101 20161231  1355.0
20170101 20171231  2200.8
