PRCP       015085 19040101 20171231 missing_value=99999.9 BRUNETTE DOWNS                            
19040101 19041231   539.4
19050101 19051231   118.9
19060101 19061231   391.5
19070101 19071231   451.1
19080101 19081231   199.1
19090101 19091231 99999.9
19100101 19101231   399.6
19110101 19111231   270.5
19120101 19121231   153.9
19130101 19131231   322.3
19140101 19141231   258.2
19150101 19151231   151.7
19160101 19161231   395.9
19170101 19171231   417.3
19180101 19181231   549.1
19190101 19191231   837.4
19200101 19201231   716.1
19210101 19211231   795.4
19220101 19221231   350.8
19230101 19231231   290.6
19240101 19241231   368.6
19250101 19251231   277.5
19260101 19261231   302.4
19270101 19271231   399.7
19280101 19281231   211.0
19290101 19291231   313.2
19300101 19301231   621.1
19310101 19311231   237.1
19320101 19321231   267.7
19330101 19331231   351.2
19340101 19341231   200.7
19350101 19351231   252.5
19360101 19361231   349.8
19370101 19371231   285.8
19380101 19381231   167.9
19390101 19391231   387.0
19400101 19401231   341.8
19410101 19411231  1031.1
19420101 19421231   294.2
19430101 19431231   249.3
19440101 19441231   556.3
19450101 19451231   279.7
19460101 19461231   427.9
19470101 19471231   293.2
19480101 19481231   281.6
19490101 19491231   494.7
19500101 19501231   458.0
19510101 19511231   392.0
19520101 19521231   252.9
19530101 19531231   668.2
19540101 19541231   302.5
19550101 19551231   424.8
19560101 19561231   423.4
19570101 19571231   215.5
19580101 19581231   178.9
19590101 19591231   425.6
19600101 19601231   567.5
19610101 19611231   168.9
19620101 19621231   267.0
19630101 19631231   221.9
19640101 19641231   418.5
19650101 19651231   433.7
19660101 19661231   304.1
19670101 19671231   571.5
19680101 19681231   302.9
19690101 19691231   373.2
19700101 19701231   207.0
19710101 19711231   439.7
19720101 19721231   223.1
19730101 19731231   859.5
19740101 19741231   849.4
19750101 19751231   918.1
19760101 19761231  1200.4
19770101 19771231   811.1
19780101 19781231   503.7
19790101 19791231   401.9
19800101 19801231   186.7
19810101 19811231   657.4
19820101 19821231   351.3
19830101 19831231   309.4
19840101 19841231   621.4
19850101 19851231   226.7
19860101 19861231   358.4
19870101 19871231   352.0
19880101 19881231   196.8
19890101 19891231   375.0
19900101 19901231   287.2
19910101 19911231   445.8
19920101 19921231   190.2
19930101 19931231   543.8
19940101 19941231   233.3
19950101 19951231   417.5
19960101 19961231   374.2
19970101 19971231   529.3
19980101 19981231   450.6
19990101 19991231   676.4
20000101 20001231  1092.1
20010101 20011231   400.8
20020101 20021231   288.4
20030101 20031231   671.2
20040101 20041231   444.6
20050101 20051231   396.0
20060101 20061231   577.4
20070101 20071231   474.2
20080101 20081231   270.8
20090101 20091231   649.1
20100101 20101231   563.7
20110101 20111231   858.6
20120101 20121231   430.6
20130101 20131231   219.0
20140101 20141231   684.2
20150101 20151231   828.6
20160101 20161231   639.0
20170101 20171231   453.5
