PRCP       015135 19700101 20171231 missing_value=99999.9 TENNANT CREEK AIRPORT                     
19700101 19701231   170.0
19710101 19711231   403.6
19720101 19721231   227.4
19730101 19731231   527.5
19740101 19741231   727.4
19750101 19751231   519.1
19760101 19761231   584.5
19770101 19771231   835.3
19780101 19781231   415.2
19790101 19791231   317.3
19800101 19801231   278.8
19810101 19811231   502.8
19820101 19821231   663.8
19830101 19831231   401.2
19840101 19841231   688.4
19850101 19851231   275.6
19860101 19861231   231.6
19870101 19871231   329.4
19880101 19881231   345.0
19890101 19891231   297.6
19900101 19901231   226.0
19910101 19911231   501.2
19920101 19921231   202.4
19930101 19931231   824.2
19940101 19941231   211.0
19950101 19951231   356.6
19960101 19961231   341.8
19970101 19971231   722.2
19980101 19981231   287.2
19990101 19991231   418.4
20000101 20001231  1004.2
20010101 20011231   728.0
20020101 20021231   425.8
20030101 20031231   685.6
20040101 20041231   416.8
20050101 20051231   332.4
20060101 20061231   610.0
20070101 20071231   451.2
20080101 20081231   225.4
20090101 20091231   456.8
20100101 20101231   823.6
20110101 20111231   924.0
20120101 20121231   495.4
20130101 20131231   243.5
20140101 20141231   512.6
20150101 20151231   680.1
20160101 20161231   535.2
20170101 20171231   505.2
