PRCP       015553 18880101 20151231 missing_value=99999.9 HAMILTON DOWNS                            
18880101 18881231   290.0
18890101 18891231   407.7
18900101 18901231   212.6
18910101 18911231   387.0
18920101 18921231   171.8
18930101 18931231   290.8
18940101 18941231   431.9
18950101 18951231   545.3
18960101 18961231   250.8
18970101 18971231   134.5
18980101 18981231   239.7
18990101 18991231   164.8
19000101 19001231   249.9
19010101 19011231   195.0
19020101 19021231   122.5
19030101 19031231   327.5
19040101 19041231   240.4
19050101 19051231   159.0
19060101 19061231   204.2
19070101 19071231   219.2
19080101 19081231   469.6
19090101 19091231   233.7
19100101 19101231   400.4
19110101 19111231   237.9
19120101 19121231   280.6
19130101 19131231   195.1
19140101 19141231   510.5
19150101 19151231    66.7
19160101 19161231   328.8
19170101 19171231   326.9
19180101 19181231   153.9
19190101 19191231   318.0
19200101 19201231   536.1
19210101 19211231   501.0
19220101 19221231   377.8
19230101 19231231   407.4
19240101 19241231   133.4
19250101 19251231   344.9
19260101 19261231   215.8
19270101 19271231   142.5
19280101 19281231    77.9
19290101 19291231   109.0
19300101 19301231   387.2
19310101 19311231   178.8
19320101 19321231   260.1
19330101 19331231   231.5
19340101 19341231   208.0
19350101 19351231   173.9
19360101 19361231   173.0
19370101 19371231   292.1
19380101 19381231   174.1
19390101 19391231   308.3
19400101 19401231   247.3
19410101 19411231   333.7
19420101 19421231   321.0
19430101 19431231   309.2
19440101 19441231   162.0
19450101 19451231   143.8
19460101 19461231   218.9
19470101 19471231   292.9
19480101 19481231   184.0
19490101 19491231   292.5
19500101 19501231   493.9
19510101 19511231   123.4
19520101 19521231   310.4
19530101 19531231   542.3
19540101 19541231   236.5
19550101 19551231   239.9
19560101 19561231   248.5
19570101 19571231   316.5
19580101 19581231   159.0
19590101 19591231   124.5
19600101 19601231   197.9
19610101 19611231    85.3
19620101 19621231   337.9
19630101 19631231    74.5
19640101 19641231   121.1
19650101 19651231    91.1
19660101 19661231   280.3
19670101 19671231   286.9
19680101 19681231   476.1
19690101 19691231   231.3
19700101 19701231   160.0
19710101 19711231   153.8
19720101 19721231   309.0
19730101 19731231   604.7
19740101 19741231   813.2
19750101 19751231   499.0
19760101 19761231   343.4
19770101 19771231   509.6
19780101 19781231   382.9
19790101 19791231   298.0
19800101 19801231   181.3
19810101 19811231   323.8
19820101 19821231   335.1
19830101 19831231   602.0
19840101 19841231   501.6
19850101 19851231   170.8
19860101 19861231   363.7
19870101 19871231   176.7
19880101 19881231   386.5
19890101 19891231   289.5
19900101 19901231   216.6
19910101 19911231   170.0
19920101 19921231   200.7
19930101 19931231   481.5
19940101 19941231   114.8
19950101 19951231   339.8
19960101 19961231 99999.9
19970101 19971231   359.8
19980101 19981231   256.4
19990101 19991231   263.7
20000101 20001231   623.0
20010101 20011231   624.7
20020101 20021231   118.6
20030101 20031231   225.1
20040101 20041231   234.6
20050101 20051231   337.4
20060101 20061231   203.8
20070101 20071231   185.4
20080101 20081231   193.9
20090101 20091231 99999.9
20100101 20101231   627.2
20110101 20111231   393.6
20120101 20121231   249.1
20130101 20131231   177.5
20140101 20141231   309.3
20150101 20151231   240.2
