PRCP       015590 19010101 20171231 missing_value=99999.9 ALICE SPRINGS AIRPORT                     
19010101 19011231   185.2
19020101 19021231   126.2
19030101 19031231   298.7
19040101 19041231   325.0
19050101 19051231   189.8
19060101 19061231   213.4
19070101 19071231   177.8
19080101 19081231   254.2
19090101 19091231   161.0
19100101 19101231   399.4
19110101 19111231   132.7
19120101 19121231   220.3
19130101 19131231   115.9
19140101 19141231   223.9
19150101 19151231   108.5
19160101 19161231   266.5
19170101 19171231   240.6
19180101 19181231   103.0
19190101 19191231   114.4
19200101 19201231   380.6
19210101 19211231   427.2
19220101 19221231   267.5
19230101 19231231   224.0
19240101 19241231    97.5
19250101 19251231   143.4
19260101 19261231   164.8
19270101 19271231    90.2
19280101 19281231    58.0
19290101 19291231   220.6
19300101 19301231   247.8
19310101 19311231   124.9
19320101 19321231   170.2
19330101 19331231   185.4
19340101 19341231   137.1
19350101 19351231   157.7
19360101 19361231   279.1
19370101 19371231   199.5
19380101 19381231   139.4
19390101 19391231   290.4
19400101 19401231   178.2
19410101 19411231   297.6
19420101 19421231   217.1
19430101 19431231   299.8
19440101 19441231   215.0
19450101 19451231   222.8
19460101 19461231   294.1
19470101 19471231   370.1
19480101 19481231   194.3
19490101 19491231   292.8
19500101 19501231   374.3
19510101 19511231   159.3
19520101 19521231   207.9
19530101 19531231   324.8
19540101 19541231   225.1
19550101 19551231   241.2
19560101 19561231   276.2
19570101 19571231   237.9
19580101 19581231   176.9
19590101 19591231   154.9
19600101 19601231   232.0
19610101 19611231    92.9
19620101 19621231   195.8
19630101 19631231   108.1
19640101 19641231   123.5
19650101 19651231    82.1
19660101 19661231   389.4
19670101 19671231   236.2
19680101 19681231   462.5
19690101 19691231   184.9
19700101 19701231   175.8
19710101 19711231   125.5
19720101 19721231   271.3
19730101 19731231   449.4
19740101 19741231   782.5
19750101 19751231   601.2
19760101 19761231   551.9
19770101 19771231   372.0
19780101 19781231   428.8
19790101 19791231   308.0
19800101 19801231   169.4
19810101 19811231   309.6
19820101 19821231   293.6
19830101 19831231   548.6
19840101 19841231   289.0
19850101 19851231   120.6
19860101 19861231   394.0
19870101 19871231   184.2
19880101 19881231   375.6
19890101 19891231   237.6
19900101 19901231   188.8
19910101 19911231   147.8
19920101 19921231   194.8
19930101 19931231   342.4
19940101 19941231    88.8
19950101 19951231   353.4
19960101 19961231    85.2
19970101 19971231   433.4
19980101 19981231   295.2
19990101 19991231   162.8
20000101 20001231   663.8
20010101 20011231   741.2
20020101 20021231   197.8
20030101 20031231   159.4
20040101 20041231   218.8
20050101 20051231   246.4
20060101 20061231   136.4
20070101 20071231   232.2
20080101 20081231   247.4
20090101 20091231    76.8
20100101 20101231   769.6
20110101 20111231   366.4
20120101 20121231   210.4
20130101 20131231   184.2
20140101 20141231   251.4
20150101 20151231   349.2
20160101 20161231   373.2
20170101 20171231   167.0
