PRCP       015593 19510101 20071231 missing_value=99999.9 ALCOOTA                                   
19510101 19511231   106.2
19520101 19521231   250.8
19530101 19531231   194.9
19540101 19541231   202.0
19550101 19551231   252.8
19560101 19561231   385.5
19570101 19571231   261.4
19580101 19581231   131.3
19590101 19591231   150.2
19600101 19601231   299.9
19610101 19611231    75.2
19620101 19621231   305.5
19630101 19631231   130.7
19640101 19641231   104.7
19650101 19651231    88.3
19660101 19661231   237.5
19670101 19671231   210.2
19680101 19681231   432.5
19690101 19691231   260.8
19700101 19701231   237.6
19710101 19711231   158.0
19720101 19721231   318.4
19730101 19731231   349.7
19740101 19741231  1254.3
19750101 19751231   537.5
19760101 19761231   605.0
19770101 19771231   466.5
19780101 19781231   450.8
19790101 19791231   407.2
19800101 19801231   224.8
19810101 19811231   290.4
19820101 19821231   265.6
19830101 19831231   481.8
19840101 19841231   378.4
19850101 19851231   186.0
19860101 19861231   335.4
19870101 19871231   175.2
19880101 19881231   190.4
19890101 19891231   182.1
19900101 19901231   286.6
19910101 19911231   435.4
19920101 19921231   268.0
19930101 19931231   342.8
19940101 19941231    64.2
19950101 19951231   453.8
19960101 19961231   136.0
19970101 19971231   397.0
19980101 19981231   361.4
19990101 19991231   281.6
20000101 20001231   662.2
20010101 20011231   555.9
20020101 20021231   166.7
20030101 20031231   102.6
20040101 20041231   201.0
20050101 20051231   227.7
20060101 20061231   124.4
20070101 20071231   279.7
