PRCP       016009 18860101 20121231 missing_value=99999.9 COONDAMBO                                 
18860101 18861231    93.4
18870101 18871231   225.9
18880101 18881231    97.4
18890101 18891231   387.8
18900101 18901231   227.5
18910101 18911231   157.5
18920101 18921231   185.0
18930101 18931231   130.1
18940101 18941231    92.2
18950101 18951231   225.9
18960101 18961231   163.9
18970101 18971231   103.3
18980101 18981231   137.1
18990101 18991231   154.5
19000101 19001231   100.9
19010101 19011231   174.4
19020101 19021231    85.2
19030101 19031231   277.3
19040101 19041231   182.8
19050101 19051231   104.4
19060101 19061231   177.4
19070101 19071231   203.3
19080101 19081231   251.6
19090101 19091231   236.1
19100101 19101231   306.1
19110101 19111231   141.9
19120101 19121231   216.5
19130101 19131231   169.5
19140101 19141231   110.6
19150101 19151231   148.6
19160101 19161231   196.1
19170101 19171231   222.0
19180101 19181231   144.0
19190101 19191231   146.1
19200101 19201231   324.9
19210101 19211231   362.2
19220101 19221231   117.9
19230101 19231231   119.3
19240101 19241231   169.1
19250101 19251231    94.1
19260101 19261231   112.9
19270101 19271231   137.7
19280101 19281231    49.9
19290101 19291231    72.2
19300101 19301231   154.2
19310101 19311231   192.5
19320101 19321231   181.9
19330101 19331231   107.8
19340101 19341231   132.3
19350101 19351231    96.0
19360101 19361231    88.0
19370101 19371231   143.4
19380101 19381231   226.1
19390101 19391231   162.0
19400101 19401231    42.2
19410101 19411231   182.7
19420101 19421231   128.6
19430101 19431231    77.4
19440101 19441231    69.9
19450101 19451231   211.9
19460101 19461231   349.1
19470101 19471231   230.2
19480101 19481231    52.4
19490101 19491231   252.9
19500101 19501231   254.3
19510101 19511231   121.1
19520101 19521231   185.7
19530101 19531231   108.7
19540101 19541231   201.3
19550101 19551231   189.0
19560101 19561231   221.7
19570101 19571231    78.9
19580101 19581231   205.7
19590101 19591231   106.4
19600101 19601231   170.8
19610101 19611231   127.3
19620101 19621231    91.5
19630101 19631231   153.1
19640101 19641231   133.0
19650101 19651231   110.3
19660101 19661231   199.0
19670101 19671231    54.0
19680101 19681231   237.7
19690101 19691231   227.0
19700101 19701231   113.2
19710101 19711231   164.7
19720101 19721231    57.2
19730101 19731231   445.3
19740101 19741231   502.8
19750101 19751231   202.6
19760101 19761231   173.0
19770101 19771231    80.9
19780101 19781231   140.8
19790101 19791231   296.2
19800101 19801231   112.2
19810101 19811231   176.8
19820101 19821231    68.0
19830101 19831231   126.8
19840101 19841231   134.0
19850101 19851231   123.4
19860101 19861231   167.8
19870101 19871231   140.2
19880101 19881231   148.6
19890101 19891231   315.5
19900101 19901231   236.8
19910101 19911231   114.8
19920101 19921231   488.8
19930101 19931231   164.4
19940101 19941231    86.2
19950101 19951231   229.2
19960101 19961231   148.6
19970101 19971231   214.2
19980101 19981231   260.7
19990101 19991231    93.0
20000101 20001231   201.7
20010101 20011231   242.4
20020101 20021231    44.2
20030101 20031231   212.0
20040101 20041231   126.4
20050101 20051231   187.6
20060101 20061231    76.0
20070101 20071231   192.6
20080101 20081231 99999.9
20090101 20091231 99999.9
20100101 20101231   209.8
20110101 20111231   271.2
20120101 20121231    91.2
