PRCP       016033 18870101 20101231 missing_value=99999.9 OAKDEN HILLS                              
18870101 18871231   192.9
18880101 18881231    75.4
18890101 18891231   359.0
18900101 18901231   236.3
18910101 18911231   185.3
18920101 18921231   233.5
18930101 18931231   161.3
18940101 18941231   109.4
18950101 18951231   276.3
18960101 18961231   118.9
18970101 18971231    87.4
18980101 18981231   157.6
18990101 18991231   171.8
19000101 19001231   127.3
19010101 19011231   155.0
19020101 19021231    60.6
19030101 19031231   379.3
19040101 19041231   251.4
19050101 19051231   137.7
19060101 19061231   200.3
19070101 19071231   191.2
19080101 19081231   253.6
19090101 19091231   208.0
19100101 19101231   283.2
19110101 19111231   151.4
19120101 19121231   152.3
19130101 19131231   164.0
19140101 19141231    85.8
19150101 19151231   162.2
19160101 19161231   215.0
19170101 19171231   260.0
19180101 19181231   131.3
19190101 19191231   176.6
19200101 19201231   356.5
19210101 19211231   364.5
19220101 19221231   129.3
19230101 19231231   147.3
19240101 19241231   177.2
19250101 19251231   112.3
19260101 19261231   136.2
19270101 19271231    93.5
19280101 19281231    46.3
19290101 19291231    84.9
19300101 19301231   180.7
19310101 19311231   207.5
19320101 19321231   180.9
19330101 19331231   143.8
19340101 19341231   123.8
19350101 19351231    95.5
19360101 19361231    91.2
19370101 19371231   163.4
19380101 19381231   246.8
19390101 19391231   181.5
19400101 19401231    55.6
19410101 19411231   161.6
19420101 19421231   142.0
19430101 19431231    80.9
19440101 19441231   129.2
19450101 19451231   186.1
19460101 19461231   370.5
19470101 19471231   210.0
19480101 19481231    77.1
19490101 19491231   199.4
19500101 19501231   208.1
19510101 19511231   141.8
19520101 19521231   139.8
19530101 19531231   104.9
19540101 19541231   152.7
19550101 19551231   216.7
19560101 19561231   173.2
19570101 19571231    46.6
19580101 19581231   257.5
19590101 19591231   105.1
19600101 19601231   141.2
19610101 19611231   130.5
19620101 19621231   178.5
19630101 19631231   158.6
19640101 19641231   121.2
19650101 19651231    97.2
19660101 19661231   233.8
19670101 19671231   110.1
19680101 19681231   327.6
19690101 19691231   196.7
19700101 19701231    91.4
19710101 19711231   211.1
19720101 19721231   135.8
19730101 19731231   375.5
19740101 19741231   428.2
19750101 19751231   140.4
19760101 19761231   204.0
19770101 19771231   115.4
19780101 19781231   182.6
19790101 19791231   389.8
19800101 19801231   184.5
19810101 19811231   162.4
19820101 19821231    63.0
19830101 19831231   192.0
19840101 19841231   177.6
19850101 19851231   125.5
19860101 19861231   210.6
19870101 19871231   184.6
19880101 19881231   185.6
19890101 19891231   376.0
19900101 19901231   168.5
19910101 19911231   161.8
19920101 19921231   466.8
19930101 19931231   174.2
19940101 19941231   133.0
19950101 19951231   179.8
19960101 19961231   191.6
19970101 19971231   226.0
19980101 19981231   242.2
19990101 19991231   152.8
20000101 20001231   185.6
20010101 20011231   229.0
20020101 20021231    77.3
20030101 20031231   161.0
20040101 20041231   188.2
20050101 20051231   191.6
20060101 20061231   154.0
20070101 20071231   233.5
20080101 20081231   216.6
20090101 20091231   178.4
20100101 20101231   278.0
