PRCP       017024 18790101 20171231 missing_value=99999.9 FARINA                                    
18790101 18791231   167.4
18800101 18801231    97.9
18810101 18811231    96.8
18820101 18821231   202.1
18830101 18831231   131.7
18840101 18841231   142.5
18850101 18851231   196.1
18860101 18861231   165.9
18870101 18871231   254.8
18880101 18881231    58.7
18890101 18891231   217.0
18900101 18901231   315.1
18910101 18911231   187.8
18920101 18921231   116.4
18930101 18931231   151.2
18940101 18941231   160.8
18950101 18951231   170.1
18960101 18961231    86.0
18970101 18971231   110.6
18980101 18981231   184.3
18990101 18991231   219.1
19000101 19001231    91.3
19010101 19011231   121.6
19020101 19021231    46.7
19030101 19031231   158.5
19040101 19041231   366.8
19050101 19051231   136.9
19060101 19061231   285.6
19070101 19071231   218.2
19080101 19081231   189.9
19090101 19091231   169.8
19100101 19101231   252.2
19110101 19111231   130.2
19120101 19121231   163.5
19130101 19131231   154.9
19140101 19141231   116.5
19150101 19151231   113.4
19160101 19161231   184.9
19170101 19171231   184.6
19180101 19181231   131.5
19190101 19191231   167.5
19200101 19201231   340.2
19210101 19211231   166.7
19220101 19221231    92.5
19230101 19231231   173.8
19240101 19241231   176.7
19250101 19251231   138.9
19260101 19261231   198.7
19270101 19271231    64.1
19280101 19281231   109.1
19290101 19291231    71.6
19300101 19301231   195.0
19310101 19311231   144.0
19320101 19321231   179.7
19330101 19331231    91.9
19340101 19341231    83.5
19350101 19351231   108.1
19360101 19361231   110.4
19370101 19371231   161.9
19380101 19381231   130.3
19390101 19391231   233.7
19400101 19401231    63.8
19410101 19411231   199.9
19420101 19421231   136.7
19430101 19431231    91.0
19440101 19441231   129.0
19450101 19451231   159.5
19460101 19461231   236.3
19470101 19471231   127.2
19480101 19481231   153.3
19490101 19491231   136.1
19500101 19501231   272.7
19510101 19511231    64.2
19520101 19521231   149.7
19530101 19531231   216.4
19540101 19541231   162.4
19550101 19551231   356.5
19560101 19561231   271.2
19570101 19571231   123.8
19580101 19581231   241.7
19590101 19591231    83.0
19600101 19601231    59.8
19610101 19611231   132.7
19620101 19621231   145.2
19630101 19631231   232.9
19640101 19641231    79.9
19650101 19651231    81.7
19660101 19661231   129.7
19670101 19671231    47.4
19680101 19681231   262.6
19690101 19691231   113.0
19700101 19701231    90.7
19710101 19711231   153.0
19720101 19721231   165.3
19730101 19731231   384.9
19740101 19741231   372.2
19750101 19751231   325.6
19760101 19761231   268.2
19770101 19771231    31.0
19780101 19781231   198.7
19790101 19791231   301.3
19800101 19801231    85.8
19810101 19811231   129.4
19820101 19821231    63.4
19830101 19831231    91.5
19840101 19841231   287.6
19850101 19851231   109.8
19860101 19861231   185.1
19870101 19871231   185.2
19880101 19881231   170.7
19890101 19891231   332.0
19900101 19901231   130.4
19910101 19911231    75.8
19920101 19921231   260.0
19930101 19931231   242.1
19940101 19941231    69.6
19950101 19951231   213.8
19960101 19961231   104.2
19970101 19971231 99999.9
19980101 19981231   168.7
19990101 19991231    89.7
20000101 20001231   280.2
20010101 20011231   188.1
20020101 20021231    52.4
20030101 20031231   108.3
20040101 20041231   127.5
20050101 20051231   120.8
20060101 20061231    68.0
20070101 20071231   101.8
20080101 20081231   112.1
20090101 20091231   165.5
20100101 20101231   406.2
20110101 20111231   305.0
20120101 20121231   171.8
20130101 20131231    98.8
20140101 20141231   207.5
20150101 20151231   256.6
20160101 20161231   278.1
20170101 20171231   198.6
