PRCP       017031 18860101 20141231 missing_value=99999.9 MARREE                                    
18860101 18861231   205.4
18870101 18871231   165.9
18880101 18881231    59.8
18890101 18891231   227.6
18900101 18901231   136.7
18910101 18911231   145.5
18920101 18921231   114.9
18930101 18931231   182.8
18940101 18941231   197.7
18950101 18951231   156.7
18960101 18961231   124.3
18970101 18971231    92.3
18980101 18981231   139.5
18990101 18991231   189.6
19000101 19001231    88.2
19010101 19011231    69.2
19020101 19021231    55.9
19030101 19031231   187.9
19040101 19041231   255.9
19050101 19051231   130.1
19060101 19061231   235.4
19070101 19071231   155.7
19080101 19081231   164.7
19090101 19091231   128.1
19100101 19101231   230.7
19110101 19111231   178.2
19120101 19121231   126.5
19130101 19131231   157.1
19140101 19141231   213.8
19150101 19151231    91.6
19160101 19161231   148.2
19170101 19171231   165.9
19180101 19181231   128.9
19190101 19191231   123.2
19200101 19201231   255.9
19210101 19211231   184.1
19220101 19221231    92.4
19230101 19231231   121.5
19240101 19241231   132.6
19250101 19251231   111.3
19260101 19261231   143.7
19270101 19271231   136.3
19280101 19281231   112.7
19290101 19291231    93.3
19300101 19301231   221.1
19310101 19311231   107.4
19320101 19321231   193.7
19330101 19331231    97.0
19340101 19341231    83.5
19350101 19351231   109.2
19360101 19361231   115.6
19370101 19371231   170.4
19380101 19381231   118.2
19390101 19391231   291.2
19400101 19401231    54.1
19410101 19411231   355.4
19420101 19421231   156.5
19430101 19431231    76.3
19440101 19441231    87.1
19450101 19451231   137.0
19460101 19461231   190.6
19470101 19471231   116.7
19480101 19481231   204.1
19490101 19491231   159.0
19500101 19501231   408.7
19510101 19511231    86.8
19520101 19521231   135.2
19530101 19531231   179.6
19540101 19541231   155.9
19550101 19551231   352.4
19560101 19561231   239.8
19570101 19571231   141.5
19580101 19581231   265.3
19590101 19591231    80.8
19600101 19601231    71.4
19610101 19611231   111.2
19620101 19621231    96.0
19630101 19631231   146.9
19640101 19641231   121.3
19650101 19651231    87.6
19660101 19661231   121.5
19670101 19671231    39.3
19680101 19681231   177.0
19690101 19691231   138.6
19700101 19701231   119.1
19710101 19711231   132.1
19720101 19721231   147.8
19730101 19731231   324.1
19740101 19741231   387.6
19750101 19751231   342.8
19760101 19761231   379.1
19770101 19771231    79.2
19780101 19781231   203.2
19790101 19791231   358.2
19800101 19801231   183.0
19810101 19811231   190.8
19820101 19821231    60.2
19830101 19831231    73.4
19840101 19841231   283.9
19850101 19851231   102.4
19860101 19861231   182.5
19870101 19871231   158.2
19880101 19881231   199.7
19890101 19891231   305.6
19900101 19901231   130.0
19910101 19911231    87.5
19920101 19921231   241.7
19930101 19931231   244.2
19940101 19941231    75.1
19950101 19951231   260.7
19960101 19961231    96.5
19970101 19971231   212.7
19980101 19981231   190.0
19990101 19991231    78.1
20000101 20001231   223.3
20010101 20011231   284.2
20020101 20021231    42.0
20030101 20031231   126.9
20040101 20041231   107.3
20050101 20051231   124.6
20060101 20061231    82.8
20070101 20071231    78.3
20080101 20081231   155.8
20090101 20091231   134.1
20100101 20101231   353.3
20110101 20111231   172.4
20120101 20121231   137.9
20130101 20131231   104.0
20140101 20141231   164.2
