PRCP       018001 19080101 20171231 missing_value=99999.9 ARNO BAY                                  
19080101 19081231   389.6
19090101 19091231   340.0
19100101 19101231   420.7
19110101 19111231   351.1
19120101 19121231   331.6
19130101 19131231   249.3
19140101 19141231   219.6
19150101 19151231   326.8
19160101 19161231   398.2
19170101 19171231   420.0
19180101 19181231   218.5
19190101 19191231   275.5
19200101 19201231   379.3
19210101 19211231   416.5
19220101 19221231   248.1
19230101 19231231   309.6
19240101 19241231   274.3
19250101 19251231   269.4
19260101 19261231   307.1
19270101 19271231   247.0
19280101 19281231   274.4
19290101 19291231   303.1
19300101 19301231   284.0
19310101 19311231   339.2
19320101 19321231   437.0
19330101 19331231   337.7
19340101 19341231   364.2
19350101 19351231   397.4
19360101 19361231   253.9
19370101 19371231   303.8
19380101 19381231   283.3
19390101 19391231   393.8
19400101 19401231   273.8
19410101 19411231   312.0
19420101 19421231   376.7
19430101 19431231   255.3
19440101 19441231   255.8
19450101 19451231   367.7
19460101 19461231   508.3
19470101 19471231   389.8
19480101 19481231   238.9
19490101 19491231   385.6
19500101 19501231   424.5
19510101 19511231   384.1
19520101 19521231   373.1
19530101 19531231   366.0
19540101 19541231   282.8
19550101 19551231   410.9
19560101 19561231   420.4
19570101 19571231   151.1
19580101 19581231   370.9
19590101 19591231   169.2
19600101 19601231   329.9
19610101 19611231   209.8
19620101 19621231   275.2
19630101 19631231   354.4
19640101 19641231   418.0
19650101 19651231   238.5
19660101 19661231   439.6
19670101 19671231   191.9
19680101 19681231   434.5
19690101 19691231   333.1
19700101 19701231   251.3
19710101 19711231   322.9
19720101 19721231   242.3
19730101 19731231   376.8
19740101 19741231   484.0
19750101 19751231   305.8
19760101 19761231   235.6
19770101 19771231   250.6
19780101 19781231   393.0
19790101 19791231   452.5
19800101 19801231   210.0
19810101 19811231   298.8
19820101 19821231   153.4
19830101 19831231   411.2
19840101 19841231   261.7
19850101 19851231   275.1
19860101 19861231   254.4
19870101 19871231   221.2
19880101 19881231   212.2
19890101 19891231   407.8
19900101 19901231   290.4
19910101 19911231   254.1
19920101 19921231   540.4
19930101 19931231   366.0
19940101 19941231   165.0
19950101 19951231   299.8
19960101 19961231   286.0
19970101 19971231   353.0
19980101 19981231   287.0
19990101 19991231   283.8
20000101 20001231   366.4
20010101 20011231   309.4
20020101 20021231   216.4
20030101 20031231   342.0
20040101 20041231   175.8
20050101 20051231   307.8
20060101 20061231   258.4
20070101 20071231   242.2
20080101 20081231   235.0
20090101 20091231   249.0
20100101 20101231   486.0
20110101 20111231   394.6
20120101 20121231   233.8
20130101 20131231   344.8
20140101 20141231   265.2
20150101 20151231   341.2
20160101 20161231   395.4
20170101 20171231   313.3
