PRCP       018045 18770101 20161231 missing_value=99999.9 LAKE HAMILTON                             
18770101 18771231   500.1
18780101 18781231   382.5
18790101 18791231   487.1
18800101 18801231   386.1
18810101 18811231   288.8
18820101 18821231   429.5
18830101 18831231   501.8
18840101 18841231   297.5
18850101 18851231   416.8
18860101 18861231   356.0
18870101 18871231   439.0
18880101 18881231   320.8
18890101 18891231   624.9
18900101 18901231   600.2
18910101 18911231   324.0
18920101 18921231   490.5
18930101 18931231   489.5
18940101 18941231   398.1
18950101 18951231   364.5
18960101 18961231   416.9
18970101 18971231   247.0
18980101 18981231   358.5
18990101 18991231   346.7
19000101 19001231   477.2
19010101 19011231   496.1
19020101 19021231   342.9
19030101 19031231   482.2
19040101 19041231   453.7
19050101 19051231   432.6
19060101 19061231   459.5
19070101 19071231   353.6
19080101 19081231   464.5
19090101 19091231   535.1
19100101 19101231   594.1
19110101 19111231   393.6
19120101 19121231   467.7
19130101 19131231   333.2
19140101 19141231   308.1
19150101 19151231   470.2
19160101 19161231   528.0
19170101 19171231   552.0
19180101 19181231   300.1
19190101 19191231   308.5
19200101 19201231   698.5
19210101 19211231   470.0
19220101 19221231   423.2
19230101 19231231   445.3
19240101 19241231   329.9
19250101 19251231   380.4
19260101 19261231   450.8
19270101 19271231   323.9
19280101 19281231   274.1
19290101 19291231   372.8
19300101 19301231   264.6
19310101 19311231   425.0
19320101 19321231   602.3
19330101 19331231   436.9
19340101 19341231   356.3
19350101 19351231   552.7
19360101 19361231   314.9
19370101 19371231   401.1
19380101 19381231   464.9
19390101 19391231   567.8
19400101 19401231   346.4
19410101 19411231   391.8
19420101 19421231   511.3
19430101 19431231   478.2
19440101 19441231   353.2
19450101 19451231   344.4
19460101 19461231   465.9
19470101 19471231   518.0
19480101 19481231   409.6
19490101 19491231   411.0
19500101 19501231   356.5
19510101 19511231   517.1
19520101 19521231   452.2
19530101 19531231   471.5
19540101 19541231   386.4
19550101 19551231   497.2
19560101 19561231   633.0
19570101 19571231   254.8
19580101 19581231   474.1
19590101 19591231   213.6
19600101 19601231   474.2
19610101 19611231   383.0
19620101 19621231   364.0
19630101 19631231   456.0
19640101 19641231   528.8
19650101 19651231   356.0
19660101 19661231   565.3
19670101 19671231   321.4
19680101 19681231   671.2
19690101 19691231   436.9
19700101 19701231   428.7
19710101 19711231   678.8
19720101 19721231   404.6
19730101 19731231   532.9
19740101 19741231   509.1
19750101 19751231   519.4
19760101 19761231   407.2
19770101 19771231   329.2
19780101 19781231   520.6
19790101 19791231   588.0
19800101 19801231   405.4
19810101 19811231   586.4
19820101 19821231   353.4
19830101 19831231   588.2
19840101 19841231   425.2
19850101 19851231   464.1
19860101 19861231   386.8
19870101 19871231   355.5
19880101 19881231   351.6
19890101 19891231   470.6
19900101 19901231   511.8
19910101 19911231   327.0
19920101 19921231   727.0
19930101 19931231   416.6
19940101 19941231   245.6
19950101 19951231   475.6
19960101 19961231   467.0
19970101 19971231   442.6
19980101 19981231   381.0
19990101 19991231   300.0
20000101 20001231   517.8
20010101 20011231   529.6
20020101 20021231   322.6
20030101 20031231   512.8
20040101 20041231   429.3
20050101 20051231   443.0
20060101 20061231   344.0
20070101 20071231   388.0
20080101 20081231   390.8
20090101 20091231   507.4
20100101 20101231   652.0
20110101 20111231   450.4
20120101 20121231   394.6
20130101 20131231   501.2
20140101 20141231   333.8
20150101 20151231   351.8
20160101 20161231   563.2
