PRCP       018057 19070101 20161231 missing_value=99999.9 MOUNT WUDINNA                             
19070101 19071231   282.2
19080101 19081231   372.9
19090101 19091231   388.9
19100101 19101231   389.8
19110101 19111231   330.3
19120101 19121231   381.7
19130101 19131231   282.7
19140101 19141231   217.7
19150101 19151231   443.1
19160101 19161231   458.8
19170101 19171231   526.6
19180101 19181231   301.0
19190101 19191231   266.5
19200101 19201231   410.6
19210101 19211231   476.7
19220101 19221231   261.5
19230101 19231231   437.7
19240101 19241231   317.5
19250101 19251231   263.5
19260101 19261231   405.4
19270101 19271231   250.4
19280101 19281231   187.5
19290101 19291231   215.2
19300101 19301231   321.7
19310101 19311231   346.5
19320101 19321231   406.9
19330101 19331231   265.0
19340101 19341231   217.3
19350101 19351231   419.2
19360101 19361231   292.8
19370101 19371231   345.4
19380101 19381231   314.9
19390101 19391231   299.5
19400101 19401231   178.0
19410101 19411231   271.5
19420101 19421231   380.1
19430101 19431231   216.2
19440101 19441231   208.7
19450101 19451231   314.3
19460101 19461231   468.1
19470101 19471231   292.9
19480101 19481231   210.1
19490101 19491231   363.5
19500101 19501231   351.9
19510101 19511231   427.7
19520101 19521231   360.3
19530101 19531231   333.3
19540101 19541231   226.2
19550101 19551231   416.1
19560101 19561231   670.2
19570101 19571231   212.4
19580101 19581231   398.1
19590101 19591231   229.0
19600101 19601231   444.0
19610101 19611231   232.6
19620101 19621231   296.5
19630101 19631231   264.1
19640101 19641231   333.9
19650101 19651231   288.2
19660101 19661231   531.4
19670101 19671231   221.2
19680101 19681231   579.3
19690101 19691231   352.3
19700101 19701231   261.0
19710101 19711231   365.8
19720101 19721231   272.9
19730101 19731231   412.7
19740101 19741231   511.8
19750101 19751231   335.5
19760101 19761231   220.2
19770101 19771231   318.4
19780101 19781231   419.8
19790101 19791231   410.6
19800101 19801231   275.2
19810101 19811231   362.8
19820101 19821231   227.8
19830101 19831231   360.8
19840101 19841231   293.8
19850101 19851231   310.0
19860101 19861231   291.2
19870101 19871231   239.8
19880101 19881231   177.0
19890101 19891231   360.8
19900101 19901231   321.8
19910101 19911231   286.8
19920101 19921231   601.8
19930101 19931231   379.0
19940101 19941231   157.4
19950101 19951231   274.2
19960101 19961231   303.2
19970101 19971231   323.5
19980101 19981231   318.8
19990101 19991231   300.6
20000101 20001231   466.7
20010101 20011231   411.8
20020101 20021231   250.4
20030101 20031231   314.0
20040101 20041231   260.8
20050101 20051231   363.1
20060101 20061231   228.6
20070101 20071231   260.7
20080101 20081231   236.4
20090101 20091231   365.4
20100101 20101231   330.6
20110101 20111231   398.2
20120101 20121231 99999.9
20130101 20131231   375.8
20140101 20141231   371.0
20150101 20151231   343.6
20160101 20161231   450.8
