PRCP       018065 19100101 20031231 missing_value=99999.9 PINESIDE                                  
19100101 19101231   383.9
19110101 19111231   330.5
19120101 19121231   344.3
19130101 19131231   287.6
19140101 19141231   249.0
19150101 19151231   374.6
19160101 19161231   399.5
19170101 19171231   409.1
19180101 19181231   206.7
19190101 19191231   249.0
19200101 19201231   381.0
19210101 19211231   430.1
19220101 19221231   229.8
19230101 19231231   291.1
19240101 19241231   300.5
19250101 19251231   299.9
19260101 19261231   393.3
19270101 19271231   278.2
19280101 19281231   272.2
19290101 19291231   292.6
19300101 19301231   278.4
19310101 19311231   291.9
19320101 19321231   421.8
19330101 19331231   361.0
19340101 19341231   312.2
19350101 19351231   400.9
19360101 19361231   227.9
19370101 19371231   356.7
19380101 19381231   276.6
19390101 19391231   409.2
19400101 19401231   212.0
19410101 19411231   295.3
19420101 19421231   338.3
19430101 19431231   231.1
19440101 19441231   240.2
19450101 19451231   316.7
19460101 19461231   356.8
19470101 19471231   339.1
19480101 19481231   199.6
19490101 19491231   346.0
19500101 19501231   369.0
19510101 19511231   354.9
19520101 19521231   369.2
19530101 19531231   353.5
19540101 19541231   268.9
19550101 19551231   387.6
19560101 19561231   427.9
19570101 19571231   163.8
19580101 19581231   341.0
19590101 19591231   193.6
19600101 19601231   318.0
19610101 19611231   242.4
19620101 19621231   288.6
19630101 19631231   361.2
19640101 19641231   423.0
19650101 19651231   259.9
19660101 19661231   385.6
19670101 19671231   148.9
19680101 19681231   580.7
19690101 19691231   403.4
19700101 19701231   292.0
19710101 19711231   353.1
19720101 19721231   393.8
19730101 19731231   439.0
19740101 19741231   519.9
19750101 19751231   361.8
19760101 19761231   298.0
19770101 19771231   263.2
19780101 19781231   405.6
19790101 19791231   515.6
19800101 19801231   252.0
19810101 19811231   371.6
19820101 19821231   179.2
19830101 19831231   447.6
19840101 19841231   290.4
19850101 19851231   307.0
19860101 19861231   285.8
19870101 19871231   250.4
19880101 19881231   250.8
19890101 19891231   422.4
19900101 19901231   346.6
19910101 19911231   275.2
19920101 19921231   666.7
19930101 19931231   326.2
19940101 19941231   175.2
19950101 19951231   324.8
19960101 19961231   337.6
19970101 19971231   409.6
19980101 19981231   247.8
19990101 19991231   304.0
20000101 20001231   401.2
20010101 20011231   304.0
20020101 20021231   245.0
20030101 20031231   330.7
