PRCP       018069 18820101 20171231 missing_value=99999.9 ELLISTON                                  
18820101 18821231   364.1
18830101 18831231   439.0
18840101 18841231   338.1
18850101 18851231   398.2
18860101 18861231   314.6
18870101 18871231   420.9
18880101 18881231   352.9
18890101 18891231   570.4
18900101 18901231   539.1
18910101 18911231   309.3
18920101 18921231   469.3
18930101 18931231   456.6
18940101 18941231   433.4
18950101 18951231   365.8
18960101 18961231   497.3
18970101 18971231   266.2
18980101 18981231   317.9
18990101 18991231   376.2
19000101 19001231   481.9
19010101 19011231   482.6
19020101 19021231   326.2
19030101 19031231   472.8
19040101 19041231   369.2
19050101 19051231   430.4
19060101 19061231   440.1
19070101 19071231   337.7
19080101 19081231   459.5
19090101 19091231   464.2
19100101 19101231   532.2
19110101 19111231   502.7
19120101 19121231   475.5
19130101 19131231   274.1
19140101 19141231   276.8
19150101 19151231   431.1
19160101 19161231   481.9
19170101 19171231   599.6
19180101 19181231   338.2
19190101 19191231   312.9
19200101 19201231   674.0
19210101 19211231   440.3
19220101 19221231   438.0
19230101 19231231   523.7
19240101 19241231   388.5
19250101 19251231   418.6
19260101 19261231   460.9
19270101 19271231   381.4
19280101 19281231   310.2
19290101 19291231   341.4
19300101 19301231   260.9
19310101 19311231   474.2
19320101 19321231   567.1
19330101 19331231   469.4
19340101 19341231   377.7
19350101 19351231   447.7
19360101 19361231   300.9
19370101 19371231   444.2
19380101 19381231   447.8
19390101 19391231   597.8
19400101 19401231   435.6
19410101 19411231   433.0
19420101 19421231   503.7
19430101 19431231   497.2
19440101 19441231   351.8
19450101 19451231   342.7
19460101 19461231   463.4
19470101 19471231   515.4
19480101 19481231   393.9
19490101 19491231   409.7
19500101 19501231   443.9
19510101 19511231   574.9
19520101 19521231   479.0
19530101 19531231   458.7
19540101 19541231   361.2
19550101 19551231   459.0
19560101 19561231   642.4
19570101 19571231   299.9
19580101 19581231   418.8
19590101 19591231   183.8
19600101 19601231   473.3
19610101 19611231   316.5
19620101 19621231   441.6
19630101 19631231   481.7
19640101 19641231   512.1
19650101 19651231   365.5
19660101 19661231   493.4
19670101 19671231   349.5
19680101 19681231   645.9
19690101 19691231   323.7
19700101 19701231   382.4
19710101 19711231   619.3
19720101 19721231   346.3
19730101 19731231   480.5
19740101 19741231   530.7
19750101 19751231   509.8
19760101 19761231   476.3
19770101 19771231   341.0
19780101 19781231   590.2
19790101 19791231   562.6
19800101 19801231   406.3
19810101 19811231   503.4
19820101 19821231   311.8
19830101 19831231   525.7
19840101 19841231   459.9
19850101 19851231   396.1
19860101 19861231   451.9
19870101 19871231   336.4
19880101 19881231   313.7
19890101 19891231   471.3
19900101 19901231   399.8
19910101 19911231   290.6
19920101 19921231   641.8
19930101 19931231   386.2
19940101 19941231 99999.9
19950101 19951231   438.6
19960101 19961231   415.2
19970101 19971231   447.6
19980101 19981231   313.0
19990101 19991231   322.1
20000101 20001231   468.7
20010101 20011231   436.7
20020101 20021231   306.4
20030101 20031231   477.5
20040101 20041231   379.9
20050101 20051231   453.5
20060101 20061231   322.1
20070101 20071231   365.4
20080101 20081231   361.9
20090101 20091231   502.4
20100101 20101231   551.6
20110101 20111231   451.8
20120101 20121231   378.3
20130101 20131231   483.8
20140101 20141231   377.7
20150101 20151231   300.8
20160101 20161231   543.9
20170101 20171231   450.8
