PRCP       018073 19100101 20051231 missing_value=99999.9 PUNTABIE                                  
19100101 19101231   309.7
19110101 19111231   291.3
19120101 19121231   264.1
19130101 19131231   322.9
19140101 19141231   185.4
19150101 19151231   248.5
19160101 19161231   415.2
19170101 19171231   449.2
19180101 19181231   247.9
19190101 19191231   269.2
19200101 19201231   365.4
19210101 19211231   360.4
19220101 19221231   244.9
19230101 19231231   369.0
19240101 19241231   276.0
19250101 19251231   309.0
19260101 19261231   325.9
19270101 19271231   220.4
19280101 19281231   198.5
19290101 19291231   219.6
19300101 19301231   189.6
19310101 19311231   359.6
19320101 19321231   307.2
19330101 19331231   286.8
19340101 19341231   200.4
19350101 19351231   334.9
19360101 19361231   199.4
19370101 19371231   320.6
19380101 19381231   352.9
19390101 19391231   301.4
19400101 19401231    93.0
19410101 19411231   301.5
19420101 19421231   328.4
19430101 19431231   241.1
19440101 19441231   172.6
19450101 19451231   190.7
19460101 19461231   237.2
19470101 19471231   226.0
19480101 19481231   173.9
19490101 19491231   272.5
19500101 19501231   325.7
19510101 19511231   352.4
19520101 19521231   300.8
19530101 19531231   274.7
19540101 19541231   218.0
19550101 19551231   279.8
19560101 19561231   453.6
19570101 19571231   160.8
19580101 19581231   347.1
19590101 19591231   146.8
19600101 19601231   369.2
19610101 19611231   240.1
19620101 19621231   255.2
19630101 19631231   318.0
19640101 19641231   370.7
19650101 19651231   146.5
19660101 19661231   464.2
19670101 19671231   168.1
19680101 19681231   465.3
19690101 19691231   294.4
19700101 19701231   156.8
19710101 19711231   310.0
19720101 19721231   219.4
19730101 19731231   392.2
19740101 19741231   368.7
19750101 19751231   232.8
19760101 19761231   197.2
19770101 19771231   187.6
19780101 19781231   338.8
19790101 19791231   340.4
19800101 19801231   229.6
19810101 19811231   307.6
19820101 19821231   210.8
19830101 19831231   359.8
19840101 19841231   276.0
19850101 19851231   201.2
19860101 19861231   293.2
19870101 19871231   193.2
19880101 19881231   199.7
19890101 19891231   287.2
19900101 19901231   336.8
19910101 19911231   274.0
19920101 19921231   516.2
19930101 19931231   306.8
19940101 19941231   146.0
19950101 19951231   246.2
19960101 19961231   250.8
19970101 19971231   356.2
19980101 19981231   280.4
19990101 19991231 99999.9
20000101 20001231   332.8
20010101 20011231   368.4
20020101 20021231   207.2
20030101 20031231   251.8
20040101 20041231   282.8
20050101 20051231   331.4
