PRCP       018106 18880101 20171231 missing_value=99999.9 NULLARBOR ROADHOUSE                       
18880101 18881231   174.7
18890101 18891231   481.1
18900101 18901231   282.4
18910101 18911231   156.2
18920101 18921231   322.7
18930101 18931231   301.5
18940101 18941231   158.1
18950101 18951231   148.3
18960101 18961231   227.3
18970101 18971231   211.7
18980101 18981231   171.4
18990101 18991231   188.9
19000101 19001231   343.9
19010101 19011231   275.0
19020101 19021231   296.2
19030101 19031231   197.5
19040101 19041231   275.3
19050101 19051231    91.8
19060101 19061231   205.4
19070101 19071231   176.0
19080101 19081231   295.3
19090101 19091231   321.9
19100101 19101231   251.8
19110101 19111231   240.2
19120101 19121231   218.1
19130101 19131231   167.4
19140101 19141231   166.7
19150101 19151231   162.5
19160101 19161231   283.9
19170101 19171231   310.2
19180101 19181231   167.8
19190101 19191231   249.8
19200101 19201231   145.7
19210101 19211231   194.9
19220101 19221231   292.2
19230101 19231231   146.6
19240101 19241231   145.8
19250101 19251231   180.2
19260101 19261231   155.3
19270101 19271231   203.4
19280101 19281231    94.0
19290101 19291231   119.9
19300101 19301231   259.8
19310101 19311231   302.6
19320101 19321231   345.2
19330101 19331231   197.7
19340101 19341231   272.0
19350101 19351231   248.4
19360101 19361231   124.4
19370101 19371231   175.8
19380101 19381231   198.9
19390101 19391231   220.2
19400101 19401231   269.5
19410101 19411231   281.2
19420101 19421231   313.9
19430101 19431231   111.2
19440101 19441231   117.3
19450101 19451231   253.2
19460101 19461231   265.6
19470101 19471231   410.9
19480101 19481231   109.5
19490101 19491231   202.8
19500101 19501231   263.0
19510101 19511231   155.5
19520101 19521231   177.9
19530101 19531231   334.3
19540101 19541231   215.6
19550101 19551231   403.8
19560101 19561231   232.5
19570101 19571231   122.1
19580101 19581231   443.3
19590101 19591231   176.4
19600101 19601231   255.1
19610101 19611231   145.2
19620101 19621231   214.9
19630101 19631231   109.1
19640101 19641231   163.3
19650101 19651231   119.0
19660101 19661231   285.1
19670101 19671231   224.3
19680101 19681231   499.6
19690101 19691231   330.9
19700101 19701231   162.1
19710101 19711231   286.5
19720101 19721231   126.4
19730101 19731231   431.8
19740101 19741231   522.0
19750101 19751231   407.4
19760101 19761231   336.0
19770101 19771231   195.8
19780101 19781231   283.5
19790101 19791231   307.0
19800101 19801231   329.7
19810101 19811231   224.6
19820101 19821231   135.0
19830101 19831231   481.6
19840101 19841231   238.6
19850101 19851231   155.1
19860101 19861231   203.3
19870101 19871231   264.3
19880101 19881231   244.2
19890101 19891231   341.1
19900101 19901231   368.2
19910101 19911231   229.5
19920101 19921231   466.5
19930101 19931231   396.1
19940101 19941231 99999.9
19950101 19951231   346.4
19960101 19961231   241.7
19970101 19971231   220.2
19980101 19981231   298.4
19990101 19991231   225.6
20000101 20001231   234.0
20010101 20011231   367.2
20020101 20021231   232.0
20030101 20031231   254.2
20040101 20041231   252.2
20050101 20051231   212.4
20060101 20061231   440.2
20070101 20071231   272.2
20080101 20081231   186.8
20090101 20091231   219.4
20100101 20101231   402.0
20110101 20111231   397.2
20120101 20121231   135.2
20130101 20131231   293.2
20140101 20141231   309.2
20150101 20151231   205.2
20160101 20161231   384.6
20170101 20171231   348.4
