PRCP       019001 18740101 20171231 missing_value=99999.9 APPILA                                    
18740101 18741231   293.4
18750101 18751231   536.8
18760101 18761231   265.0
18770101 18771231   426.6
18780101 18781231   393.9
18790101 18791231   343.4
18800101 18801231   306.0
18810101 18811231   239.2
18820101 18821231   280.6
18830101 18831231   383.9
18840101 18841231   452.4
18850101 18851231   294.5
18860101 18861231   362.3
18870101 18871231   458.2
18880101 18881231   260.4
18890101 18891231   611.1
18900101 18901231   510.7
18910101 18911231   267.8
18920101 18921231   435.1
18930101 18931231   445.0
18940101 18941231   527.9
18950101 18951231   291.0
18960101 18961231   268.8
18970101 18971231   306.1
18980101 18981231   330.5
18990101 18991231   378.0
19000101 19001231   404.2
19010101 19011231   301.9
19020101 19021231   240.7
19030101 19031231   492.3
19040101 19041231   359.2
19050101 19051231   369.3
19060101 19061231   416.0
19070101 19071231   391.7
19080101 19081231   531.2
19090101 19091231   434.8
19100101 19101231   653.6
19110101 19111231   341.6
19120101 19121231   345.9
19130101 19131231   244.7
19140101 19141231   200.8
19150101 19151231   328.9
19160101 19161231   468.8
19170101 19171231   585.1
19180101 19181231   271.1
19190101 19191231   375.5
19200101 19201231   475.5
19210101 19211231   421.7
19220101 19221231   363.3
19230101 19231231   447.0
19240101 19241231   492.4
19250101 19251231   282.2
19260101 19261231   313.7
19270101 19271231   194.6
19280101 19281231   240.2
19290101 19291231   229.1
19300101 19301231   278.9
19310101 19311231   326.9
19320101 19321231   488.5
19330101 19331231   317.5
19340101 19341231   386.9
19350101 19351231   334.2
19360101 19361231   307.9
19370101 19371231   474.9
19380101 19381231   340.2
19390101 19391231   429.6
19400101 19401231   218.8
19410101 19411231   449.2
19420101 19421231   426.6
19430101 19431231   346.7
19440101 19441231   300.2
19450101 19451231   343.3
19460101 19461231   507.3
19470101 19471231   548.7
19480101 19481231   346.8
19490101 19491231   463.2
19500101 19501231   391.7
19510101 19511231   473.9
19520101 19521231   577.7
19530101 19531231   415.3
19540101 19541231   390.4
19550101 19551231   397.9
19560101 19561231   489.3
19570101 19571231   258.7
19580101 19581231   385.7
19590101 19591231   278.1
19600101 19601231   518.6
19610101 19611231   344.2
19620101 19621231   253.8
19630101 19631231   402.3
19640101 19641231   364.7
19650101 19651231   302.8
19660101 19661231   395.6
19670101 19671231   216.4
19680101 19681231   478.1
19690101 19691231   369.2
19700101 19701231   415.7
19710101 19711231   487.6
19720101 19721231   314.2
19730101 19731231   650.1
19740101 19741231   592.5
19750101 19751231   435.6
19760101 19761231   339.5
19770101 19771231   313.5
19780101 19781231   399.6
19790101 19791231   474.0
19800101 19801231   362.0
19810101 19811231   410.0
19820101 19821231   225.9
19830101 19831231   360.4
19840101 19841231   350.6
19850101 19851231   423.6
19860101 19861231   413.0
19870101 19871231   354.2
19880101 19881231   382.2
19890101 19891231   476.2
19900101 19901231   384.2
19910101 19911231   356.2
19920101 19921231   706.4
19930101 19931231   491.8
19940101 19941231   238.8
19950101 19951231   492.6
19960101 19961231   300.4
19970101 19971231   400.7
19980101 19981231   350.9
19990101 19991231   374.4
20000101 20001231   477.1
20010101 20011231   452.4
20020101 20021231   235.4
20030101 20031231   311.6
20040101 20041231   369.8
20050101 20051231   378.6
20060101 20061231   286.0
20070101 20071231   364.4
20080101 20081231   296.6
20090101 20091231   486.8
20100101 20101231   488.9
20110101 20111231   459.2
20120101 20121231   343.8
20130101 20131231   376.4
20140101 20141231   392.0
20150101 20151231   373.8
20160101 20161231   618.8
20170101 20171231   370.4
