PRCP       019061 19100101 20171231 missing_value=99999.9 YEDNALUE                                  
19100101 19101231   413.1
19110101 19111231   251.8
19120101 19121231   303.1
19130101 19131231   227.1
19140101 19141231   158.7
19150101 19151231   222.5
19160101 19161231   369.2
19170101 19171231   433.6
19180101 19181231   294.6
19190101 19191231   341.3
19200101 19201231   564.1
19210101 19211231   499.8
19220101 19221231   312.9
19230101 19231231   263.8
19240101 19241231   225.0
19250101 19251231   225.5
19260101 19261231   182.4
19270101 19271231   157.2
19280101 19281231   145.0
19290101 19291231   151.4
19300101 19301231   252.1
19310101 19311231   300.1
19320101 19321231   302.0
19330101 19331231   180.6
19340101 19341231   239.8
19350101 19351231   131.4
19360101 19361231   227.6
19370101 19371231   391.7
19380101 19381231   230.6
19390101 19391231   349.5
19400101 19401231    77.4
19410101 19411231   260.7
19420101 19421231   302.9
19430101 19431231   207.5
19440101 19441231   134.2
19450101 19451231   257.6
19460101 19461231   353.0
19470101 19471231   418.3
19480101 19481231   174.7
19490101 19491231   360.9
19500101 19501231   389.0
19510101 19511231   247.2
19520101 19521231   341.7
19530101 19531231   239.9
19540101 19541231   221.1
19550101 19551231   331.4
19560101 19561231   341.7
19570101 19571231   178.6
19580101 19581231   380.5
19590101 19591231   157.7
19600101 19601231   308.2
19610101 19611231   185.9
19620101 19621231   270.5
19630101 19631231   235.3
19640101 19641231   245.2
19650101 19651231   174.6
19660101 19661231   277.4
19670101 19671231   112.4
19680101 19681231   405.2
19690101 19691231   307.8
19700101 19701231   314.6
19710101 19711231   323.6
19720101 19721231   237.1
19730101 19731231   536.5
19740101 19741231   576.1
19750101 19751231   378.0
19760101 19761231   278.6
19770101 19771231   174.7
19780101 19781231   312.2
19790101 19791231   438.6
19800101 19801231   330.5
19810101 19811231   326.7
19820101 19821231   101.3
19830101 19831231   340.0
19840101 19841231   287.8
19850101 19851231   301.7
19860101 19861231   368.4
19870101 19871231   312.4
19880101 19881231   327.9
19890101 19891231   534.0
19900101 19901231   318.8
19910101 19911231   163.7
19920101 19921231   582.8
19930101 19931231   341.3
19940101 19941231   125.8
19950101 19951231   337.2
19960101 19961231   311.9
19970101 19971231 99999.9
19980101 19981231   292.9
19990101 19991231   283.9
20000101 20001231   416.4
20010101 20011231   327.8
20020101 20021231   132.1
20030101 20031231   263.6
20040101 20041231   265.9
20050101 20051231   254.6
20060101 20061231   221.0
20070101 20071231   415.7
20080101 20081231   250.2
20090101 20091231   257.8
20100101 20101231   390.7
20110101 20111231   467.9
20120101 20121231   241.3
20130101 20131231   333.5
20140101 20141231   328.4
20150101 20151231   318.1
20160101 20161231   449.4
20170101 20171231   205.0
