PRCP       022000 18800101 20161231 missing_value=99999.9 ARDROSSAN                                 
18800101 18801231   481.2
18810101 18811231   300.9
18820101 18821231   314.5
18830101 18831231   429.0
18840101 18841231   397.9
18850101 18851231   345.2
18860101 18861231   243.5
18870101 18871231   370.4
18880101 18881231   203.5
18890101 18891231   489.1
18900101 18901231   430.7
18910101 18911231   229.9
18920101 18921231   363.6
18930101 18931231   420.5
18940101 18941231   328.7
18950101 18951231   275.8
18960101 18961231   243.6
18970101 18971231   260.6
18980101 18981231   431.7
18990101 18991231   259.6
19000101 19001231   408.0
19010101 19011231   299.2
19020101 19021231   276.4
19030101 19031231   394.7
19040101 19041231   391.4
19050101 19051231   405.4
19060101 19061231   399.4
19070101 19071231   313.2
19080101 19081231   389.4
19090101 19091231   449.9
19100101 19101231   451.8
19110101 19111231   324.0
19120101 19121231   334.4
19130101 19131231   352.2
19140101 19141231   218.7
19150101 19151231   348.9
19160101 19161231   495.1
19170101 19171231   462.3
19180101 19181231   283.8
19190101 19191231   273.5
19200101 19201231   424.7
19210101 19211231   525.8
19220101 19221231   437.7
19230101 19231231   438.6
19240101 19241231   345.3
19250101 19251231   256.3
19260101 19261231   301.2
19270101 19271231   288.4
19280101 19281231   336.8
19290101 19291231   324.9
19300101 19301231   294.6
19310101 19311231   329.8
19320101 19321231   423.9
19330101 19331231   338.1
19340101 19341231   332.2
19350101 19351231   371.3
19360101 19361231   276.4
19370101 19371231   476.5
19380101 19381231   300.4
19390101 19391231   382.3
19400101 19401231   219.3
19410101 19411231   372.6
19420101 19421231   497.1
19430101 19431231   237.4
19440101 19441231   277.0
19450101 19451231   246.1
19460101 19461231   604.6
19470101 19471231   385.5
19480101 19481231   323.2
19490101 19491231   348.4
19500101 19501231   356.4
19510101 19511231   408.8
19520101 19521231   354.7
19530101 19531231   332.3
19540101 19541231   327.7
19550101 19551231   414.6
19560101 19561231   395.6
19570101 19571231   260.2
19580101 19581231   336.1
19590101 19591231   178.1
19600101 19601231   428.6
19610101 19611231   299.7
19620101 19621231   301.4
19630101 19631231   395.5
19640101 19641231   385.6
19650101 19651231   211.6
19660101 19661231   325.6
19670101 19671231   232.1
19680101 19681231   521.6
19690101 19691231   370.7
19700101 19701231   315.3
19710101 19711231   449.2
19720101 19721231   296.0
19730101 19731231   404.2
19740101 19741231   523.1
19750101 19751231   381.6
19760101 19761231   207.8
19770101 19771231   251.4
19780101 19781231   396.1
19790101 19791231   479.8
19800101 19801231   289.4
19810101 19811231   320.8
19820101 19821231   183.8
19830101 19831231   353.0
19840101 19841231   270.8
19850101 19851231   243.6
19860101 19861231   315.6
19870101 19871231   309.0
19880101 19881231   286.0
19890101 19891231   330.2
19900101 19901231   284.4
19910101 19911231   327.0
19920101 19921231   513.6
19930101 19931231   356.2
19940101 19941231 99999.9
19950101 19951231   312.2
19960101 19961231   397.0
19970101 19971231   484.8
19980101 19981231   331.4
19990101 19991231   308.3
20000101 20001231   368.2
20010101 20011231   386.2
20020101 20021231   223.4
20030101 20031231   352.0
20040101 20041231   276.2
20050101 20051231   346.8
20060101 20061231   264.4
20070101 20071231   362.0
20080101 20081231   249.4
20090101 20091231   329.4
20100101 20101231   384.0
20110101 20111231   372.4
20120101 20121231   300.2
20130101 20131231   377.8
20140101 20141231   323.0
20150101 20151231   272.8
20160101 20161231   478.8
