PRCP       022020 18640101 20141231 missing_value=99999.9 WALLAROO                                  
18640101 18641231   309.6
18650101 18651231   203.9
18660101 18661231   335.8
18670101 18671231   358.5
18680101 18681231   317.3
18690101 18691231   311.4
18700101 18701231   422.7
18710101 18711231   339.4
18720101 18721231   437.2
18730101 18731231   291.9
18740101 18741231   289.1
18750101 18751231   512.5
18760101 18761231   224.8
18770101 18771231   449.6
18780101 18781231   334.7
18790101 18791231   350.0
18800101 18801231   454.5
18810101 18811231   254.0
18820101 18821231   260.6
18830101 18831231   492.7
18840101 18841231   331.2
18850101 18851231   273.8
18860101 18861231   222.2
18870101 18871231   397.5
18880101 18881231   198.6
18890101 18891231   575.6
18900101 18901231   397.1
18910101 18911231   292.3
18920101 18921231   442.9
18930101 18931231   416.3
18940101 18941231   337.0
18950101 18951231   341.3
18960101 18961231   318.2
18970101 18971231   218.2
18980101 18981231   371.2
18990101 18991231   248.2
19000101 19001231   296.3
19010101 19011231   362.4
19020101 19021231   288.4
19030101 19031231   415.8
19040101 19041231   333.6
19050101 19051231   455.3
19060101 19061231   424.3
19070101 19071231   385.2
19080101 19081231   448.8
19090101 19091231   461.2
19100101 19101231   519.7
19110101 19111231   397.1
19120101 19121231   387.0
19130101 19131231   353.7
19140101 19141231   277.8
19150101 19151231   327.8
19160101 19161231   482.8
19170101 19171231   492.4
19180101 19181231   277.3
19190101 19191231   296.8
19200101 19201231   400.2
19210101 19211231   488.2
19220101 19221231   324.3
19230101 19231231   412.1
19240101 19241231   367.6
19250101 19251231   254.0
19260101 19261231   311.7
19270101 19271231   242.7
19280101 19281231   308.2
19290101 19291231   266.9
19300101 19301231   291.8
19310101 19311231   358.2
19320101 19321231   494.8
19330101 19331231   340.7
19340101 19341231   338.4
19350101 19351231   350.3
19360101 19361231   290.4
19370101 19371231   392.3
19380101 19381231   325.7
19390101 19391231   414.0
19400101 19401231   244.8
19410101 19411231   462.7
19420101 19421231   493.3
19430101 19431231   293.8
19440101 19441231   295.6
19450101 19451231   345.4
19460101 19461231   584.8
19470101 19471231   402.1
19480101 19481231   344.2
19490101 19491231   305.9
19500101 19501231   297.3
19510101 19511231   461.0
19520101 19521231   460.3
19530101 19531231   314.5
19540101 19541231   314.5
19550101 19551231   456.0
19560101 19561231   518.4
19570101 19571231   263.8
19580101 19581231   357.4
19590101 19591231   281.1
19600101 19601231   450.5
19610101 19611231   334.9
19620101 19621231   293.4
19630101 19631231   408.6
19640101 19641231   356.0
19650101 19651231   267.6
19660101 19661231   425.4
19670101 19671231   220.7
19680101 19681231   490.0
19690101 19691231   425.5
19700101 19701231   274.1
19710101 19711231   461.9
19720101 19721231   274.1
19730101 19731231   572.1
19740101 19741231   474.5
19750101 19751231   396.4
19760101 19761231   291.5
19770101 19771231   237.2
19780101 19781231   448.2
19790101 19791231   424.1
19800101 19801231   337.4
19810101 19811231   369.5
19820101 19821231   233.2
19830101 19831231   453.6
19840101 19841231   353.3
19850101 19851231   333.2
19860101 19861231   317.6
19870101 19871231   313.0
19880101 19881231   317.0
19890101 19891231   368.8
19900101 19901231   352.5
19910101 19911231   339.6
19920101 19921231   546.9
19930101 19931231   404.5
19940101 19941231   204.8
19950101 19951231   316.7
19960101 19961231   323.6
19970101 19971231   420.0
19980101 19981231 99999.9
19990101 19991231   333.4
20000101 20001231   420.6
20010101 20011231   403.8
20020101 20021231   284.8
20030101 20031231   305.2
20040101 20041231   370.2
20050101 20051231   355.8
20060101 20061231   278.6
20070101 20071231   316.4
20080101 20081231   257.8
20090101 20091231   333.8
20100101 20101231   488.5
20110101 20111231 99999.9
20120101 20121231   300.4
20130101 20131231   417.5
20140101 20141231   314.0
