PRCP       022801 18740101 20061231 missing_value=99999.9 CAPE BORDA                                
18740101 18741231   509.8
18750101 18751231   715.0
18760101 18761231   429.8
18770101 18771231   489.4
18780101 18781231   490.8
18790101 18791231   686.7
18800101 18801231   712.8
18810101 18811231   574.1
18820101 18821231   627.8
18830101 18831231   671.5
18840101 18841231   584.8
18850101 18851231   618.9
18860101 18861231   616.8
18870101 18871231   723.2
18880101 18881231   548.8
18890101 18891231   916.5
18900101 18901231   811.5
18910101 18911231   472.2
18920101 18921231   702.0
18930101 18931231   849.1
18940101 18941231   652.1
18950101 18951231   596.3
18960101 18961231   604.6
18970101 18971231   514.5
18980101 18981231   591.9
18990101 18991231   571.4
19000101 19001231   682.2
19010101 19011231   542.3
19020101 19021231   594.0
19030101 19031231   639.9
19040101 19041231   581.0
19050101 19051231   724.5
19060101 19061231   755.0
19070101 19071231   589.9
19080101 19081231   579.7
19090101 19091231   795.2
19100101 19101231   914.6
19110101 19111231   598.7
19120101 19121231   597.0
19130101 19131231   470.2
19140101 19141231   421.9
19150101 19151231   640.1
19160101 19161231   746.2
19170101 19171231   796.5
19180101 19181231   591.5
19190101 19191231   500.6
19200101 19201231   840.5
19210101 19211231   749.0
19220101 19221231   613.0
19230101 19231231   706.5
19240101 19241231   553.5
19250101 19251231   515.3
19260101 19261231   585.5
19270101 19271231   551.0
19280101 19281231   503.3
19290101 19291231   544.6
19300101 19301231   656.2
19310101 19311231   719.1
19320101 19321231   687.9
19330101 19331231   568.0
19340101 19341231   595.8
19350101 19351231   739.4
19360101 19361231   577.2
19370101 19371231   745.0
19380101 19381231   601.0
19390101 19391231   808.9
19400101 19401231   526.9
19410101 19411231   546.6
19420101 19421231   814.3
19430101 19431231   712.2
19440101 19441231   615.5
19450101 19451231   522.3
19460101 19461231   656.8
19470101 19471231   745.5
19480101 19481231   616.6
19490101 19491231   639.2
19500101 19501231   568.4
19510101 19511231   722.0
19520101 19521231   549.4
19530101 19531231   582.2
19540101 19541231   700.4
19550101 19551231   722.6
19560101 19561231   917.9
19570101 19571231   581.8
19580101 19581231   640.9
19590101 19591231   464.7
19600101 19601231   702.7
19610101 19611231   513.4
19620101 19621231   480.9
19630101 19631231   540.8
19640101 19641231   633.0
19650101 19651231   464.8
19660101 19661231   674.2
19670101 19671231   436.9
19680101 19681231   722.5
19690101 19691231   586.8
19700101 19701231   644.9
19710101 19711231   854.3
19720101 19721231   526.9
19730101 19731231   624.7
19740101 19741231   641.1
19750101 19751231   710.6
19760101 19761231   586.0
19770101 19771231   519.0
19780101 19781231   628.9
19790101 19791231   693.1
19800101 19801231   552.2
19810101 19811231   718.2
19820101 19821231   512.6
19830101 19831231   797.5
19840101 19841231   720.4
19850101 19851231   568.8
19860101 19861231   612.0
19870101 19871231   521.0
19880101 19881231   698.4
19890101 19891231   632.5
19900101 19901231   651.2
19910101 19911231   483.0
19920101 19921231   767.6
19930101 19931231   595.6
19940101 19941231 99999.9
19950101 19951231   533.9
19960101 19961231   597.6
19970101 19971231   534.0
19980101 19981231   447.0
19990101 19991231   469.7
20000101 20001231   694.0
20010101 20011231   606.3
20020101 20021231   434.5
20030101 20031231   654.0
20040101 20041231   586.0
20050101 20051231   609.9
20060101 20061231   435.9
