PRCP       022809 19120101 20171231 missing_value=99999.9 PENNESHAW                                 
19120101 19121231   438.0
19130101 19131231   437.6
19140101 19141231   355.0
19150101 19151231   433.2
19160101 19161231   580.6
19170101 19171231   615.6
19180101 19181231   408.0
19190101 19191231   424.1
19200101 19201231   573.2
19210101 19211231   576.7
19220101 19221231   511.2
19230101 19231231   510.8
19240101 19241231   405.5
19250101 19251231   437.2
19260101 19261231   546.9
19270101 19271231   392.4
19280101 19281231   384.1
19290101 19291231   431.9
19300101 19301231   457.6
19310101 19311231   587.2
19320101 19321231   565.0
19330101 19331231   431.1
19340101 19341231   528.7
19350101 19351231   587.7
19360101 19361231   433.3
19370101 19371231   523.1
19380101 19381231   438.5
19390101 19391231   677.1
19400101 19401231   439.9
19410101 19411231   530.9
19420101 19421231   634.6
19430101 19431231   508.3
19440101 19441231   477.1
19450101 19451231   462.7
19460101 19461231   667.0
19470101 19471231   545.6
19480101 19481231   545.2
19490101 19491231   498.7
19500101 19501231   530.1
19510101 19511231   655.1
19520101 19521231   607.3
19530101 19531231   545.3
19540101 19541231   505.2
19550101 19551231   662.2
19560101 19561231   608.3
19570101 19571231   438.5
19580101 19581231   552.4
19590101 19591231   392.8
19600101 19601231   571.1
19610101 19611231   355.9
19620101 19621231   348.9
19630101 19631231   515.9
19640101 19641231   674.4
19650101 19651231   432.3
19660101 19661231   483.2
19670101 19671231   295.5
19680101 19681231   640.3
19690101 19691231   520.6
19700101 19701231   498.3
19710101 19711231   571.2
19720101 19721231   458.9
19730101 19731231   538.2
19740101 19741231   636.0
19750101 19751231   534.8
19760101 19761231   418.0
19770101 19771231   399.4
19780101 19781231   630.5
19790101 19791231   631.1
19800101 19801231   487.6
19810101 19811231   498.0
19820101 19821231   307.1
19830101 19831231   623.4
19840101 19841231   498.9
19850101 19851231   497.9
19860101 19861231   407.1
19870101 19871231   456.8
19880101 19881231   462.5
19890101 19891231   484.4
19900101 19901231   406.6
19910101 19911231   456.6
19920101 19921231   694.7
19930101 19931231   488.5
19940101 19941231   342.6
19950101 19951231   480.6
19960101 19961231   442.2
19970101 19971231   477.2
19980101 19981231   441.0
19990101 19991231   467.0
20000101 20001231   665.8
20010101 20011231   554.0
20020101 20021231   385.5
20030101 20031231   599.9
20040101 20041231   500.2
20050101 20051231   488.7
20060101 20061231   355.8
20070101 20071231   506.9
20080101 20081231   448.4
20090101 20091231   498.0
20100101 20101231   536.5
20110101 20111231   546.5
20120101 20121231   515.1
20130101 20131231   671.6
20140101 20141231   457.7
20150101 20151231   355.3
20160101 20161231   704.9
20170101 20171231   515.1
