PRCP       022815 19100101 20151231 missing_value=99999.9 PIONEER BEND                              
19100101 19101231   919.3
19110101 19111231   601.6
19120101 19121231   599.9
19130101 19131231   472.6
19140101 19141231   423.9
19150101 19151231   643.3
19160101 19161231   749.8
19170101 19171231   800.5
19180101 19181231   594.4
19190101 19191231   503.2
19200101 19201231   844.7
19210101 19211231   752.8
19220101 19221231   616.0
19230101 19231231   709.9
19240101 19241231   556.2
19250101 19251231   517.7
19260101 19261231   588.3
19270101 19271231   553.8
19280101 19281231   505.9
19290101 19291231   547.2
19300101 19301231   659.5
19310101 19311231   722.6
19320101 19321231   691.3
19330101 19331231   571.0
19340101 19341231   598.7
19350101 19351231   617.4
19360101 19361231   507.4
19370101 19371231   616.6
19380101 19381231   621.9
19390101 19391231   699.0
19400101 19401231   506.3
19410101 19411231   507.2
19420101 19421231   805.0
19430101 19431231   653.0
19440101 19441231   486.1
19450101 19451231   482.9
19460101 19461231   658.7
19470101 19471231   728.6
19480101 19481231   579.4
19490101 19491231   566.2
19500101 19501231   579.1
19510101 19511231   822.6
19520101 19521231   675.7
19530101 19531231   632.3
19540101 19541231   588.6
19550101 19551231   839.7
19560101 19561231   832.8
19570101 19571231   516.7
19580101 19581231   654.0
19590101 19591231   420.6
19600101 19601231   715.4
19610101 19611231   402.6
19620101 19621231   521.7
19630101 19631231   631.6
19640101 19641231   817.0
19650101 19651231   546.0
19660101 19661231   638.8
19670101 19671231   468.4
19680101 19681231   897.3
19690101 19691231   600.6
19700101 19701231   567.6
19710101 19711231   835.5
19720101 19721231   643.5
19730101 19731231   727.5
19740101 19741231   785.4
19750101 19751231   628.2
19760101 19761231   552.0
19770101 19771231   462.1
19780101 19781231   644.4
19790101 19791231   673.0
19800101 19801231   588.4
19810101 19811231   716.7
19820101 19821231   414.7
19830101 19831231   797.5
19840101 19841231   734.5
19850101 19851231   555.0
19860101 19861231   587.3
19870101 19871231   508.0
19880101 19881231   590.2
19890101 19891231   646.7
19900101 19901231   656.1
19910101 19911231   541.9
19920101 19921231   886.8
19930101 19931231   577.1
19940101 19941231   411.2
19950101 19951231   649.9
19960101 19961231   613.1
19970101 19971231   565.6
19980101 19981231   541.2
19990101 19991231   517.4
20000101 20001231   854.8
20010101 20011231   627.7
20020101 20021231   544.4
20030101 20031231   678.4
20040101 20041231   587.0
20050101 20051231   620.8
20060101 20061231   425.4
20070101 20071231   556.2
20080101 20081231   530.2
20090101 20091231   695.8
20100101 20101231   636.8
20110101 20111231   645.0
20120101 20121231   467.5
20130101 20131231   834.1
20140101 20141231 99999.9
20150101 20151231   467.5
