PRCP       024501 18910101 20171231 missing_value=99999.9 AUSTRALIA PLAINS                          
18910101 18911231   171.2
18920101 18921231   376.4
18930101 18931231   353.0
18940101 18941231   405.9
18950101 18951231   197.5
18960101 18961231   148.8
18970101 18971231   209.8
18980101 18981231   290.8
18990101 18991231   204.4
19000101 19001231   292.8
19010101 19011231   155.0
19020101 19021231   219.8
19030101 19031231   398.9
19040101 19041231   187.5
19050101 19051231   311.6
19060101 19061231   354.0
19070101 19071231   282.9
19080101 19081231   327.6
19090101 19091231   248.4
19100101 19101231   397.2
19110101 19111231   202.0
19120101 19121231   231.8
19130101 19131231   255.3
19140101 19141231   165.1
19150101 19151231   297.6
19160101 19161231   476.9
19170101 19171231   428.0
19180101 19181231   204.4
19190101 19191231   213.6
19200101 19201231   368.7
19210101 19211231   398.5
19220101 19221231   304.3
19230101 19231231   332.8
19240101 19241231   292.1
19250101 19251231   227.7
19260101 19261231   240.5
19270101 19271231   172.5
19280101 19281231   212.2
19290101 19291231   219.5
19300101 19301231   266.4
19310101 19311231   304.1
19320101 19321231   371.2
19330101 19331231   234.5
19340101 19341231   291.7
19350101 19351231   237.8
19360101 19361231   337.5
19370101 19371231   487.8
19380101 19381231   229.7
19390101 19391231   302.3
19400101 19401231   140.8
19410101 19411231   400.0
19420101 19421231   351.1
19430101 19431231   272.4
19440101 19441231   220.0
19450101 19451231   247.2
19460101 19461231   462.9
19470101 19471231   415.3
19480101 19481231   311.7
19490101 19491231   222.6
19500101 19501231   344.6
19510101 19511231   342.5
19520101 19521231   321.4
19530101 19531231   203.9
19540101 19541231   253.6
19550101 19551231   341.3
19560101 19561231   351.0
19570101 19571231   150.5
19580101 19581231   307.4
19590101 19591231   159.3
19600101 19601231   363.8
19610101 19611231   304.9
19620101 19621231   401.7
19630101 19631231   365.4
19640101 19641231   368.1
19650101 19651231   209.1
19660101 19661231   307.9
19670101 19671231   125.5
19680101 19681231   409.1
19690101 19691231   327.4
19700101 19701231   264.0
19710101 19711231   360.2
19720101 19721231   230.9
19730101 19731231   559.3
19740101 19741231   615.1
19750101 19751231   278.9
19760101 19761231   243.7
19770101 19771231   255.6
19780101 19781231   374.4
19790101 19791231   444.4
19800101 19801231   343.6
19810101 19811231   291.0
19820101 19821231   124.8
19830101 19831231   383.3
19840101 19841231   272.4
19850101 19851231   272.3
19860101 19861231   278.6
19870101 19871231   315.2
19880101 19881231   326.6
19890101 19891231   339.0
19900101 19901231   294.6
19910101 19911231   272.2
19920101 19921231   590.4
19930101 19931231   426.8
19940101 19941231   216.0
19950101 19951231   350.8
19960101 19961231   279.4
19970101 19971231   384.8
19980101 19981231   324.0
19990101 19991231   326.2
20000101 20001231   338.1
20010101 20011231   314.2
20020101 20021231 99999.9
20030101 20031231 99999.9
20040101 20041231   288.8
20050101 20051231   393.4
20060101 20061231   197.0
20070101 20071231   370.4
20080101 20081231   249.4
20090101 20091231   300.2
20100101 20101231   420.4
20110101 20111231   373.2
20120101 20121231   244.9
20130101 20131231   287.1
20140101 20141231   353.7
20150101 20151231   284.3
20160101 20161231   444.0
20170101 20171231   255.6
