PRCP       024511 18810101 20171231 missing_value=99999.9 EUDUNDA                                   
18810101 18811231   273.4
18820101 18821231   242.6
18830101 18831231   458.3
18840101 18841231   440.9
18850101 18851231   337.8
18860101 18861231   396.4
18870101 18871231   524.1
18880101 18881231   313.5
18890101 18891231   687.3
18900101 18901231   775.4
18910101 18911231   319.5
18920101 18921231   474.3
18930101 18931231   542.6
18940101 18941231   509.7
18950101 18951231   359.2
18960101 18961231   331.2
18970101 18971231   344.5
18980101 18981231   468.0
18990101 18991231   331.5
19000101 19001231   516.1
19010101 19011231   319.2
19020101 19021231   347.1
19030101 19031231   580.9
19040101 19041231   309.5
19050101 19051231   442.1
19060101 19061231   480.0
19070101 19071231   450.7
19080101 19081231   485.6
19090101 19091231   520.4
19100101 19101231   707.9
19110101 19111231   391.6
19120101 19121231   422.6
19130101 19131231   437.4
19140101 19141231   239.3
19150101 19151231   509.3
19160101 19161231   662.5
19170101 19171231   609.8
19180101 19181231   368.3
19190101 19191231   345.8
19200101 19201231   525.6
19210101 19211231   481.2
19220101 19221231   413.3
19230101 19231231   471.8
19240101 19241231   402.2
19250101 19251231   329.5
19260101 19261231   328.6
19270101 19271231   374.0
19280101 19281231   377.7
19290101 19291231   364.3
19300101 19301231   426.8
19310101 19311231   420.3
19320101 19321231   527.7
19330101 19331231   414.7
19340101 19341231   408.1
19350101 19351231   410.7
19360101 19361231   475.3
19370101 19371231   625.6
19380101 19381231   333.1
19390101 19391231   417.2
19400101 19401231   225.2
19410101 19411231   437.3
19420101 19421231   438.3
19430101 19431231   329.6
19440101 19441231   281.1
19450101 19451231   363.1
19460101 19461231   599.5
19470101 19471231   510.1
19480101 19481231   457.4
19490101 19491231   339.4
19500101 19501231   420.3
19510101 19511231   530.0
19520101 19521231   487.5
19530101 19531231   378.4
19540101 19541231   330.8
19550101 19551231   615.0
19560101 19561231   579.7
19570101 19571231   249.4
19580101 19581231   466.8
19590101 19591231   265.9
19600101 19601231   550.0
19610101 19611231   492.5
19620101 19621231   468.5
19630101 19631231   585.1
19640101 19641231   582.1
19650101 19651231   316.2
19660101 19661231   441.7
19670101 19671231   193.4
19680101 19681231   676.2
19690101 19691231   450.2
19700101 19701231   441.6
19710101 19711231   539.3
19720101 19721231   371.0
19730101 19731231   665.1
19740101 19741231   809.5
19750101 19751231   413.2
19760101 19761231   365.4
19770101 19771231   328.8
19780101 19781231   496.2
19790101 19791231   551.4
19800101 19801231   438.6
19810101 19811231   476.3
19820101 19821231   220.5
19830101 19831231   527.9
19840101 19841231   412.1
19850101 19851231   430.8
19860101 19861231   440.4
19870101 19871231   426.4
19880101 19881231   456.0
19890101 19891231   494.3
19900101 19901231   474.9
19910101 19911231   434.8
19920101 19921231   817.8
19930101 19931231   479.0
19940101 19941231   363.2
19950101 19951231   515.6
19960101 19961231   471.4
19970101 19971231   457.0
19980101 19981231   444.6
19990101 19991231   461.7
20000101 20001231   548.3
20010101 20011231   499.8
20020101 20021231   298.7
20030101 20031231   491.8
20040101 20041231   441.0
20050101 20051231   560.8
20060101 20061231   330.5
20070101 20071231   482.3
20080101 20081231   385.4
20090101 20091231   463.7
20100101 20101231   560.0
20110101 20111231   594.0
20120101 20121231   324.2
20130101 20131231   423.8
20140101 20141231   508.9
20150101 20151231   403.4
20160101 20161231   642.8
20170101 20171231   408.2
