PRCP       024515 18900101 20171231 missing_value=99999.9 LANGHORNE CREEK                           
18900101 18901231   545.6
18910101 18911231   312.6
18920101 18921231   398.5
18930101 18931231   502.8
18940101 18941231   502.3
18950101 18951231   442.1
18960101 18961231   284.8
18970101 18971231   337.8
18980101 18981231   382.7
18990101 18991231   348.2
19000101 19001231   366.5
19010101 19011231   368.4
19020101 19021231   290.7
19030101 19031231   415.1
19040101 19041231   299.9
19050101 19051231   350.8
19060101 19061231   495.0
19070101 19071231   316.3
19080101 19081231   374.2
19090101 19091231   501.8
19100101 19101231   495.8
19110101 19111231   326.9
19120101 19121231   272.8
19130101 19131231   325.0
19140101 19141231   233.8
19150101 19151231   248.3
19160101 19161231   402.3
19170101 19171231   407.1
19180101 19181231   215.7
19190101 19191231   330.4
19200101 19201231   375.3
19210101 19211231   425.2
19220101 19221231   500.4
19230101 19231231   473.0
19240101 19241231   418.2
19250101 19251231   396.6
19260101 19261231   346.3
19270101 19271231   340.5
19280101 19281231   334.5
19290101 19291231   354.5
19300101 19301231   337.1
19310101 19311231   366.0
19320101 19321231   528.6
19330101 19331231   347.6
19340101 19341231   421.5
19350101 19351231   404.3
19360101 19361231   447.3
19370101 19371231   424.7
19380101 19381231   292.5
19390101 19391231   523.7
19400101 19401231   267.7
19410101 19411231   460.6
19420101 19421231   562.6
19430101 19431231   369.0
19440101 19441231   257.4
19450101 19451231   437.3
19460101 19461231   639.4
19470101 19471231   517.2
19480101 19481231   401.6
19490101 19491231   405.3
19500101 19501231   384.4
19510101 19511231   502.7
19520101 19521231   391.0
19530101 19531231   375.1
19540101 19541231   338.3
19550101 19551231   542.9
19560101 19561231   455.8
19570101 19571231   237.2
19580101 19581231   403.8
19590101 19591231   349.5
19600101 19601231   453.1
19610101 19611231   304.6
19620101 19621231   335.2
19630101 19631231   448.8
19640101 19641231   452.2
19650101 19651231   307.6
19660101 19661231   374.1
19670101 19671231   202.0
19680101 19681231   454.9
19690101 19691231   460.2
19700101 19701231   450.2
19710101 19711231   456.2
19720101 19721231   320.7
19730101 19731231   407.5
19740101 19741231   570.3
19750101 19751231   361.8
19760101 19761231   369.5
19770101 19771231   287.8
19780101 19781231   457.1
19790101 19791231   407.5
19800101 19801231   330.2
19810101 19811231   382.0
19820101 19821231   250.4
19830101 19831231   480.9
19840101 19841231   374.0
19850101 19851231   439.8
19860101 19861231   386.9
19870101 19871231   419.6
19880101 19881231   331.2
19890101 19891231   410.0
19900101 19901231   402.2
19910101 19911231   336.8
19920101 19921231   623.4
19930101 19931231   358.8
19940101 19941231   290.2
19950101 19951231   309.8
19960101 19961231   415.4
19970101 19971231   368.2
19980101 19981231   353.8
19990101 19991231   288.2
20000101 20001231   447.0
20010101 20011231   383.6
20020101 20021231   253.8
20030101 20031231   435.6
20040101 20041231   332.3
20050101 20051231   474.6
20060101 20061231   253.3
20070101 20071231   323.2
20080101 20081231   328.4
20090101 20091231   358.8
20100101 20101231   484.4
20110101 20111231   413.4
20120101 20121231   443.5
20130101 20131231   394.6
20140101 20141231   309.6
20150101 20151231   405.2
20160101 20161231   486.0
20170101 20171231   409.0
