PRCP       024521 18860101 20171231 missing_value=99999.9 MURRAY BRIDGE                             
18860101 18861231   232.0
18870101 18871231   381.2
18880101 18881231   265.4
18890101 18891231   524.8
18900101 18901231   477.4
18910101 18911231   227.6
18920101 18921231   314.7
18930101 18931231   480.8
18940101 18941231   463.1
18950101 18951231   311.5
18960101 18961231   275.9
18970101 18971231   289.9
18980101 18981231   333.3
18990101 18991231   358.4
19000101 19001231   351.8
19010101 19011231   358.0
19020101 19021231   314.8
19030101 19031231   402.3
19040101 19041231   279.5
19050101 19051231   399.5
19060101 19061231   472.2
19070101 19071231   345.9
19080101 19081231   365.2
19090101 19091231   515.1
19100101 19101231   546.4
19110101 19111231   268.4
19120101 19121231   275.9
19130101 19131231   437.7
19140101 19141231   183.4
19150101 19151231   250.0
19160101 19161231   403.3
19170101 19171231   406.2
19180101 19181231   224.6
19190101 19191231   268.3
19200101 19201231   308.7
19210101 19211231   437.9
19220101 19221231   368.3
19230101 19231231   388.8
19240101 19241231   406.7
19250101 19251231   350.5
19260101 19261231   275.8
19270101 19271231   256.0
19280101 19281231   335.7
19290101 19291231   267.9
19300101 19301231   252.6
19310101 19311231   252.0
19320101 19321231   404.8
19330101 19331231   239.9
19340101 19341231   291.4
19350101 19351231   310.4
19360101 19361231   369.8
19370101 19371231   296.9
19380101 19381231   211.1
19390101 19391231   354.3
19400101 19401231   228.4
19410101 19411231   514.2
19420101 19421231   443.5
19430101 19431231   299.4
19440101 19441231   184.4
19450101 19451231   376.2
19460101 19461231   534.6
19470101 19471231   417.6
19480101 19481231   326.8
19490101 19491231   262.5
19500101 19501231   273.0
19510101 19511231   375.2
19520101 19521231   368.5
19530101 19531231   292.7
19540101 19541231   288.3
19550101 19551231   530.1
19560101 19561231   305.9
19570101 19571231   186.5
19580101 19581231   337.9
19590101 19591231   259.8
19600101 19601231   404.9
19610101 19611231   277.5
19620101 19621231   315.3
19630101 19631231   422.4
19640101 19641231   390.0
19650101 19651231   253.3
19660101 19661231   332.9
19670101 19671231   136.4
19680101 19681231   382.1
19690101 19691231   435.4
19700101 19701231   380.8
19710101 19711231   313.1
19720101 19721231   284.8
19730101 19731231   446.1
19740101 19741231   675.4
19750101 19751231   340.9
19760101 19761231   275.6
19770101 19771231   302.6
19780101 19781231   368.3
19790101 19791231   389.4
19800101 19801231   326.3
19810101 19811231   338.2
19820101 19821231   196.2
19830101 19831231   490.2
19840101 19841231   360.0
19850101 19851231   381.8
19860101 19861231   362.0
19870101 19871231   383.6
19880101 19881231   329.3
19890101 19891231   365.6
19900101 19901231   342.0
19910101 19911231   323.0
19920101 19921231   621.9
19930101 19931231   349.1
19940101 19941231   258.5
19950101 19951231   320.6
19960101 19961231   364.4
19970101 19971231   378.1
19980101 19981231   350.0
19990101 19991231   334.0
20000101 20001231   434.7
20010101 20011231   368.0
20020101 20021231   269.6
20030101 20031231   403.1
20040101 20041231   375.4
20050101 20051231   498.7
20060101 20061231   241.2
20070101 20071231   328.5
20080101 20081231   271.5
20090101 20091231   345.8
20100101 20101231   512.5
20110101 20111231   433.7
20120101 20121231   428.4
20130101 20131231   346.1
20140101 20141231   344.1
20150101 20151231   332.0
20160101 20161231   452.5
20170101 20171231   359.6
