PRCP       025015 19070101 20161231 missing_value=99999.9 PINNAROO                                  
19070101 19071231   369.0
19080101 19081231   416.8
19090101 19091231   441.6
19100101 19101231   554.6
19110101 19111231   378.4
19120101 19121231   374.0
19130101 19131231   342.9
19140101 19141231   173.8
19150101 19151231   334.5
19160101 19161231   537.3
19170101 19171231   522.6
19180101 19181231   308.0
19190101 19191231   300.4
19200101 19201231   402.2
19210101 19211231   518.3
19220101 19221231   331.0
19230101 19231231   439.9
19240101 19241231   430.4
19250101 19251231   335.1
19260101 19261231   327.5
19270101 19271231   201.5
19280101 19281231   319.0
19290101 19291231   238.4
19300101 19301231   328.4
19310101 19311231   316.5
19320101 19321231   390.6
19330101 19331231   278.4
19340101 19341231   317.3
19350101 19351231   240.3
19360101 19361231   321.4
19370101 19371231   319.5
19380101 19381231   212.4
19390101 19391231   251.6
19400101 19401231   208.1
19410101 19411231   422.5
19420101 19421231   380.1
19430101 19431231   286.0
19440101 19441231   197.0
19450101 19451231   310.6
19460101 19461231   409.3
19470101 19471231   387.6
19480101 19481231   353.1
19490101 19491231   238.5
19500101 19501231   394.7
19510101 19511231   376.8
19520101 19521231   321.1
19530101 19531231   320.9
19540101 19541231   357.3
19550101 19551231   403.7
19560101 19561231   468.7
19570101 19571231   188.4
19580101 19581231   298.4
19590101 19591231   200.3
19600101 19601231   355.8
19610101 19611231   309.8
19620101 19621231   275.0
19630101 19631231   368.2
19640101 19641231   397.7
19650101 19651231   229.0
19660101 19661231   298.6
19670101 19671231   170.5
19680101 19681231   421.3
19690101 19691231   440.1
19700101 19701231   339.5
19710101 19711231   373.8
19720101 19721231   216.9
19730101 19731231   603.2
19740101 19741231   525.7
19750101 19751231   367.2
19760101 19761231   255.4
19770101 19771231   222.4
19780101 19781231   453.8
19790101 19791231   417.0
19800101 19801231   282.6
19810101 19811231   370.2
19820101 19821231   144.2
19830101 19831231   389.0
19840101 19841231   295.0
19850101 19851231   305.6
19860101 19861231   376.9
19870101 19871231   324.6
19880101 19881231   299.5
19890101 19891231   259.7
19900101 19901231   242.1
19910101 19911231   276.0
19920101 19921231   494.0
19930101 19931231   325.9
19940101 19941231   198.0
19950101 19951231   362.2
19960101 19961231   341.5
19970101 19971231   261.4
19980101 19981231   369.4
19990101 19991231   361.8
20000101 20001231   394.2
20010101 20011231   326.2
20020101 20021231   204.3
20030101 20031231   392.4
20040101 20041231   258.7
20050101 20051231   293.4
20060101 20061231   158.3
20070101 20071231   352.4
20080101 20081231   233.5
20090101 20091231   327.8
20100101 20101231   508.3
20110101 20111231   538.0
20120101 20121231   213.0
20130101 20131231   297.1
20140101 20141231   306.6
20150101 20151231   292.7
20160101 20161231   438.8
