PRCP       025018 19090101 20161231 missing_value=99999.9 SCHELLS WELL                              
19090101 19091231   447.4
19100101 19101231   413.3
19110101 19111231   381.6
19120101 19121231   331.8
19130101 19131231   336.1
19140101 19141231   151.1
19150101 19151231   318.6
19160101 19161231   463.1
19170101 19171231   434.9
19180101 19181231   275.5
19190101 19191231   302.8
19200101 19201231   408.9
19210101 19211231   370.0
19220101 19221231   286.2
19230101 19231231   364.2
19240101 19241231   384.6
19250101 19251231   302.3
19260101 19261231   308.6
19270101 19271231   194.0
19280101 19281231   253.4
19290101 19291231   246.1
19300101 19301231   289.9
19310101 19311231   288.4
19320101 19321231   367.8
19330101 19331231   352.4
19340101 19341231   316.5
19350101 19351231   273.2
19360101 19361231   360.6
19370101 19371231   320.6
19380101 19381231   210.3
19390101 19391231   260.8
19400101 19401231   218.7
19410101 19411231   532.1
19420101 19421231   376.4
19430101 19431231   266.3
19440101 19441231   291.0
19450101 19451231   331.5
19460101 19461231   401.4
19470101 19471231   422.5
19480101 19481231   311.5
19490101 19491231   325.8
19500101 19501231   458.6
19510101 19511231   387.0
19520101 19521231   330.9
19530101 19531231   314.1
19540101 19541231   474.0
19550101 19551231   516.4
19560101 19561231   548.8
19570101 19571231   179.8
19580101 19581231   320.2
19590101 19591231   196.1
19600101 19601231   367.6
19610101 19611231   324.0
19620101 19621231   234.9
19630101 19631231   373.1
19640101 19641231   405.3
19650101 19651231   274.0
19660101 19661231   238.8
19670101 19671231   160.8
19680101 19681231   418.9
19690101 19691231   308.9
19700101 19701231   299.1
19710101 19711231   337.1
19720101 19721231   218.7
19730101 19731231   588.0
19740101 19741231   609.1
19750101 19751231   259.3
19760101 19761231   249.0
19770101 19771231   226.9
19780101 19781231   331.6
19790101 19791231   333.6
19800101 19801231   284.8
19810101 19811231   293.0
19820101 19821231   114.4
19830101 19831231   405.6
19840101 19841231   238.2
19850101 19851231   291.0
19860101 19861231   333.6
19870101 19871231   338.8
19880101 19881231   284.4
19890101 19891231   191.0
19900101 19901231   215.9
19910101 19911231   226.6
19920101 19921231   510.5
19930101 19931231   325.5
19940101 19941231   151.0
19950101 19951231   371.6
19960101 19961231   308.1
19970101 19971231   265.3
19980101 19981231   440.4
19990101 19991231   291.7
20000101 20001231   333.1
20010101 20011231   265.3
20020101 20021231   156.4
20030101 20031231   304.8
20040101 20041231   250.5
20050101 20051231   373.5
20060101 20061231   149.5
20070101 20071231   277.8
20080101 20081231   231.6
20090101 20091231   266.0
20100101 20101231 99999.9
20110101 20111231   560.1
20120101 20121231   205.2
20130101 20131231   262.7
20140101 20141231   327.4
20150101 20151231   227.3
20160101 20161231   375.5
