PRCP       025507 19070101 20171231 missing_value=99999.9 KEITH                                     
19070101 19071231   526.5
19080101 19081231   402.9
19090101 19091231   609.6
19100101 19101231   505.9
19110101 19111231   440.6
19120101 19121231   448.3
19130101 19131231   465.7
19140101 19141231   310.2
19150101 19151231   374.5
19160101 19161231   578.5
19170101 19171231   634.0
19180101 19181231   355.0
19190101 19191231   380.4
19200101 19201231   437.4
19210101 19211231   455.2
19220101 19221231   480.5
19230101 19231231   531.8
19240101 19241231   461.5
19250101 19251231   373.5
19260101 19261231   395.0
19270101 19271231   387.3
19280101 19281231   490.6
19290101 19291231   437.8
19300101 19301231   442.7
19310101 19311231   432.4
19320101 19321231   515.3
19330101 19331231   423.5
19340101 19341231   466.0
19350101 19351231   476.4
19360101 19361231   450.9
19370101 19371231   489.9
19380101 19381231   351.5
19390101 19391231   452.2
19400101 19401231   378.5
19410101 19411231   479.3
19420101 19421231   512.5
19430101 19431231   459.1
19440101 19441231   314.7
19450101 19451231   402.0
19460101 19461231   540.3
19470101 19471231   718.9
19480101 19481231   501.9
19490101 19491231   396.4
19500101 19501231   396.0
19510101 19511231   537.6
19520101 19521231   549.1
19530101 19531231   576.2
19540101 19541231   402.5
19550101 19551231   568.8
19560101 19561231   594.5
19570101 19571231   361.0
19580101 19581231   500.9
19590101 19591231   262.5
19600101 19601231   631.8
19610101 19611231   423.6
19620101 19621231   572.4
19630101 19631231   442.7
19640101 19641231   630.2
19650101 19651231   352.7
19660101 19661231   502.0
19670101 19671231   253.6
19680101 19681231   622.6
19690101 19691231   355.9
19700101 19701231   533.5
19710101 19711231   569.2
19720101 19721231   445.2
19730101 19731231   641.3
19740101 19741231   636.8
19750101 19751231   543.6
19760101 19761231   383.8
19770101 19771231   348.5
19780101 19781231   443.9
19790101 19791231   560.0
19800101 19801231   480.6
19810101 19811231   563.0
19820101 19821231   249.4
19830101 19831231   549.8
19840101 19841231   451.2
19850101 19851231   400.0
19860101 19861231   521.6
19870101 19871231   440.6
19880101 19881231   510.4
19890101 19891231   505.0
19900101 19901231   433.0
19910101 19911231   496.8
19920101 19921231   587.6
19930101 19931231   422.2
19940101 19941231   308.6
19950101 19951231   470.6
19960101 19961231   551.0
19970101 19971231   390.1
19980101 19981231   422.5
19990101 19991231   410.1
20000101 20001231   456.0
20010101 20011231   480.6
20020101 20021231   380.3
20030101 20031231   449.6
20040101 20041231   410.8
20050101 20051231   415.5
20060101 20061231   247.0
20070101 20071231   428.2
20080101 20081231   339.5
20090101 20091231   454.6
20100101 20101231   577.8
20110101 20111231   523.9
20120101 20121231   383.8
20130101 20131231   415.7
20140101 20141231   292.0
20150101 20151231   329.1
20160101 20161231   616.0
20170101 20171231   493.3
