PRCP       026025 18630101 20141231 missing_value=99999.9 PENOLA POST OFFICE                        
18630101 18631231  1040.1
18640101 18641231   601.5
18650101 18651231   661.6
18660101 18661231   686.7
18670101 18671231   758.7
18680101 18681231   691.7
18690101 18691231   637.1
18700101 18701231   980.0
18710101 18711231   646.0
18720101 18721231   748.6
18730101 18731231   668.3
18740101 18741231   647.1
18750101 18751231   857.8
18760101 18761231   631.0
18770101 18771231   477.6
18780101 18781231   568.7
18790101 18791231   600.3
18800101 18801231   672.2
18810101 18811231   611.9
18820101 18821231   574.2
18830101 18831231   766.8
18840101 18841231   721.8
18850101 18851231   707.6
18860101 18861231   640.7
18870101 18871231   686.4
18880101 18881231   537.2
18890101 18891231   793.5
18900101 18901231   666.3
18910101 18911231   531.2
18920101 18921231   578.5
18930101 18931231   769.2
18940101 18941231   748.1
18950101 18951231   745.0
18960101 18961231   578.1
18970101 18971231   549.4
18980101 18981231   640.6
18990101 18991231   521.3
19000101 19001231   649.7
19010101 19011231   633.6
19020101 19021231   575.4
19030101 19031231   727.1
19040101 19041231   566.0
19050101 19051231   598.5
19060101 19061231   776.9
19070101 19071231   640.7
19080101 19081231   638.5
19090101 19091231   780.8
19100101 19101231   855.9
19110101 19111231   613.9
19120101 19121231   651.7
19130101 19131231   492.0
19140101 19141231   352.6
19150101 19151231   683.8
19160101 19161231   729.6
19170101 19171231   833.8
19180101 19181231   548.5
19190101 19191231   516.0
19200101 19201231   650.2
19210101 19211231   569.5
19220101 19221231   610.5
19230101 19231231   787.8
19240101 19241231   623.6
19250101 19251231   639.5
19260101 19261231   576.3
19270101 19271231   567.0
19280101 19281231   689.9
19290101 19291231   606.2
19300101 19301231   652.4
19310101 19311231   515.0
19320101 19321231   631.9
19330101 19331231   601.4
19340101 19341231   570.7
19350101 19351231   607.2
19360101 19361231   577.2
19370101 19371231   571.2
19380101 19381231   500.4
19390101 19391231   647.1
19400101 19401231   491.5
19410101 19411231   608.1
19420101 19421231   764.4
19430101 19431231   643.6
19440101 19441231   636.3
19450101 19451231   631.8
19460101 19461231  1027.5
19470101 19471231   907.0
19480101 19481231   618.1
19490101 19491231   591.2
19500101 19501231   538.7
19510101 19511231   698.5
19520101 19521231   776.5
19530101 19531231   716.5
19540101 19541231   589.7
19550101 19551231   786.7
19560101 19561231   829.5
19570101 19571231   584.0
19580101 19581231   736.1
19590101 19591231   468.6
19600101 19601231   778.1
19610101 19611231   500.4
19620101 19621231   732.6
19630101 19631231   570.3
19640101 19641231   835.8
19650101 19651231   590.1
19660101 19661231   609.3
19670101 19671231   346.8
19680101 19681231   829.2
19690101 19691231   533.3
19700101 19701231   732.4
19710101 19711231   843.0
19720101 19721231   583.0
19730101 19731231   754.2
19740101 19741231   779.6
19750101 19751231   759.9
19760101 19761231   639.6
19770101 19771231   603.6
19780101 19781231   577.4
19790101 19791231   699.2
19800101 19801231   593.8
19810101 19811231   738.6
19820101 19821231   414.6
19830101 19831231   755.4
19840101 19841231   748.2
19850101 19851231   621.6
19860101 19861231   640.8
19870101 19871231   545.2
19880101 19881231   765.0
19890101 19891231   691.6
19900101 19901231   580.0
19910101 19911231   683.0
19920101 19921231   847.6
19930101 19931231   632.0
19940101 19941231   517.8
19950101 19951231   599.4
19960101 19961231   711.0
19970101 19971231   529.0
19980101 19981231   526.3
19990101 19991231   594.9
20000101 20001231   671.2
20010101 20011231   687.8
20020101 20021231   555.4
20030101 20031231   730.4
20040101 20041231   686.0
20050101 20051231   556.8
20060101 20061231   435.1
20070101 20071231   678.0
20080101 20081231   504.7
20090101 20091231   657.1
20100101 20101231   733.0
20110101 20111231   762.1
20120101 20121231 99999.9
20130101 20131231   760.7
20140101 20141231   504.9
