PRCP       026026 19010101 20171231 missing_value=99999.9 ROBE                                      
19010101 19011231   664.6
19020101 19021231   544.6
19030101 19031231   742.2
19040101 19041231   563.5
19050101 19051231   664.2
19060101 19061231   786.5
19070101 19071231   531.7
19080101 19081231   614.0
19090101 19091231   838.0
19100101 19101231   919.6
19110101 19111231   643.5
19120101 19121231   629.7
19130101 19131231   520.7
19140101 19141231   491.6
19150101 19151231   707.1
19160101 19161231   718.0
19170101 19171231   745.9
19180101 19181231   585.5
19190101 19191231   477.4
19200101 19201231   607.5
19210101 19211231   596.9
19220101 19221231   714.4
19230101 19231231   633.5
19240101 19241231   615.7
19250101 19251231   678.6
19260101 19261231   680.7
19270101 19271231   605.5
19280101 19281231   684.3
19290101 19291231   638.2
19300101 19301231   599.2
19310101 19311231   626.6
19320101 19321231   699.3
19330101 19331231   571.3
19340101 19341231   571.6
19350101 19351231   632.7
19360101 19361231   565.7
19370101 19371231   625.4
19380101 19381231   534.2
19390101 19391231   664.9
19400101 19401231   439.5
19410101 19411231   475.8
19420101 19421231   706.2
19430101 19431231   686.4
19440101 19441231   576.3
19450101 19451231   628.8
19460101 19461231   753.8
19470101 19471231   862.6
19480101 19481231   652.4
19490101 19491231   540.6
19500101 19501231   586.0
19510101 19511231   746.8
19520101 19521231   798.6
19530101 19531231   755.4
19540101 19541231   570.0
19550101 19551231   762.2
19560101 19561231   857.7
19570101 19571231   544.3
19580101 19581231   693.3
19590101 19591231   420.7
19600101 19601231   782.4
19610101 19611231   483.4
19620101 19621231   697.1
19630101 19631231   567.7
19640101 19641231   831.1
19650101 19651231   583.7
19660101 19661231   588.2
19670101 19671231   343.2
19680101 19681231   764.4
19690101 19691231   590.0
19700101 19701231   639.7
19710101 19711231   802.6
19720101 19721231   554.0
19730101 19731231   725.9
19740101 19741231   786.0
19750101 19751231   786.0
19760101 19761231   587.1
19770101 19771231   571.3
19780101 19781231   604.1
19790101 19791231   748.4
19800101 19801231   615.6
19810101 19811231   702.3
19820101 19821231   492.6
19830101 19831231   745.3
19840101 19841231   758.7
19850101 19851231   638.6
19860101 19861231   633.6
19870101 19871231   546.3
19880101 19881231   722.9
19890101 19891231   711.9
19900101 19901231   644.7
19910101 19911231   589.8
19920101 19921231   713.4
19930101 19931231   585.6
19940101 19941231   511.2
19950101 19951231   526.6
19960101 19961231   643.2
19970101 19971231   534.2
19980101 19981231   516.2
19990101 19991231   534.2
20000101 20001231   850.8
20010101 20011231   683.0
20020101 20021231   567.2
20030101 20031231   723.5
20040101 20041231   725.3
20050101 20051231   540.6
20060101 20061231   397.8
20070101 20071231   623.8
20080101 20081231   559.8
20090101 20091231   682.2
20100101 20101231   684.4
20110101 20111231   552.4
20120101 20121231   623.6
20130101 20131231   686.8
20140101 20141231   506.5
20150101 20151231   467.2
20160101 20161231   916.4
20170101 20171231   749.0
