PRCP       028004 18900101 20171231 missing_value=99999.9 PALMERVILLE                               
18900101 18901231  1150.4
18910101 18911231  1082.2
18920101 18921231   888.6
18930101 18931231   703.4
18940101 18941231  1466.8
18950101 18951231   927.0
18960101 18961231  1125.5
18970101 18971231  1116.3
18980101 18981231  1268.2
18990101 18991231  1041.6
19000101 19001231   626.9
19010101 19011231   943.9
19020101 19021231   716.8
19030101 19031231  1766.8
19040101 19041231  1238.7
19050101 19051231   511.2
19060101 19061231  1271.3
19070101 19071231  1205.0
19080101 19081231  1067.9
19090101 19091231  1238.7
19100101 19101231  1733.4
19110101 19111231  1703.0
19120101 19121231   734.2
19130101 19131231  2098.6
19140101 19141231   847.7
19150101 19151231   779.7
19160101 19161231   954.4
19170101 19171231  1243.6
19180101 19181231   843.6
19190101 19191231   483.4
19200101 19201231   820.1
19210101 19211231  1160.7
19220101 19221231   982.4
19230101 19231231   678.3
19240101 19241231  1117.3
19250101 19251231  1283.3
19260101 19261231   603.0
19270101 19271231   994.1
19280101 19281231   905.6
19290101 19291231   987.1
19300101 19301231  1224.2
19310101 19311231   902.8
19320101 19321231   875.8
19330101 19331231  1396.3
19340101 19341231  1193.9
19350101 19351231   733.5
19360101 19361231  1139.0
19370101 19371231   781.2
19380101 19381231   902.6
19390101 19391231  1084.3
19400101 19401231   962.6
19410101 19411231   722.7
19420101 19421231   719.6
19430101 19431231   943.7
19440101 19441231  1378.1
19450101 19451231   951.6
19460101 19461231   899.1
19470101 19471231   932.0
19480101 19481231   973.0
19490101 19491231  1427.0
19500101 19501231   988.1
19510101 19511231   668.6
19520101 19521231   735.4
19530101 19531231   848.6
19540101 19541231   964.5
19550101 19551231  1308.6
19560101 19561231  1451.6
19570101 19571231   987.3
19580101 19581231   984.7
19590101 19591231   959.4
19600101 19601231  1019.9
19610101 19611231   817.5
19620101 19621231  1220.3
19630101 19631231  1178.8
19640101 19641231  1570.0
19650101 19651231   903.2
19660101 19661231   448.3
19670101 19671231  1075.8
19680101 19681231  1075.9
19690101 19691231   749.4
19700101 19701231   967.1
19710101 19711231  1269.2
19720101 19721231   999.8
19730101 19731231  1594.5
19740101 19741231  1488.8
19750101 19751231  1372.8
19760101 19761231  1432.3
19770101 19771231  1384.1
19780101 19781231   731.4
19790101 19791231  1573.8
19800101 19801231   807.7
19810101 19811231  1254.6
19820101 19821231   580.7
19830101 19831231   945.2
19840101 19841231  1096.3
19850101 19851231   682.0
19860101 19861231   781.3
19870101 19871231   808.4
19880101 19881231   593.2
19890101 19891231   730.1
19900101 19901231   537.1
19910101 19911231  1170.0
19920101 19921231   833.8
19930101 19931231   758.2
19940101 19941231   905.2
19950101 19951231  1187.8
19960101 19961231  1335.8
19970101 19971231   911.8
19980101 19981231  1353.5
19990101 19991231 99999.9
20000101 20001231  1366.0
20010101 20011231   874.0
20020101 20021231   924.4
20030101 20031231   703.6
20040101 20041231   976.6
20050101 20051231   732.9
20060101 20061231  1121.6
20070101 20071231  1699.8
20080101 20081231  1215.8
20090101 20091231  1310.2
20100101 20101231  1672.0
20110101 20111231 99999.9
20120101 20121231   810.4
20130101 20131231  1166.8
20140101 20141231   736.6
20150101 20151231   715.2
20160101 20161231   829.4
20170101 20171231   667.6
