PRCP       029004 18870101 20171231 missing_value=99999.9 BURKETOWN POST OFFICE                     
18870101 18871231   850.8
18880101 18881231   429.5
18890101 18891231   925.6
18900101 18901231   938.6
18910101 18911231  1680.6
18920101 18921231   326.1
18930101 18931231   287.9
18940101 18941231  1930.5
18950101 18951231   606.4
18960101 18961231   657.3
18970101 18971231   802.5
18980101 18981231   437.9
18990101 18991231   920.1
19000101 19001231   357.4
19010101 19011231   839.5
19020101 19021231   187.6
19030101 19031231  1292.7
19040101 19041231   765.0
19050101 19051231   263.0
19060101 19061231   458.9
19070101 19071231   813.4
19080101 19081231   499.8
19090101 19091231   678.4
19100101 19101231   575.8
19110101 19111231   706.7
19120101 19121231   415.7
19130101 19131231   517.6
19140101 19141231   520.8
19150101 19151231   449.4
19160101 19161231   693.3
19170101 19171231   684.0
19180101 19181231   682.8
19190101 19191231   801.5
19200101 19201231  1092.2
19210101 19211231   873.6
19220101 19221231  1038.3
19230101 19231231   336.1
19240101 19241231  1021.1
19250101 19251231   969.2
19260101 19261231   438.7
19270101 19271231   827.1
19280101 19281231   912.2
19290101 19291231   552.4
19300101 19301231  1059.5
19310101 19311231   462.4
19320101 19321231   499.1
19330101 19331231   506.5
19340101 19341231   278.3
19350101 19351231   700.9
19360101 19361231   758.7
19370101 19371231   361.8
19380101 19381231   527.1
19390101 19391231  1163.0
19400101 19401231   915.5
19410101 19411231   717.6
19420101 19421231   523.7
19430101 19431231   402.6
19440101 19441231   832.2
19450101 19451231   682.4
19460101 19461231   869.9
19470101 19471231  1295.4
19480101 19481231   588.6
19490101 19491231   785.8
19500101 19501231  1715.4
19510101 19511231   582.9
19520101 19521231   387.3
19530101 19531231  1073.7
19540101 19541231  1039.3
19550101 19551231  1246.8
19560101 19561231  1645.0
19570101 19571231   723.8
19580101 19581231   755.6
19590101 19591231   699.9
19600101 19601231   530.5
19610101 19611231   264.3
19620101 19621231   445.6
19630101 19631231   407.1
19640101 19641231   923.3
19650101 19651231   736.6
19660101 19661231   390.6
19670101 19671231   784.0
19680101 19681231  1051.0
19690101 19691231   434.8
19700101 19701231   807.1
19710101 19711231   921.0
19720101 19721231   682.2
19730101 19731231  1543.8
19740101 19741231  1596.7
19750101 19751231  1005.0
19760101 19761231  1442.3
19770101 19771231  1151.9
19780101 19781231   472.1
19790101 19791231   864.0
19800101 19801231   407.2
19810101 19811231   822.6
19820101 19821231   551.4
19830101 19831231   727.6
19840101 19841231  1188.0
19850101 19851231   532.2
19860101 19861231   554.2
19870101 19871231   583.0
19880101 19881231   495.4
19890101 19891231   726.6
19900101 19901231   352.4
19910101 19911231   874.2
19920101 19921231   504.0
19930101 19931231  1199.2
19940101 19941231 99999.9
19950101 19951231   642.0
19960101 19961231   775.0
19970101 19971231   617.5
19980101 19981231  2026.6
19990101 19991231   850.1
20000101 20001231  1980.8
20010101 20011231   518.5
20020101 20021231   629.2
20030101 20031231   565.8
20040101 20041231   792.3
20050101 20051231   552.4
20060101 20061231  1301.4
20070101 20071231   690.3
20080101 20081231   659.2
20090101 20091231  1159.4
20100101 20101231  1840.5
20110101 20111231  1586.2
20120101 20121231   740.2
20130101 20131231   616.7
20140101 20141231  1002.4
20150101 20151231   761.1
20160101 20161231   702.2
20170101 20171231  1074.0
