PRCP       029032 19090101 20171231 missing_value=99999.9 LORRAINE                                  
19090101 19091231   666.6
19100101 19101231   546.4
19110101 19111231   674.5
19120101 19121231   619.3
19130101 19131231   477.0
19140101 19141231   492.8
19150101 19151231   389.9
19160101 19161231   905.6
19170101 19171231   553.9
19180101 19181231   476.3
19190101 19191231   458.7
19200101 19201231   781.7
19210101 19211231   649.3
19220101 19221231   475.3
19230101 19231231   405.8
19240101 19241231   910.6
19250101 19251231   655.3
19260101 19261231   246.3
19270101 19271231   317.9
19280101 19281231   453.1
19290101 19291231   602.5
19300101 19301231   631.6
19310101 19311231   221.9
19320101 19321231   277.0
19330101 19331231   669.7
19340101 19341231   203.7
19350101 19351231   381.0
19360101 19361231   636.7
19370101 19371231   381.5
19380101 19381231   364.4
19390101 19391231   567.4
19400101 19401231   654.0
19410101 19411231   601.2
19420101 19421231   323.5
19430101 19431231   624.0
19440101 19441231   631.3
19450101 19451231   455.8
19460101 19461231   325.5
19470101 19471231   843.1
19480101 19481231   408.6
19490101 19491231   661.5
19500101 19501231   920.8
19510101 19511231   411.2
19520101 19521231   378.0
19530101 19531231   671.8
19540101 19541231   642.9
19550101 19551231   566.5
19560101 19561231   936.5
19570101 19571231   766.7
19580101 19581231   697.6
19590101 19591231   421.4
19600101 19601231   416.0
19610101 19611231   326.2
19620101 19621231   311.9
19630101 19631231   360.9
19640101 19641231   589.5
19650101 19651231   424.0
19660101 19661231   401.9
19670101 19671231   519.0
19680101 19681231   875.9
19690101 19691231   312.7
19700101 19701231   275.4
19710101 19711231   877.6
19720101 19721231   335.7
19730101 19731231  1094.3
19740101 19741231  1675.0
19750101 19751231   598.2
19760101 19761231   848.5
19770101 19771231   794.3
19780101 19781231   409.3
19790101 19791231   847.8
19800101 19801231   573.3
19810101 19811231  1048.8
19820101 19821231   646.4
19830101 19831231   488.3
19840101 19841231   482.4
19850101 19851231   379.4
19860101 19861231   377.9
19870101 19871231   560.9
19880101 19881231   284.3
19890101 19891231   411.1
19900101 19901231   265.8
19910101 19911231 99999.9
19920101 19921231   209.5
19930101 19931231   675.5
19940101 19941231   305.5
19950101 19951231   381.8
19960101 19961231   204.5
19970101 19971231   612.5
19980101 19981231   775.7
19990101 19991231   559.6
20000101 20001231  1243.4
20010101 20011231   420.4
20020101 20021231   280.0
20030101 20031231   454.7
20040101 20041231   629.8
20050101 20051231   335.7
20060101 20061231   879.7
20070101 20071231   643.0
20080101 20081231   387.1
20090101 20091231   933.8
20100101 20101231  1098.2
20110101 20111231   800.6
20120101 20121231   807.1
20130101 20131231   257.2
20140101 20141231   535.5
20150101 20151231   572.3
20160101 20161231   515.9
20170101 20171231   510.5
