PRCP       031011 19100101 20171231 missing_value=99999.9 CAIRNS AERO                               
19100101 19101231  3051.2
19110101 19111231  3866.6
19120101 19121231  1366.0
19130101 19131231  2711.1
19140101 19141231  2092.0
19150101 19151231   701.3
19160101 19161231  2108.6
19170101 19171231  1569.2
19180101 19181231  1687.4
19190101 19191231  1236.7
19200101 19201231  2424.1
19210101 19211231  3163.4
19220101 19221231  1369.4
19230101 19231231  1152.0
19240101 19241231  1938.6
19250101 19251231  1693.8
19260101 19261231  1351.2
19270101 19271231  1696.8
19280101 19281231  1447.1
19290101 19291231  2069.2
19300101 19301231  2373.3
19310101 19311231  1959.4
19320101 19321231  2008.9
19330101 19331231  2596.6
19340101 19341231  2718.3
19350101 19351231  1995.0
19360101 19361231  2321.9
19370101 19371231  1147.7
19380101 19381231  1496.9
19390101 19391231  3233.9
19400101 19401231  2245.1
19410101 19411231  2310.0
19420101 19421231  1877.9
19430101 19431231  1390.6
19440101 19441231  1387.6
19450101 19451231  3083.4
19460101 19461231  1218.2
19470101 19471231  1461.1
19480101 19481231  1722.0
19490101 19491231  2043.1
19500101 19501231  2998.6
19510101 19511231  1149.9
19520101 19521231  1670.3
19530101 19531231  2569.3
19540101 19541231  1611.2
19550101 19551231  2520.7
19560101 19561231  1895.6
19570101 19571231  1960.8
19580101 19581231  2089.7
19590101 19591231  2731.9
19600101 19601231  1262.6
19610101 19611231  1182.8
19620101 19621231  1858.6
19630101 19631231  2240.0
19640101 19641231  2614.8
19650101 19651231  2031.0
19660101 19661231   928.1
19670101 19671231  2340.3
19680101 19681231  1912.4
19690101 19691231  1938.0
19700101 19701231  2090.6
19710101 19711231  1912.0
19720101 19721231  2780.1
19730101 19731231  2851.8
19740101 19741231  2498.5
19750101 19751231  2428.0
19760101 19761231  2000.1
19770101 19771231  2783.9
19780101 19781231  1425.0
19790101 19791231  2835.8
19800101 19801231  1471.8
19810101 19811231  2793.6
19820101 19821231  1445.4
19830101 19831231  1821.8
19840101 19841231  1752.0
19850101 19851231  2490.2
19860101 19861231  1578.2
19870101 19871231  1993.4
19880101 19881231  1602.2
19890101 19891231  2493.4
19900101 19901231  1842.2
19910101 19911231  2046.0
19920101 19921231  1546.8
19930101 19931231  1574.2
19940101 19941231  1990.4
19950101 19951231  2074.8
19960101 19961231  2083.0
19970101 19971231  1899.8
19980101 19981231  1664.8
19990101 19991231  2534.6
20000101 20001231  3148.8
20010101 20011231  1667.8
20020101 20021231   721.0
20030101 20031231  1279.2
20040101 20041231  2777.6
20050101 20051231  1470.8
20060101 20061231  2289.0
20070101 20071231  1813.0
20080101 20081231  2215.2
20090101 20091231  2199.4
20100101 20101231  2659.8
20110101 20111231  2623.2
20120101 20121231  2003.4
20130101 20131231  1268.6
20140101 20141231  1826.6
20150101 20151231  1906.4
20160101 20161231  1406.4
20170101 20171231  1688.6
