PRCP       032040 18930101 20171231 missing_value=99999.9 TOWNSVILLE AERO                           
18930101 18931231  1393.1
18940101 18941231  2701.1
18950101 18951231   971.6
18960101 18961231  1507.3
18970101 18971231  1058.7
18980101 18981231  1172.5
18990101 18991231  1457.2
19000101 19001231   494.7
19010101 19011231  1151.1
19020101 19021231   186.8
19030101 19031231  1924.6
19040101 19041231   476.6
19050101 19051231   667.6
19060101 19061231  2100.6
19070101 19071231  1114.1
19080101 19081231  1236.3
19090101 19091231  1182.4
19100101 19101231  2208.5
19110101 19111231  1573.6
19120101 19121231  1127.3
19130101 19131231  1621.5
19140101 19141231  1358.7
19150101 19151231   498.2
19160101 19161231  1276.6
19170101 19171231  1816.1
19180101 19181231  1383.8
19190101 19191231   554.8
19200101 19201231  1607.9
19210101 19211231  1245.8
19220101 19221231   815.0
19230101 19231231   852.4
19240101 19241231  1888.7
19250101 19251231  1112.7
19260101 19261231   939.9
19270101 19271231  1777.3
19280101 19281231   729.2
19290101 19291231  1608.6
19300101 19301231  1703.5
19310101 19311231   798.3
19320101 19321231   686.0
19330101 19331231  1540.5
19340101 19341231  1492.5
19350101 19351231   434.9
19360101 19361231  2076.1
19370101 19371231  1105.9
19380101 19381231   967.6
19390101 19391231  1001.0
19400101 19401231  2622.1
19410101 19411231  1964.1
19420101 19421231  1117.4
19430101 19431231   913.1
19440101 19441231  1128.5
19450101 19451231  1034.4
19460101 19461231  1344.7
19470101 19471231  1402.8
19480101 19481231   633.1
19490101 19491231  1312.2
19500101 19501231  2195.9
19510101 19511231  1042.3
19520101 19521231   923.5
19530101 19531231  1800.7
19540101 19541231  1503.4
19550101 19551231  1561.1
19560101 19561231  2029.1
19570101 19571231   737.8
19580101 19581231  1422.7
19590101 19591231  1242.5
19600101 19601231  1366.9
19610101 19611231   596.8
19620101 19621231   879.6
19630101 19631231  1068.9
19640101 19641231  1259.7
19650101 19651231  1032.7
19660101 19661231   532.0
19670101 19671231   766.8
19680101 19681231  1482.8
19690101 19691231   464.2
19700101 19701231   722.5
19710101 19711231  1106.4
19720101 19721231  1090.4
19730101 19731231  1531.3
19740101 19741231  1705.7
19750101 19751231  1447.5
19760101 19761231  1437.1
19770101 19771231  1319.8
19780101 19781231  1070.4
19790101 19791231  1025.0
19800101 19801231   721.8
19810101 19811231  1761.6
19820101 19821231   701.0
19830101 19831231   781.8
19840101 19841231   961.1
19850101 19851231   629.6
19860101 19861231   624.0
19870101 19871231   767.6
19880101 19881231   810.6
19890101 19891231  1121.8
19900101 19901231  1668.0
19910101 19911231  1530.2
19920101 19921231   597.8
19930101 19931231   496.0
19940101 19941231   469.6
19950101 19951231   709.8
19960101 19961231   630.2
19970101 19971231  1496.8
19980101 19981231  1992.2
19990101 19991231  1076.4
20000101 20001231  2399.8
20010101 20011231   467.2
20020101 20021231   768.6
20030101 20031231   580.4
20040101 20041231   864.8
20050101 20051231   513.6
20060101 20061231   993.8
20070101 20071231  1295.4
20080101 20081231  1445.2
20090101 20091231  1989.4
20100101 20101231  2006.4
20110101 20111231  1551.4
20120101 20121231  1314.6
20130101 20131231   715.2
20140101 20141231  1037.2
20150101 20151231   397.6
20160101 20161231   951.4
20170101 20171231   789.6
