PRCP       033060 18930101 20171231 missing_value=99999.9 PLEYSTOWE SUGAR MILL                      
18930101 18931231  1214.4
18940101 18941231  2574.9
18950101 18951231  1683.2
18960101 18961231  1896.6
18970101 18971231  1167.6
18980101 18981231  2170.6
18990101 18991231  1875.0
19000101 19001231  1314.7
19010101 19011231  1634.4
19020101 19021231   849.5
19030101 19031231  1875.2
19040101 19041231  1309.4
19050101 19051231  1725.3
19060101 19061231  3093.8
19070101 19071231  1082.3
19080101 19081231  1976.0
19090101 19091231  1519.8
19100101 19101231  2421.9
19110101 19111231  1474.6
19120101 19121231  1195.0
19130101 19131231  2057.8
19140101 19141231  1998.1
19150101 19151231   826.9
19160101 19161231  1531.7
19170101 19171231  1921.7
19180101 19181231  3104.4
19190101 19191231  1161.4
19200101 19201231  1361.7
19210101 19211231  2536.8
19220101 19221231   849.8
19230101 19231231   563.5
19240101 19241231  1311.0
19250101 19251231  1233.3
19260101 19261231   954.8
19270101 19271231  2123.4
19280101 19281231  2150.6
19290101 19291231  1773.2
19300101 19301231  1594.1
19310101 19311231   801.9
19320101 19321231  1214.9
19330101 19331231  1913.1
19340101 19341231  1084.3
19350101 19351231  1089.5
19360101 19361231  2409.4
19370101 19371231  1446.9
19380101 19381231  1365.3
19390101 19391231  1468.9
19400101 19401231  2133.9
19410101 19411231  1807.8
19420101 19421231  2278.4
19430101 19431231  1333.8
19440101 19441231  1336.1
19450101 19451231  1175.7
19460101 19461231  1462.2
19470101 19471231  1394.1
19480101 19481231  1049.0
19490101 19491231  1038.9
19500101 19501231  2814.1
19510101 19511231  1748.1
19520101 19521231  1081.2
19530101 19531231  1478.6
19540101 19541231  2621.0
19550101 19551231  2868.9
19560101 19561231  2728.9
19570101 19571231   894.3
19580101 19581231  3171.5
19590101 19591231  1872.5
19600101 19601231  1954.4
19610101 19611231  1059.1
19620101 19621231  1411.2
19630101 19631231  2480.5
19640101 19641231  1235.7
19650101 19651231   971.6
19660101 19661231   980.7
19670101 19671231  1425.9
19680101 19681231  1862.3
19690101 19691231  1073.8
19700101 19701231  2032.6
19710101 19711231  1616.9
19720101 19721231  1559.6
19730101 19731231  1785.9
19740101 19741231  2884.5
19750101 19751231  2137.4
19760101 19761231  1946.2
19770101 19771231  1716.0
19780101 19781231  1530.8
19790101 19791231  2785.0
19800101 19801231  1169.4
19810101 19811231  1743.1
19820101 19821231  1089.5
19830101 19831231  1425.9
19840101 19841231   758.2
19850101 19851231  1851.8
19860101 19861231  1092.2
19870101 19871231   844.8
19880101 19881231  2024.0
19890101 19891231  2034.7
19900101 19901231  2473.8
19910101 19911231  2299.0
19920101 19921231   598.9
19930101 19931231  1412.3
19940101 19941231   968.6
19950101 19951231  1052.5
19960101 19961231  1309.1
19970101 19971231  1548.8
19980101 19981231  1676.4
19990101 19991231  1812.6
20000101 20001231  2689.2
20010101 20011231  1021.3
20020101 20021231   849.6
20030101 20031231  1100.8
20040101 20041231   882.4
20050101 20051231  1276.0
20060101 20061231  1230.3
20070101 20071231  2139.9
20080101 20081231  2242.5
20090101 20091231  1705.5
20100101 20101231  3648.0
20110101 20111231  2242.0
20120101 20121231  2408.0
20130101 20131231  1795.5
20140101 20141231  1382.0
20150101 20151231   951.0
20160101 20161231  1952.9
20170101 20171231  2354.4
