PRCP       035010 19310101 20091231 missing_value=99999.9 BLAIR ATHOL                               
19310101 19311231   316.6
19320101 19321231   155.8
19330101 19331231  1068.7
19340101 19341231   414.2
19350101 19351231   297.1
19360101 19361231   582.8
19370101 19371231   484.3
19380101 19381231   546.8
19390101 19391231   580.1
19400101 19401231   715.2
19410101 19411231   840.9
19420101 19421231   719.8
19430101 19431231   503.0
19440101 19441231   571.6
19450101 19451231   419.3
19460101 19461231   413.3
19470101 19471231   460.5
19480101 19481231   267.0
19490101 19491231   583.4
19500101 19501231  1366.6
19510101 19511231   408.8
19520101 19521231   362.0
19530101 19531231   448.2
19540101 19541231   969.1
19550101 19551231  1092.6
19560101 19561231  1164.8
19570101 19571231   555.6
19580101 19581231  1060.1
19590101 19591231   664.5
19600101 19601231   562.0
19610101 19611231   592.2
19620101 19621231   480.7
19630101 19631231   749.2
19640101 19641231   446.5
19650101 19651231   478.5
19660101 19661231   510.1
19670101 19671231   540.7
19680101 19681231   730.3
19690101 19691231   314.6
19700101 19701231   509.1
19710101 19711231   678.8
19720101 19721231   410.3
19730101 19731231  1088.4
19740101 19741231   932.0
19750101 19751231  1071.7
19760101 19761231   750.6
19770101 19771231   700.1
19780101 19781231   901.6
19790101 19791231   445.3
19800101 19801231   393.8
19810101 19811231   789.6
19820101 19821231   308.1
19830101 19831231  1118.5
19840101 19841231   595.1
19850101 19851231   644.6
19860101 19861231   497.5
19870101 19871231   682.9
19880101 19881231   710.6
19890101 19891231   820.9
19900101 19901231   808.7
19910101 19911231   759.8
19920101 19921231   378.6
19930101 19931231   449.6
19940101 19941231   305.7
19950101 19951231   553.6
19960101 19961231   535.6
19970101 19971231   902.4
19980101 19981231   841.6
19990101 19991231   626.5
20000101 20001231   963.4
20010101 20011231   375.9
20020101 20021231   235.5
20030101 20031231   501.9
20040101 20041231   496.5
20050101 20051231   510.5
20060101 20061231   506.6
20070101 20071231   687.9
20080101 20081231   717.2
20090101 20091231   405.8
