PRCP       035070 18850101 20171231 missing_value=99999.9 TAROOM POST OFFICE                        
18850101 18851231   459.4
18860101 18861231   988.1
18870101 18871231   929.3
18880101 18881231   485.2
18890101 18891231   910.1
18900101 18901231  1204.6
18910101 18911231   681.8
18920101 18921231   881.2
18930101 18931231   805.6
18940101 18941231   958.1
18950101 18951231   515.7
18960101 18961231   684.8
18970101 18971231   633.7
18980101 18981231   602.4
18990101 18991231   678.8
19000101 19001231   616.2
19010101 19011231   489.0
19020101 19021231   243.0
19030101 19031231   904.5
19040101 19041231   521.4
19050101 19051231   613.6
19060101 19061231  1001.1
19070101 19071231   635.3
19080101 19081231   692.2
19090101 19091231   635.5
19100101 19101231   848.4
19110101 19111231   590.7
19120101 19121231   685.8
19130101 19131231   690.7
19140101 19141231   503.7
19150101 19151231   454.3
19160101 19161231   706.2
19170101 19171231   914.9
19180101 19181231   510.5
19190101 19191231   363.1
19200101 19201231   660.6
19210101 19211231   717.3
19220101 19221231   366.7
19230101 19231231   535.5
19240101 19241231  1028.1
19250101 19251231   695.8
19260101 19261231   611.9
19270101 19271231   724.4
19280101 19281231   726.8
19290101 19291231   773.9
19300101 19301231   533.5
19310101 19311231   693.8
19320101 19321231   481.0
19330101 19331231  1000.3
19340101 19341231   750.5
19350101 19351231   481.7
19360101 19361231   396.0
19370101 19371231   712.3
19380101 19381231   626.9
19390101 19391231   791.3
19400101 19401231   903.7
19410101 19411231   491.6
19420101 19421231   925.6
19430101 19431231   708.8
19440101 19441231   536.1
19450101 19451231   627.5
19460101 19461231   443.9
19470101 19471231   794.2
19480101 19481231   467.7
19490101 19491231   686.8
19500101 19501231  1033.3
19510101 19511231   358.4
19520101 19521231   609.8
19530101 19531231   571.1
19540101 19541231  1194.3
19550101 19551231   778.4
19560101 19561231  1152.3
19570101 19571231   361.7
19580101 19581231   621.8
19590101 19591231   687.2
19600101 19601231   703.8
19610101 19611231   838.6
19620101 19621231   817.0
19630101 19631231   550.4
19640101 19641231   559.5
19650101 19651231   488.0
19660101 19661231   535.8
19670101 19671231   665.4
19680101 19681231   630.9
19690101 19691231   682.9
19700101 19701231   805.1
19710101 19711231   675.7
19720101 19721231   655.6
19730101 19731231   814.1
19740101 19741231   701.4
19750101 19751231   715.4
19760101 19761231   666.1
19770101 19771231   457.2
19780101 19781231   838.3
19790101 19791231   672.3
19800101 19801231   514.2
19810101 19811231   821.9
19820101 19821231   545.0
19830101 19831231  1117.2
19840101 19841231  1054.5
19850101 19851231   507.8
19860101 19861231   607.6
19870101 19871231   437.4
19880101 19881231   571.3
19890101 19891231   803.4
19900101 19901231   627.6
19910101 19911231   425.3
19920101 19921231   577.3
19930101 19931231   593.4
19940101 19941231   500.6
19950101 19951231   805.9
19960101 19961231   668.6
19970101 19971231   593.0
19980101 19981231  1099.9
19990101 19991231   588.2
20000101 20001231   622.8
20010101 20011231   500.7
20020101 20021231   399.6
20030101 20031231   477.4
20040101 20041231   757.1
20050101 20051231   563.6
20060101 20061231   359.4
20070101 20071231   577.1
20080101 20081231   727.8
20090101 20091231   412.3
20100101 20101231  1594.0
20110101 20111231   664.4
20120101 20121231   747.1
20130101 20131231   563.2
20140101 20141231   555.9
20150101 20151231   560.0
20160101 20161231   493.5
20170101 20171231   547.3
