PRCP       036007 18870101 20171231 missing_value=99999.9 BARCALDINE POST OFFICE                    
18870101 18871231   626.6
18880101 18881231   237.1
18890101 18891231   519.7
18900101 18901231   907.1
18910101 18911231  1071.8
18920101 18921231   365.5
18930101 18931231   341.2
18940101 18941231   825.2
18950101 18951231   397.2
18960101 18961231   454.1
18970101 18971231   372.1
18980101 18981231   520.8
18990101 18991231   306.9
19000101 19001231   383.1
19010101 19011231   318.2
19020101 19021231   267.3
19030101 19031231   547.6
19040101 19041231   538.2
19050101 19051231   180.9
19060101 19061231   891.5
19070101 19071231   609.5
19080101 19081231   491.9
19090101 19091231   410.7
19100101 19101231   756.6
19110101 19111231   579.2
19120101 19121231   462.6
19130101 19131231   642.5
19140101 19141231   454.5
19150101 19151231   153.2
19160101 19161231   665.3
19170101 19171231   882.3
19180101 19181231   691.3
19190101 19191231   316.1
19200101 19201231   524.0
19210101 19211231   798.9
19220101 19221231   514.0
19230101 19231231   253.9
19240101 19241231   591.0
19250101 19251231   261.6
19260101 19261231   166.7
19270101 19271231   419.2
19280101 19281231   371.5
19290101 19291231   222.9
19300101 19301231   661.0
19310101 19311231   411.0
19320101 19321231   287.9
19330101 19331231   522.5
19340101 19341231   343.7
19350101 19351231   288.2
19360101 19361231   685.4
19370101 19371231   287.5
19380101 19381231   547.3
19390101 19391231   525.1
19400101 19401231   621.0
19410101 19411231   940.8
19420101 19421231   523.1
19430101 19431231   311.7
19440101 19441231   294.8
19450101 19451231   367.4
19460101 19461231   146.0
19470101 19471231   498.9
19480101 19481231   246.0
19490101 19491231   605.6
19500101 19501231  1191.5
19510101 19511231   314.7
19520101 19521231   472.3
19530101 19531231   225.7
19540101 19541231  1011.7
19550101 19551231  1012.1
19560101 19561231   899.4
19570101 19571231   427.1
19580101 19581231   529.4
19590101 19591231   353.2
19600101 19601231   570.6
19610101 19611231   398.5
19620101 19621231   576.9
19630101 19631231   627.9
19640101 19641231   383.3
19650101 19651231   280.7
19660101 19661231   373.5
19670101 19671231   305.2
19680101 19681231   365.9
19690101 19691231   388.3
19700101 19701231   315.7
19710101 19711231   517.7
19720101 19721231   313.5
19730101 19731231   822.8
19740101 19741231   825.4
19750101 19751231   572.1
19760101 19761231   439.6
19770101 19771231   755.3
19780101 19781231   760.4
19790101 19791231   304.0
19800101 19801231   693.3
19810101 19811231   725.0
19820101 19821231   239.7
19830101 19831231   684.6
19840101 19841231   568.3
19850101 19851231   403.4
19860101 19861231   215.2
19870101 19871231   409.9
19880101 19881231   244.6
19890101 19891231   469.2
19900101 19901231   689.8
19910101 19911231   350.0
19920101 19921231   452.2
19930101 19931231   334.7
19940101 19941231   235.8
19950101 19951231   290.8
19960101 19961231   512.9
19970101 19971231   687.2
19980101 19981231   749.9
19990101 19991231   530.7
20000101 20001231   850.6
20010101 20011231   533.2
20020101 20021231   175.7
20030101 20031231   334.1
20040101 20041231   513.8
20050101 20051231   397.0
20060101 20061231   367.1
20070101 20071231   697.2
20080101 20081231   413.9
20090101 20091231   511.9
20100101 20101231  1333.8
20110101 20111231   424.6
20120101 20121231   623.9
20130101 20131231   187.2
20140101 20141231   581.1
20150101 20151231   466.3
20160101 20161231   624.9
20170101 20171231   230.8
