PRCP       036026 18850101 20171231 missing_value=99999.9 ISISFORD POST OFFICE                      
18850101 18851231   296.7
18860101 18861231   740.4
18870101 18871231   661.2
18880101 18881231   191.2
18890101 18891231   418.2
18900101 18901231  1052.2
18910101 18911231  1195.0
18920101 18921231   400.8
18930101 18931231   395.1
18940101 18941231   885.3
18950101 18951231   436.0
18960101 18961231   500.0
18970101 18971231   343.7
18980101 18981231   454.7
18990101 18991231   223.7
19000101 19001231   211.7
19010101 19011231   350.1
19020101 19021231   262.5
19030101 19031231   539.8
19040101 19041231   359.0
19050101 19051231   203.3
19060101 19061231   913.4
19070101 19071231   355.4
19080101 19081231   606.3
19090101 19091231   276.9
19100101 19101231   554.1
19110101 19111231   495.1
19120101 19121231   314.9
19130101 19131231   519.9
19140101 19141231   538.2
19150101 19151231   243.9
19160101 19161231   555.7
19170101 19171231   564.1
19180101 19181231   616.5
19190101 19191231   245.4
19200101 19201231   699.3
19210101 19211231   581.7
19220101 19221231   342.6
19230101 19231231   242.0
19240101 19241231   897.1
19250101 19251231   363.7
19260101 19261231   200.0
19270101 19271231   239.6
19280101 19281231   257.8
19290101 19291231   239.7
19300101 19301231   467.3
19310101 19311231   502.8
19320101 19321231   247.5
19330101 19331231   507.9
19340101 19341231   247.9
19350101 19351231   220.3
19360101 19361231   531.3
19370101 19371231   305.2
19380101 19381231   125.3
19390101 19391231   379.6
19400101 19401231   477.6
19410101 19411231   744.1
19420101 19421231   359.1
19430101 19431231   277.6
19440101 19441231   423.2
19450101 19451231   263.0
19460101 19461231   202.4
19470101 19471231   469.2
19480101 19481231   205.9
19490101 19491231   628.3
19500101 19501231  1309.1
19510101 19511231   428.1
19520101 19521231   323.9
19530101 19531231   427.5
19540101 19541231   713.2
19550101 19551231   789.1
19560101 19561231   720.6
19570101 19571231   460.9
19580101 19581231   332.8
19590101 19591231   435.4
19600101 19601231   648.1
19610101 19611231   393.8
19620101 19621231   603.2
19630101 19631231   739.6
19640101 19641231   280.4
19650101 19651231   296.2
19660101 19661231   342.1
19670101 19671231   285.4
19680101 19681231   332.9
19690101 19691231   282.4
19700101 19701231   217.2
19710101 19711231   552.5
19720101 19721231   258.0
19730101 19731231   747.2
19740101 19741231   488.4
19750101 19751231   360.0
19760101 19761231   524.2
19770101 19771231   539.1
19780101 19781231   501.7
19790101 19791231   239.0
19800101 19801231   390.5
19810101 19811231   493.7
19820101 19821231   147.5
19830101 19831231   407.8
19840101 19841231   352.6
19850101 19851231   336.1
19860101 19861231   272.0
19870101 19871231   386.0
19880101 19881231   228.8
19890101 19891231   740.2
19900101 19901231   872.8
19910101 19911231   396.7
19920101 19921231   399.3
19930101 19931231   412.7
19940101 19941231   313.4
19950101 19951231   259.7
19960101 19961231   422.1
19970101 19971231   521.7
19980101 19981231   691.7
19990101 19991231   860.6
20000101 20001231   546.0
20010101 20011231   557.7
20020101 20021231   164.5
20030101 20031231   279.8
20040101 20041231   503.3
20050101 20051231   232.1
20060101 20061231   358.3
20070101 20071231   461.4
20080101 20081231   438.8
20090101 20091231   606.5
20100101 20101231  1076.5
20110101 20111231   477.1
20120101 20121231   559.3
20130101 20131231   294.5
20140101 20141231   352.6
20150101 20151231   186.8
20160101 20161231   587.0
20170101 20171231   228.2
