PRCP       036028 18910101 20091231 missing_value=99999.9 LERIDA                                    
18910101 18911231   928.9
18920101 18921231   268.7
18930101 18931231   333.1
18940101 18941231   705.6
18950101 18951231   596.5
18960101 18961231   490.9
18970101 18971231   414.4
18980101 18981231   596.7
18990101 18991231   196.4
19000101 19001231   119.5
19010101 19011231   216.6
19020101 19021231   107.0
19030101 19031231   417.8
19040101 19041231   378.9
19050101 19051231   107.0
19060101 19061231  1063.5
19070101 19071231   465.8
19080101 19081231   594.0
19090101 19091231   546.3
19100101 19101231   486.2
19110101 19111231   619.7
19120101 19121231   325.6
19130101 19131231   504.3
19140101 19141231   349.9
19150101 19151231   217.0
19160101 19161231   581.2
19170101 19171231  1071.8
19180101 19181231   535.7
19190101 19191231   294.2
19200101 19201231   826.9
19210101 19211231   445.2
19220101 19221231   527.7
19230101 19231231   140.3
19240101 19241231   770.6
19250101 19251231   461.1
19260101 19261231   188.8
19270101 19271231   404.6
19280101 19281231   151.8
19290101 19291231   243.1
19300101 19301231   630.3
19310101 19311231   238.5
19320101 19321231   258.6
19330101 19331231   593.3
19340101 19341231   217.4
19350101 19351231   240.9
19360101 19361231   556.0
19370101 19371231   476.4
19380101 19381231   288.1
19390101 19391231   374.6
19400101 19401231   675.9
19410101 19411231   444.1
19420101 19421231   378.1
19430101 19431231   275.7
19440101 19441231   438.6
19450101 19451231   196.6
19460101 19461231   246.7
19470101 19471231   391.2
19480101 19481231   223.2
19490101 19491231   462.2
19500101 19501231  1595.9
19510101 19511231   477.1
19520101 19521231   262.7
19530101 19531231   342.6
19540101 19541231   776.3
19550101 19551231   946.8
19560101 19561231   946.2
19570101 19571231   371.7
19580101 19581231   247.2
19590101 19591231   384.5
19600101 19601231   448.7
19610101 19611231   306.8
19620101 19621231   401.2
19630101 19631231   518.8
19640101 19641231   310.6
19650101 19651231   217.1
19660101 19661231   334.6
19670101 19671231   264.0
19680101 19681231   368.6
19690101 19691231   245.3
19700101 19701231   189.2
19710101 19711231   617.1
19720101 19721231   362.6
19730101 19731231   684.9
19740101 19741231  1150.6
19750101 19751231   566.6
19760101 19761231   477.6
19770101 19771231   380.8
19780101 19781231   485.6
19790101 19791231   252.6
19800101 19801231   302.6
19810101 19811231   539.0
19820101 19821231   228.4
19830101 19831231   299.2
19840101 19841231   549.6
19850101 19851231   306.2
19860101 19861231   365.6
19870101 19871231   445.4
19880101 19881231   181.8
19890101 19891231   692.6
19900101 19901231   608.0
19910101 19911231   585.8
19920101 19921231   362.8
19930101 19931231   219.0
19940101 19941231   288.8
19950101 19951231   286.8
19960101 19961231   214.5
19970101 19971231   289.5
19980101 19981231   527.2
19990101 19991231   444.8
20000101 20001231   916.0
20010101 20011231   304.2
20020101 20021231    59.8
20030101 20031231   184.6
20040101 20041231   465.0
20050101 20051231   382.6
20060101 20061231 99999.9
20070101 20071231   647.0
20080101 20081231   446.2
20090101 20091231   327.2
