PRCP       036051 18970101 20051231 missing_value=99999.9 WESTLAND                                  
18970101 18971231   213.1
18980101 18981231   439.0
18990101 18991231   377.7
19000101 19001231   122.3
19010101 19011231   258.1
19020101 19021231   183.2
19030101 19031231   407.9
19040101 19041231   412.8
19050101 19051231   101.0
19060101 19061231   803.6
19070101 19071231   319.2
19080101 19081231   431.7
19090101 19091231   310.8
19100101 19101231   390.7
19110101 19111231   455.5
19120101 19121231   401.0
19130101 19131231   443.4
19140101 19141231   387.0
19150101 19151231   153.4
19160101 19161231   475.9
19170101 19171231   634.5
19180101 19181231   480.4
19190101 19191231   309.8
19200101 19201231   729.6
19210101 19211231   486.3
19220101 19221231   261.2
19230101 19231231   149.5
19240101 19241231   671.0
19250101 19251231   255.3
19260101 19261231   182.7
19270101 19271231   250.3
19280101 19281231   273.5
19290101 19291231   231.2
19300101 19301231   496.2
19310101 19311231   295.1
19320101 19321231   206.3
19330101 19331231   258.3
19340101 19341231   231.3
19350101 19351231   223.1
19360101 19361231   349.7
19370101 19371231   407.5
19380101 19381231   210.8
19390101 19391231   331.4
19400101 19401231   302.2
19410101 19411231   625.8
19420101 19421231   268.4
19430101 19431231   194.5
19440101 19441231   326.7
19450101 19451231   237.6
19460101 19461231   229.1
19470101 19471231   424.2
19480101 19481231   175.2
19490101 19491231   487.8
19500101 19501231  1028.3
19510101 19511231   212.6
19520101 19521231   254.7
19530101 19531231   347.9
19540101 19541231   629.1
19550101 19551231   646.0
19560101 19561231   695.7
19570101 19571231   424.7
19580101 19581231   244.3
19590101 19591231   320.6
19600101 19601231   464.6
19610101 19611231   344.8
19620101 19621231   311.0
19630101 19631231   387.9
19640101 19641231   270.7
19650101 19651231   237.8
19660101 19661231   216.5
19670101 19671231   131.1
19680101 19681231   337.4
19690101 19691231   210.0
19700101 19701231   175.5
19710101 19711231   806.7
19720101 19721231   355.3
19730101 19731231   558.4
19740101 19741231   618.6
19750101 19751231   461.0
19760101 19761231   414.6
19770101 19771231   460.0
19780101 19781231   577.7
19790101 19791231   246.4
19800101 19801231   398.6
19810101 19811231   496.8
19820101 19821231   214.8
19830101 19831231   290.2
19840101 19841231   323.7
19850101 19851231   226.2
19860101 19861231   371.0
19870101 19871231   378.9
19880101 19881231   213.5
19890101 19891231  1186.0
19900101 19901231   846.0
19910101 19911231   408.0
19920101 19921231   279.0
19930101 19931231   299.0
19940101 19941231   331.5
19950101 19951231   234.5
19960101 19961231   344.5
19970101 19971231   449.0
19980101 19981231   631.0
19990101 19991231   747.0
20000101 20001231   579.0
20010101 20011231   373.5
20020101 20021231   138.5
20030101 20031231   250.5
20040101 20041231   350.0
20050101 20051231   238.0
