PRCP       037001 18850101 20151231 missing_value=99999.9 AYRSHIRE DOWNS                            
18850101 18851231   259.4
18860101 18861231   553.5
18870101 18871231   467.4
18880101 18881231   315.5
18890101 18891231   351.9
18900101 18901231   663.7
18910101 18911231   911.2
18920101 18921231   300.4
18930101 18931231   454.5
18940101 18941231   783.8
18950101 18951231   712.8
18960101 18961231   336.6
18970101 18971231   302.3
18980101 18981231   491.9
18990101 18991231   206.5
19000101 19001231   222.2
19010101 19011231   276.2
19020101 19021231   139.8
19030101 19031231   556.4
19040101 19041231   297.2
19050101 19051231   166.8
19060101 19061231   667.3
19070101 19071231   339.9
19080101 19081231   430.9
19090101 19091231   341.4
19100101 19101231   444.7
19110101 19111231   391.9
19120101 19121231   325.0
19130101 19131231   330.0
19140101 19141231   386.2
19150101 19151231   235.6
19160101 19161231   639.0
19170101 19171231   678.7
19180101 19181231   469.8
19190101 19191231   348.8
19200101 19201231   877.9
19210101 19211231   317.0
19220101 19221231   441.0
19230101 19231231   211.5
19240101 19241231   715.2
19250101 19251231   259.9
19260101 19261231   243.7
19270101 19271231   252.7
19280101 19281231   104.2
19290101 19291231   309.5
19300101 19301231   621.9
19310101 19311231   249.9
19320101 19321231   149.6
19330101 19331231   316.8
19340101 19341231   241.3
19350101 19351231   261.3
19360101 19361231   528.7
19370101 19371231   442.7
19380101 19381231   300.3
19390101 19391231   482.9
19400101 19401231   535.9
19410101 19411231   616.7
19420101 19421231   323.8
19430101 19431231   137.5
19440101 19441231   562.7
19450101 19451231   259.1
19460101 19461231   358.3
19470101 19471231   267.1
19480101 19481231   100.8
19490101 19491231   453.2
19500101 19501231  1128.4
19510101 19511231   244.8
19520101 19521231   235.8
19530101 19531231   351.6
19540101 19541231   503.4
19550101 19551231   839.6
19560101 19561231   692.5
19570101 19571231   305.8
19580101 19581231   394.2
19590101 19591231   222.1
19600101 19601231   264.2
19610101 19611231   285.2
19620101 19621231   442.5
19630101 19631231   302.0
19640101 19641231   406.5
19650101 19651231   195.0
19660101 19661231   212.7
19670101 19671231   317.9
19680101 19681231   326.5
19690101 19691231   216.9
19700101 19701231   253.7
19710101 19711231   384.2
19720101 19721231   326.3
19730101 19731231   640.3
19740101 19741231   806.8
19750101 19751231   598.3
19760101 19761231   632.4
19770101 19771231   352.6
19780101 19781231   343.2
19790101 19791231   378.0
19800101 19801231   270.8
19810101 19811231   592.2
19820101 19821231   250.9
19830101 19831231   204.0
19840101 19841231   574.4
19850101 19851231   348.4
19860101 19861231   365.3
19870101 19871231   277.8
19880101 19881231   327.2
19890101 19891231   449.0
19900101 19901231   345.9
19910101 19911231   566.0
19920101 19921231   442.2
19930101 19931231   377.3
19940101 19941231   325.6
19950101 19951231   358.0
19960101 19961231   246.6
19970101 19971231   552.3
19980101 19981231   493.5
19990101 19991231   451.0
20000101 20001231   911.5
20010101 20011231   213.2
20020101 20021231   152.6
20030101 20031231   491.9
20040101 20041231   333.5
20050101 20051231   366.0
20060101 20061231   347.3
20070101 20071231   455.3
20080101 20081231   350.6
20090101 20091231   616.2
20100101 20101231 99999.9
20110101 20111231   398.6
20120101 20121231   483.6
20130101 20131231   108.6
20140101 20141231   326.3
20150101 20151231   324.3
