PRCP       037043 18930101 20111231 missing_value=99999.9 URANDANGIE                                
18930101 18931231   183.3
18940101 18941231   540.8
18950101 18951231   566.4
18960101 18961231   395.7
18970101 18971231    74.5
18980101 18981231   258.5
18990101 18991231   107.8
19000101 19001231   159.8
19010101 19011231   425.5
19020101 19021231   119.0
19030101 19031231   310.2
19040101 19041231   479.6
19050101 19051231    89.6
19060101 19061231   301.5
19070101 19071231   445.5
19080101 19081231   316.2
19090101 19091231   193.9
19100101 19101231   401.0
19110101 19111231   214.8
19120101 19121231   209.9
19130101 19131231   283.5
19140101 19141231   125.3
19150101 19151231   397.5
19160101 19161231   495.9
19170101 19171231   296.7
19180101 19181231   276.5
19190101 19191231   250.2
19200101 19201231   533.5
19210101 19211231   391.4
19220101 19221231   201.4
19230101 19231231   135.2
19240101 19241231   170.0
19250101 19251231   134.7
19260101 19261231   178.9
19270101 19271231   162.0
19280101 19281231    29.5
19290101 19291231   141.2
19300101 19301231   322.3
19310101 19311231   181.4
19320101 19321231   167.4
19330101 19331231   233.4
19340101 19341231   183.0
19350101 19351231   107.1
19360101 19361231   441.9
19370101 19371231   185.0
19380101 19381231   242.3
19390101 19391231   445.0
19400101 19401231   212.9
19410101 19411231   457.1
19420101 19421231   345.0
19430101 19431231   189.8
19440101 19441231   491.1
19450101 19451231   293.0
19460101 19461231   180.6
19470101 19471231   387.7
19480101 19481231   133.8
19490101 19491231   398.1
19500101 19501231   925.2
19510101 19511231   186.1
19520101 19521231   158.3
19530101 19531231   569.9
19540101 19541231   177.2
19550101 19551231   408.7
19560101 19561231   507.4
19570101 19571231   378.2
19580101 19581231   219.4
19590101 19591231   183.7
19600101 19601231   208.5
19610101 19611231   145.2
19620101 19621231   394.6
19630101 19631231    95.7
19640101 19641231   234.5
19650101 19651231    83.4
19660101 19661231   343.6
19670101 19671231   294.4
19680101 19681231   267.8
19690101 19691231   293.7
19700101 19701231   167.6
19710101 19711231   438.5
19720101 19721231   271.0
19730101 19731231   360.1
19740101 19741231   744.7
19750101 19751231   365.9
19760101 19761231   493.6
19770101 19771231   658.3
19780101 19781231   388.4
19790101 19791231   319.4
19800101 19801231   194.9
19810101 19811231   352.2
19820101 19821231   171.4
19830101 19831231   399.7
19840101 19841231   512.6
19850101 19851231   127.1
19860101 19861231   169.1
19870101 19871231   248.5
19880101 19881231   173.5
19890101 19891231   175.2
19900101 19901231   176.0
19910101 19911231   391.0
19920101 19921231   293.2
19930101 19931231   388.2
19940101 19941231    77.7
19950101 19951231   333.0
19960101 19961231   273.4
19970101 19971231   471.6
19980101 19981231   167.2
19990101 19991231   404.4
20000101 20001231   819.5
20010101 20011231   264.4
20020101 20021231   270.4
20030101 20031231   342.3
20040101 20041231   226.5
20050101 20051231   324.1
20060101 20061231   358.4
20070101 20071231   277.1
20080101 20081231   121.9
20090101 20091231   482.6
20100101 20101231   671.2
20110101 20111231   512.1
