PRCP       037049 18870101 20161231 missing_value=99999.9 WARRNAMBOOL DOWNS                         
18870101 18871231   602.7
18880101 18881231   287.4
18890101 18891231   296.0
18900101 18901231   474.3
18910101 18911231   668.2
18920101 18921231   155.4
18930101 18931231   198.9
18940101 18941231   764.2
18950101 18951231   522.5
18960101 18961231   217.2
18970101 18971231   251.2
18980101 18981231   295.9
18990101 18991231   187.2
19000101 19001231   142.5
19010101 19011231   151.2
19020101 19021231   110.7
19030101 19031231   345.5
19040101 19041231   283.8
19050101 19051231    96.5
19060101 19061231   902.9
19070101 19071231   241.5
19080101 19081231   594.2
19090101 19091231   303.4
19100101 19101231   457.3
19110101 19111231   426.7
19120101 19121231   166.0
19130101 19131231   637.5
19140101 19141231   286.7
19150101 19151231   281.4
19160101 19161231   524.5
19170101 19171231   585.9
19180101 19181231   691.7
19190101 19191231   185.8
19200101 19201231   677.8
19210101 19211231   395.7
19220101 19221231   310.4
19230101 19231231   237.0
19240101 19241231   774.4
19250101 19251231   442.3
19260101 19261231   123.1
19270101 19271231   194.4
19280101 19281231   190.0
19290101 19291231   225.8
19300101 19301231   643.4
19310101 19311231   208.2
19320101 19321231   194.7
19330101 19331231   255.7
19340101 19341231   220.6
19350101 19351231   259.3
19360101 19361231   408.2
19370101 19371231   478.2
19380101 19381231   266.5
19390101 19391231   410.0
19400101 19401231   360.3
19410101 19411231   626.0
19420101 19421231   250.5
19430101 19431231   212.4
19440101 19441231   409.1
19450101 19451231   248.9
19460101 19461231   275.2
19470101 19471231   351.7
19480101 19481231    91.3
19490101 19491231   544.6
19500101 19501231  1387.9
19510101 19511231   481.5
19520101 19521231   195.9
19530101 19531231   329.0
19540101 19541231   408.8
19550101 19551231   730.4
19560101 19561231   665.8
19570101 19571231   281.1
19580101 19581231   209.2
19590101 19591231   173.6
19600101 19601231   370.3
19610101 19611231   201.6
19620101 19621231   359.2
19630101 19631231   245.3
19640101 19641231   309.6
19650101 19651231   133.2
19660101 19661231   287.4
19670101 19671231   148.5
19680101 19681231   408.8
19690101 19691231   186.7
19700101 19701231   190.2
19710101 19711231   436.2
19720101 19721231   146.5
19730101 19731231   637.5
19740101 19741231   672.2
19750101 19751231   280.8
19760101 19761231   517.1
19770101 19771231   446.8
19780101 19781231   462.2
19790101 19791231   369.9
19800101 19801231   420.7
19810101 19811231   628.7
19820101 19821231   107.3
19830101 19831231   177.4
19840101 19841231   453.0
19850101 19851231   328.7
19860101 19861231 99999.9
19870101 19871231   375.7
19880101 19881231   311.4
19890101 19891231   659.4
19900101 19901231   353.5
19910101 19911231   429.4
19920101 19921231   415.2
19930101 19931231   245.0
19940101 19941231   380.8
19950101 19951231   342.1
19960101 19961231   329.8
19970101 19971231   346.2
19980101 19981231   394.9
19990101 19991231   517.8
20000101 20001231   811.9
20010101 20011231   334.0
20020101 20021231    32.8
20030101 20031231   322.4
20040101 20041231   370.2
20050101 20051231   305.8
20060101 20061231   217.6
20070101 20071231   340.6
20080101 20081231   194.6
20090101 20091231   347.6
20100101 20101231   778.6
20110101 20111231   443.6
20120101 20121231   395.4
20130101 20131231   112.9
20140101 20141231   257.8
20150101 20151231   157.4
20160101 20161231   661.8
