PRCP       037051 18840101 20111231 missing_value=99999.9 WINTON POST OFFICE                        
18840101 18841231   223.0
18850101 18851231   367.3
18860101 18861231   610.4
18870101 18871231   634.3
18880101 18881231   308.6
18890101 18891231   321.3
18900101 18901231 99999.9
18910101 18911231 99999.9
18920101 18921231   251.7
18930101 18931231   303.8
18940101 18941231   773.3
18950101 18951231   512.6
18960101 18961231   277.7
18970101 18971231   233.3
18980101 18981231   253.9
18990101 18991231   325.6
19000101 19001231   246.2
19010101 19011231   305.4
19020101 19021231   154.5
19030101 19031231   423.0
19040101 19041231   318.0
19050101 19051231    86.9
19060101 19061231   641.2
19070101 19071231   243.8
19080101 19081231   439.1
19090101 19091231   321.2
19100101 19101231   482.8
19110101 19111231   430.1
19120101 19121231   421.3
19130101 19131231   476.4
19140101 19141231   413.6
19150101 19151231   258.4
19160101 19161231   692.7
19170101 19171231   771.7
19180101 19181231   523.3
19190101 19191231   268.9
19200101 19201231   745.6
19210101 19211231   553.2
19220101 19221231   415.5
19230101 19231231   225.4
19240101 19241231   647.6
19250101 19251231   324.7
19260101 19261231   134.6
19270101 19271231   187.3
19280101 19281231   198.1
19290101 19291231   298.9
19300101 19301231   625.6
19310101 19311231   286.7
19320101 19321231   183.4
19330101 19331231   350.1
19340101 19341231   338.8
19350101 19351231   272.8
19360101 19361231   443.7
19370101 19371231   483.1
19380101 19381231   383.5
19390101 19391231   488.5
19400101 19401231   534.4
19410101 19411231   785.2
19420101 19421231   264.4
19430101 19431231   185.8
19440101 19441231   473.4
19450101 19451231   263.1
19460101 19461231   235.4
19470101 19471231   407.4
19480101 19481231   172.5
19490101 19491231   594.5
19500101 19501231  1061.3
19510101 19511231   322.4
19520101 19521231   251.2
19530101 19531231   281.5
19540101 19541231   531.4
19550101 19551231   827.1
19560101 19561231   671.6
19570101 19571231   462.3
19580101 19581231   408.3
19590101 19591231   244.3
19600101 19601231   456.6
19610101 19611231   259.5
19620101 19621231   363.6
19630101 19631231   394.6
19640101 19641231   308.5
19650101 19651231   170.3
19660101 19661231   194.6
19670101 19671231   222.1
19680101 19681231   364.1
19690101 19691231   157.1
19700101 19701231   300.4
19710101 19711231   557.0
19720101 19721231   292.1
19730101 19731231   766.6
19740101 19741231  1086.1
19750101 19751231   453.5
19760101 19761231   694.4
19770101 19771231   495.6
19780101 19781231   467.3
19790101 19791231   385.9
19800101 19801231   227.0
19810101 19811231   543.2
19820101 19821231   199.5
19830101 19831231   189.1
19840101 19841231   555.0
19850101 19851231   378.1
19860101 19861231   352.5
19870101 19871231   309.6
19880101 19881231   308.8
19890101 19891231   595.2
19900101 19901231   449.7
19910101 19911231   495.4
19920101 19921231   338.2
19930101 19931231   353.5
19940101 19941231   482.9
19950101 19951231   338.2
19960101 19961231   330.3
19970101 19971231   444.3
19980101 19981231   490.8
19990101 19991231   468.0
20000101 20001231  1171.1
20010101 20011231   214.3
20020101 20021231    52.6
20030101 20031231   355.0
20040101 20041231   399.1
20050101 20051231   371.0
20060101 20061231   361.2
20070101 20071231   522.4
20080101 20081231   285.5
20090101 20091231   538.4
20100101 20101231   773.9
20110101 20111231   474.4
