PRCP       038002 18980101 20051231 missing_value=99999.9 BIRDSVILLE POLICE STATION                 
18980101 18981231   123.4
18990101 18991231    49.8
19000101 19001231    60.7
19010101 19011231   100.8
19020101 19021231    77.5
19030101 19031231   292.2
19040101 19041231   313.4
19050101 19051231    53.3
19060101 19061231   162.0
19070101 19071231   415.2
19080101 19081231   203.1
19090101 19091231    79.6
19100101 19101231   204.2
19110101 19111231   234.0
19120101 19121231   116.5
19130101 19131231    33.2
19140101 19141231   184.2
19150101 19151231    52.1
19160101 19161231   541.8
19170101 19171231   564.6
19180101 19181231   137.0
19190101 19191231   106.5
19200101 19201231   440.5
19210101 19211231   219.7
19220101 19221231    87.9
19230101 19231231    95.2
19240101 19241231    74.3
19250101 19251231    43.9
19260101 19261231   190.5
19270101 19271231    34.3
19280101 19281231    37.6
19290101 19291231    52.2
19300101 19301231   100.0
19310101 19311231   161.7
19320101 19321231   111.7
19330101 19331231   132.5
19340101 19341231    57.5
19350101 19351231    62.3
19360101 19361231   163.8
19370101 19371231    54.5
19380101 19381231   108.0
19390101 19391231   268.6
19400101 19401231    63.9
19410101 19411231   105.6
19420101 19421231    98.8
19430101 19431231   112.4
19440101 19441231   127.8
19450101 19451231    56.7
19460101 19461231    76.4
19470101 19471231   240.8
19480101 19481231   271.1
19490101 19491231   336.7
19500101 19501231   388.5
19510101 19511231    56.6
19520101 19521231   192.7
19530101 19531231   165.2
19540101 19541231    72.6
19550101 19551231   384.8
19560101 19561231   308.6
19570101 19571231   130.7
19580101 19581231   162.1
19590101 19591231    75.3
19600101 19601231   151.7
19610101 19611231    33.2
19620101 19621231   169.0
19630101 19631231    87.8
19640101 19641231   187.5
19650101 19651231    66.8
19660101 19661231   311.9
19670101 19671231    65.2
19680101 19681231   196.0
19690101 19691231    60.4
19700101 19701231   123.0
19710101 19711231   134.3
19720101 19721231    80.9
19730101 19731231   253.0
19740101 19741231   496.2
19750101 19751231   328.3
19760101 19761231   208.5
19770101 19771231   242.6
19780101 19781231   154.2
19790101 19791231   272.0
19800101 19801231   151.9
19810101 19811231   257.2
19820101 19821231    36.9
19830101 19831231   178.7
19840101 19841231   234.6
19850101 19851231   117.6
19860101 19861231   185.6
19870101 19871231   269.9
19880101 19881231   248.9
19890101 19891231   215.4
19900101 19901231   180.8
19910101 19911231   215.8
19920101 19921231   239.5
19930101 19931231   185.6
19940101 19941231    72.4
19950101 19951231   198.8
19960101 19961231   159.4
19970101 19971231   203.0
19980101 19981231   200.2
19990101 19991231   146.9
20000101 20001231   220.6
20010101 20011231   117.6
20020101 20021231    71.5
20030101 20031231   228.0
20040101 20041231    89.0
20050101 20051231    99.4
