PRCP       038024 18910101 20171231 missing_value=99999.9 WINDORAH POST OFFICE                      
18910101 18911231   549.1
18920101 18921231   322.8
18930101 18931231   332.2
18940101 18941231   471.4
18950101 18951231   301.7
18960101 18961231   173.6
18970101 18971231   151.2
18980101 18981231   326.6
18990101 18991231   201.1
19000101 19001231    91.6
19010101 19011231   182.1
19020101 19021231   150.3
19030101 19031231   475.6
19040101 19041231   340.8
19050101 19051231   101.7
19060101 19061231   640.4
19070101 19071231   231.9
19080101 19081231   331.9
19090101 19091231   238.5
19100101 19101231   543.2
19110101 19111231   179.3
19120101 19121231   187.5
19130101 19131231   311.7
19140101 19141231   257.4
19150101 19151231   277.7
19160101 19161231   515.6
19170101 19171231   446.3
19180101 19181231   374.9
19190101 19191231   139.0
19200101 19201231   565.3
19210101 19211231   466.8
19220101 19221231   141.4
19230101 19231231   214.9
19240101 19241231   269.8
19250101 19251231   258.3
19260101 19261231   277.7
19270101 19271231   114.3
19280101 19281231   178.0
19290101 19291231   102.1
19300101 19301231   368.7
19310101 19311231   267.0
19320101 19321231   127.9
19330101 19331231   265.5
19340101 19341231   144.5
19350101 19351231   206.9
19360101 19361231   247.9
19370101 19371231   100.0
19380101 19381231    75.9
19390101 19391231   368.0
19400101 19401231   209.3
19410101 19411231   386.8
19420101 19421231   174.8
19430101 19431231   222.2
19440101 19441231   390.9
19450101 19451231   148.7
19460101 19461231   104.9
19470101 19471231   327.7
19480101 19481231   190.0
19490101 19491231   555.4
19500101 19501231   990.1
19510101 19511231    90.2
19520101 19521231   311.1
19530101 19531231   321.1
19540101 19541231   449.7
19550101 19551231   372.8
19560101 19561231   513.6
19570101 19571231   266.9
19580101 19581231   175.1
19590101 19591231   134.6
19600101 19601231   230.8
19610101 19611231   163.8
19620101 19621231   260.1
19630101 19631231   224.6
19640101 19641231   214.9
19650101 19651231    84.0
19660101 19661231   152.4
19670101 19671231   194.5
19680101 19681231   292.5
19690101 19691231   177.1
19700101 19701231   178.9
19710101 19711231   277.2
19720101 19721231    86.3
19730101 19731231   442.6
19740101 19741231   421.0
19750101 19751231   435.2
19760101 19761231   479.9
19770101 19771231   347.3
19780101 19781231   457.7
19790101 19791231   319.7
19800101 19801231    93.2
19810101 19811231   370.9
19820101 19821231   130.9
19830101 19831231   307.7
19840101 19841231   283.8
19850101 19851231   183.8
19860101 19861231   179.0
19870101 19871231   322.2
19880101 19881231   143.3
19890101 19891231   477.0
19900101 19901231   387.2
19910101 19911231   364.7
19920101 19921231   190.3
19930101 19931231   294.8
19940101 19941231   190.2
19950101 19951231   330.2
19960101 19961231   235.3
19970101 19971231   410.8
19980101 19981231   435.6
19990101 19991231   426.3
20000101 20001231   441.0
20010101 20011231   215.6
20020101 20021231    66.8
20030101 20031231   267.1
20040101 20041231   257.1
20050101 20051231   145.7
20060101 20061231   229.5
20070101 20071231   306.7
20080101 20081231   157.1
20090101 20091231   342.5
20100101 20101231   731.7
20110101 20111231   623.3
20120101 20121231   340.8
20130101 20131231    95.1
20140101 20141231   310.3
20150101 20151231   159.6
20160101 20161231   534.0
20170101 20171231   178.5
