PRCP       039037 18810101 20131231 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
18810101 18811231   769.4
18820101 18821231  1164.8
18830101 18831231   639.0
18840101 18841231   746.3
18850101 18851231   749.5
18860101 18861231  1317.2
18870101 18871231  1456.2
18880101 18881231   908.0
18890101 18891231  1297.0
18900101 18901231  1088.5
18910101 18911231  1300.9
18920101 18921231  1398.5
18930101 18931231  2125.1
18940101 18941231  1333.4
18950101 18951231  1319.6
18960101 18961231  1147.3
18970101 18971231  1119.4
18980101 18981231  1785.6
18990101 18991231  1223.9
19000101 19001231   817.1
19010101 19011231   941.6
19020101 19021231   427.4
19030101 19031231  1206.2
19040101 19041231   685.6
19050101 19051231   996.6
19060101 19061231  1235.9
19070101 19071231  1290.6
19080101 19081231   764.1
19090101 19091231  1012.0
19100101 19101231  1113.7
19110101 19111231  1205.4
19120101 19121231  1018.6
19130101 19131231  1955.5
19140101 19141231   871.2
19150101 19151231   720.0
19160101 19161231  1218.9
19170101 19171231  1349.1
19180101 19181231   954.1
19190101 19191231   553.8
19200101 19201231  1038.3
19210101 19211231  1262.1
19220101 19221231   948.8
19230101 19231231   880.2
19240101 19241231  1055.7
19250101 19251231  1227.3
19260101 19261231  1113.3
19270101 19271231  1653.6
19280101 19281231  1318.2
19290101 19291231   754.6
19300101 19301231   918.7
19310101 19311231  1282.9
19320101 19321231   384.2
19330101 19331231  1241.4
19340101 19341231  1464.7
19350101 19351231   996.3
19360101 19361231   825.9
19370101 19371231   877.2
19380101 19381231  1260.4
19390101 19391231  1240.2
19400101 19401231   774.8
19410101 19411231   907.9
19420101 19421231  1152.1
19430101 19431231  1280.4
19440101 19441231   907.2
19450101 19451231   743.5
19460101 19461231   553.1
19470101 19471231  1589.7
19480101 19481231  1081.8
19490101 19491231  1209.9
19500101 19501231  1900.8
19510101 19511231   631.7
19520101 19521231  1268.8
19530101 19531231  1324.7
19540101 19541231  1322.6
19550101 19551231  1492.8
19560101 19561231  1872.2
19570101 19571231   578.5
19580101 19581231  1388.6
19590101 19591231  1359.2
19600101 19601231   885.1
19610101 19611231  1008.0
19620101 19621231  1457.4
19630101 19631231   948.7
19640101 19641231   861.3
19650101 19651231   795.5
19660101 19661231   864.4
19670101 19671231  1419.4
19680101 19681231  1170.7
19690101 19691231   832.8
19700101 19701231  1330.8
19710101 19711231  1638.9
19720101 19721231  1228.1
19730101 19731231  1686.6
19740101 19741231  1342.6
19750101 19751231  1027.0
19760101 19761231  1417.7
19770101 19771231   741.4
19780101 19781231  1071.4
19790101 19791231   506.3
19800101 19801231  1029.6
19810101 19811231  1132.6
19820101 19821231  1037.2
19830101 19831231  1444.4
19840101 19841231   948.8
19850101 19851231  1004.2
19860101 19861231   968.8
19870101 19871231   897.4
19880101 19881231  1174.3
19890101 19891231  1199.6
19900101 19901231   643.9
19910101 19911231   685.2
19920101 19921231  1534.7
19930101 19931231  1005.4
19940101 19941231   663.8
19950101 19951231   994.0
19960101 19961231  1003.0
19970101 19971231   651.1
19980101 19981231  1055.1
19990101 19991231  1245.2
20000101 20001231   672.7
20010101 20011231   613.2
20020101 20021231   869.5
20030101 20031231   947.5
20040101 20041231   875.4
20050101 20051231   781.5
20060101 20061231   898.2
20070101 20071231   806.7
20080101 20081231   950.8
20090101 20091231   910.8
20100101 20101231 99999.9
20110101 20111231   996.3
20120101 20121231  1296.3
20130101 20131231  1734.4
