PRCP       039040 19100101 20171231 missing_value=99999.9 GIN GIN POST OFFICE                       
19100101 19101231  1035.6
19110101 19111231  1146.0
19120101 19121231   764.5
19130101 19131231  1592.7
19140101 19141231   753.4
19150101 19151231   622.5
19160101 19161231  1203.0
19170101 19171231  1189.5
19180101 19181231   885.0
19190101 19191231   379.3
19200101 19201231   977.2
19210101 19211231  1351.4
19220101 19221231   765.8
19230101 19231231   866.6
19240101 19241231  1295.7
19250101 19251231   893.6
19260101 19261231  1040.4
19270101 19271231  1504.3
19280101 19281231  1359.3
19290101 19291231  1168.0
19300101 19301231  1070.0
19310101 19311231  1140.8
19320101 19321231   460.5
19330101 19331231  1370.5
19340101 19341231  1256.0
19350101 19351231   741.3
19360101 19361231   745.9
19370101 19371231   905.8
19380101 19381231  1118.6
19390101 19391231  1330.8
19400101 19401231   692.6
19410101 19411231   766.2
19420101 19421231  1356.2
19430101 19431231  1113.3
19440101 19441231   689.8
19450101 19451231   921.7
19460101 19461231   543.8
19470101 19471231  1626.8
19480101 19481231  1161.5
19490101 19491231  1314.2
19500101 19501231  1735.2
19510101 19511231   546.8
19520101 19521231  1163.1
19530101 19531231  1242.9
19540101 19541231  1353.5
19550101 19551231  1418.0
19560101 19561231  1809.6
19570101 19571231   414.3
19580101 19581231  1108.1
19590101 19591231  1132.8
19600101 19601231   589.8
19610101 19611231   980.5
19620101 19621231  1125.8
19630101 19631231   829.9
19640101 19641231   926.6
19650101 19651231   785.8
19660101 19661231  1062.4
19670101 19671231  1222.8
19680101 19681231  1649.2
19690101 19691231   715.7
19700101 19701231  1023.5
19710101 19711231  1353.2
19720101 19721231  1088.3
19730101 19731231  1703.0
19740101 19741231  1312.7
19750101 19751231   784.3
19760101 19761231  1155.6
19770101 19771231   726.0
19780101 19781231  1151.4
19790101 19791231   631.8
19800101 19801231   803.6
19810101 19811231  1295.3
19820101 19821231   843.1
19830101 19831231  1280.8
19840101 19841231   905.4
19850101 19851231   871.7
19860101 19861231  1024.3
19870101 19871231   890.5
19880101 19881231  1018.3
19890101 19891231  1063.5
19900101 19901231   770.1
19910101 19911231   774.9
19920101 19921231  1295.0
19930101 19931231   767.7
19940101 19941231   677.4
19950101 19951231   845.6
19960101 19961231  1029.4
19970101 19971231   678.8
19980101 19981231  1080.2
19990101 19991231  1066.1
20000101 20001231   934.8
20010101 20011231   785.8
20020101 20021231   665.0
20030101 20031231   879.4
20040101 20041231   950.5
20050101 20051231   803.5
20060101 20061231   724.1
20070101 20071231   856.4
20080101 20081231  1023.0
20090101 20091231   818.1
20100101 20101231  2011.1
20110101 20111231  1003.3
20120101 20121231  1088.8
20130101 20131231  1181.5
20140101 20141231   738.6
20150101 20151231   783.7
20160101 20161231  1023.9
20170101 20171231  1378.1
