PRCP       040013 19100101 20161231 missing_value=99999.9 COWAL                                     
19100101 19101231   463.8
19110101 19111231   988.8
19120101 19121231  1041.8
19130101 19131231  1688.7
19140101 19141231  1358.8
19150101 19151231   665.9
19160101 19161231  1252.4
19170101 19171231  1021.5
19180101 19181231   727.4
19190101 19191231   543.2
19200101 19201231  1170.1
19210101 19211231  1330.3
19220101 19221231   862.5
19230101 19231231   835.4
19240101 19241231  1363.5
19250101 19251231  1332.9
19260101 19261231  1452.9
19270101 19271231  1557.8
19280101 19281231  1714.8
19290101 19291231  1283.0
19300101 19301231  1489.4
19310101 19311231  1291.5
19320101 19321231   692.5
19330101 19331231  1392.2
19340101 19341231  1722.2
19350101 19351231  1086.6
19360101 19361231   950.4
19370101 19371231  1119.1
19380101 19381231  1178.0
19390101 19391231  1081.7
19400101 19401231   969.6
19410101 19411231   980.8
19420101 19421231   874.8
19430101 19431231  1068.5
19440101 19441231   866.9
19450101 19451231   874.1
19460101 19461231   644.9
19470101 19471231  1317.4
19480101 19481231  1198.6
19490101 19491231  1581.4
19500101 19501231  1706.2
19510101 19511231   654.2
19520101 19521231   970.3
19530101 19531231  1264.4
19540101 19541231  1351.4
19550101 19551231  1731.1
19560101 19561231  2180.3
19570101 19571231   525.1
19580101 19581231  1315.0
19590101 19591231  1299.4
19600101 19601231   643.4
19610101 19611231  1087.5
19620101 19621231  1297.9
19630101 19631231   918.8
19640101 19641231   967.3
19650101 19651231   907.2
19660101 19661231   988.9
19670101 19671231  1551.5
19680101 19681231  1232.5
19690101 19691231   869.7
19700101 19701231  1013.3
19710101 19711231  1598.7
19720101 19721231  1456.4
19730101 19731231  1630.8
19740101 19741231  1583.8
19750101 19751231   913.6
19760101 19761231  1478.4
19770101 19771231   736.8
19780101 19781231  1113.6
19790101 19791231   717.4
19800101 19801231   906.4
19810101 19811231   973.4
19820101 19821231   763.2
19830101 19831231  1355.8
19840101 19841231  1031.2
19850101 19851231  1054.0
19860101 19861231   843.8
19870101 19871231   773.0
19880101 19881231  1166.2
19890101 19891231  1222.0
19900101 19901231   964.8
19910101 19911231   742.8
19920101 19921231  1532.3
19930101 19931231   763.8
19940101 19941231   654.6
19950101 19951231  1257.2
19960101 19961231 99999.9
19970101 19971231   679.2
19980101 19981231  1223.4
19990101 19991231  1337.4
20000101 20001231   900.8
20010101 20011231   726.7
20020101 20021231   723.8
20030101 20031231  1022.5
20040101 20041231  1128.2
20050101 20051231  1186.1
20060101 20061231   699.2
20070101 20071231   990.2
20080101 20081231  1128.6
20090101 20091231   994.2
20100101 20101231  1593.5
20110101 20111231  1493.4
20120101 20121231  1305.2
20130101 20131231  1155.7
20140101 20141231   747.8
20150101 20151231  1191.6
20160101 20161231   862.7
