PRCP       040014 18930101 20111231 missing_value=99999.9 BEAUDESERT                                
18930101 18931231  1726.5
18940101 18941231  1088.2
18950101 18951231  1002.5
18960101 18961231   997.0
18970101 18971231  1128.4
18980101 18981231   734.6
18990101 18991231  1223.1
19000101 19001231   664.2
19010101 19011231  1022.2
19020101 19021231   459.7
19030101 19031231  1103.6
19040101 19041231   700.3
19050101 19051231   803.6
19060101 19061231  1052.3
19070101 19071231   694.2
19080101 19081231   794.4
19090101 19091231   703.0
19100101 19101231   863.9
19110101 19111231   687.8
19120101 19121231   841.4
19130101 19131231   743.9
19140101 19141231   846.0
19150101 19151231   548.3
19160101 19161231  1062.9
19170101 19171231  1066.9
19180101 19181231   490.5
19190101 19191231   434.2
19200101 19201231   835.4
19210101 19211231  1288.7
19220101 19221231   653.9
19230101 19231231   529.5
19240101 19241231   893.6
19250101 19251231   839.0
19260101 19261231   501.3
19270101 19271231  1161.1
19280101 19281231  1091.6
19290101 19291231  1183.2
19300101 19301231  1259.4
19310101 19311231  1100.5
19320101 19321231   619.4
19330101 19331231  1038.8
19340101 19341231  1058.3
19350101 19351231   969.7
19360101 19361231   592.0
19370101 19371231   811.3
19380101 19381231   899.1
19390101 19391231   973.4
19400101 19401231   864.1
19410101 19411231   700.6
19420101 19421231  1189.8
19430101 19431231   894.9
19440101 19441231   643.0
19450101 19451231  1147.0
19460101 19461231   988.1
19470101 19471231  1418.7
19480101 19481231   945.8
19490101 19491231  1186.4
19500101 19501231  1266.9
19510101 19511231   802.0
19520101 19521231   770.6
19530101 19531231   883.0
19540101 19541231  1475.7
19550101 19551231  1080.3
19560101 19561231  1088.5
19570101 19571231   530.1
19580101 19581231   960.6
19590101 19591231  1141.7
19600101 19601231   569.1
19610101 19611231  1276.3
19620101 19621231   960.4
19630101 19631231  1116.6
19640101 19641231   909.1
19650101 19651231   733.1
19660101 19661231   955.2
19670101 19671231  1206.1
19680101 19681231   737.4
19690101 19691231   851.2
19700101 19701231  1109.7
19710101 19711231   843.2
19720101 19721231  1035.3
19730101 19731231   988.5
19740101 19741231  1433.3
19750101 19751231   952.4
19760101 19761231  1058.2
19770101 19771231   620.2
19780101 19781231   944.1
19790101 19791231   839.4
19800101 19801231   831.0
19810101 19811231   947.3
19820101 19821231   751.2
19830101 19831231  1225.7
19840101 19841231   644.4
19850101 19851231   725.0
19860101 19861231   624.1
19870101 19871231 99999.9
19880101 19881231  1250.8
19890101 19891231  1326.8
19900101 19901231  1001.5
19910101 19911231   743.3
19920101 19921231   891.9
19930101 19931231   475.8
19940101 19941231   453.5
19950101 19951231   918.4
19960101 19961231  1162.7
19970101 19971231   807.5
19980101 19981231   714.7
19990101 19991231  1152.7
20000101 20001231   512.4
20010101 20011231   730.0
20020101 20021231   498.9
20030101 20031231   638.2
20040101 20041231  1083.9
20050101 20051231   622.8
20060101 20061231   767.8
20070101 20071231   635.4
20080101 20081231   871.4
20090101 20091231   792.0
20100101 20101231  1175.8
20110101 20111231  1013.6
