PRCP       040043 18700101 20171231 missing_value=99999.9 CAPE MORETON LIGHTHOUSE                   
18700101 18701231  2218.0
18710101 18711231  1541.7
18720101 18721231  1910.8
18730101 18731231  1857.7
18740101 18741231  1434.8
18750101 18751231  1800.1
18760101 18761231  1944.3
18770101 18771231  1394.2
18780101 18781231  1495.2
18790101 18791231  1902.8
18800101 18801231  1071.4
18810101 18811231  1092.2
18820101 18821231  1434.2
18830101 18831231  1171.7
18840101 18841231  2090.5
18850101 18851231   929.8
18860101 18861231  1589.7
18870101 18871231  2115.0
18880101 18881231  1494.8
18890101 18891231  2224.5
18900101 18901231  2462.7
18910101 18911231  1708.3
18920101 18921231  1965.5
18930101 18931231  1879.0
18940101 18941231  1807.1
18950101 18951231  1468.5
18960101 18961231  1422.9
18970101 18971231  1355.8
18980101 18981231  2104.0
18990101 18991231  1598.0
19000101 19001231  1461.7
19010101 19011231  1675.7
19020101 19021231   724.8
19030101 19031231  1430.6
19040101 19041231  1433.8
19050101 19051231  1190.2
19060101 19061231  1393.0
19070101 19071231  1665.2
19080101 19081231  2156.6
19090101 19091231  1569.3
19100101 19101231  1658.9
19110101 19111231  1109.2
19120101 19121231  1325.1
19130101 19131231  1559.6
19140101 19141231  2244.6
19150101 19151231   806.4
19160101 19161231  1444.7
19170101 19171231  1462.6
19180101 19181231  1043.9
19190101 19191231  1235.4
19200101 19201231  1887.8
19210101 19211231  1743.0
19220101 19221231  1092.1
19230101 19231231  1344.8
19240101 19241231  1660.0
19250101 19251231  2127.3
19260101 19261231  1199.0
19270101 19271231  2380.1
19280101 19281231  1460.5
19290101 19291231  1656.0
19300101 19301231  1730.1
19310101 19311231  2371.2
19320101 19321231  1210.2
19330101 19331231  1676.0
19340101 19341231  2172.2
19350101 19351231  1243.7
19360101 19361231  1039.5
19370101 19371231  1731.9
19380101 19381231  1873.1
19390101 19391231  1407.6
19400101 19401231  1223.9
19410101 19411231  1206.0
19420101 19421231  1403.3
19430101 19431231  1469.2
19440101 19441231  1102.2
19450101 19451231  1429.9
19460101 19461231   863.5
19470101 19471231  1509.9
19480101 19481231  1329.4
19490101 19491231  1579.0
19500101 19501231  1798.2
19510101 19511231  1410.5
19520101 19521231  1383.4
19530101 19531231  1175.7
19540101 19541231  2216.6
19550101 19551231  1348.3
19560101 19561231  1734.0
19570101 19571231  1110.0
19580101 19581231  1641.6
19590101 19591231  1963.5
19600101 19601231  1435.3
19610101 19611231  1458.5
19620101 19621231  1702.4
19630101 19631231  2058.1
19640101 19641231  1741.3
19650101 19651231  1677.6
19660101 19661231  1486.0
19670101 19671231  2447.6
19680101 19681231  1083.5
19690101 19691231  1238.8
19700101 19701231  1152.4
19710101 19711231  1434.9
19720101 19721231  1943.2
19730101 19731231  1782.6
19740101 19741231  2289.5
19750101 19751231  1626.5
19760101 19761231  2258.0
19770101 19771231  1175.6
19780101 19781231  1355.6
19790101 19791231  1155.1
19800101 19801231  1297.5
19810101 19811231  1242.7
19820101 19821231  1235.7
19830101 19831231  1601.3
19840101 19841231  1412.2
19850101 19851231  1565.6
19860101 19861231  1119.2
19870101 19871231  1496.4
19880101 19881231  1864.3
19890101 19891231  1594.0
19900101 19901231  1906.4
19910101 19911231  1214.0
19920101 19921231  1577.5
19930101 19931231  1633.0
19940101 19941231  1646.0
19950101 19951231  1580.4
19960101 19961231  1337.3
19970101 19971231   888.2
19980101 19981231   922.6
19990101 19991231  1486.8
20000101 20001231   661.6
20010101 20011231   871.4
20020101 20021231   914.4
20030101 20031231  1126.6
20040101 20041231   842.0
20050101 20051231   993.8
20060101 20061231   692.8
20070101 20071231   659.6
20080101 20081231   937.8
20090101 20091231   771.2
20100101 20101231  1302.4
20110101 20111231   761.8
20120101 20121231  1170.6
20130101 20131231 99999.9
20140101 20141231 99999.9
20150101 20151231  1066.2
20160101 20161231   678.6
20170101 20171231   923.6
