PRCP       040082 18990101 20171231 missing_value=99999.9 UNIVERSITY OF QUEENSLAND GATTON           
18990101 18991231   699.6
19000101 19001231   721.6
19010101 19011231   834.7
19020101 19021231   450.3
19030101 19031231  1006.3
19040101 19041231   587.7
19050101 19051231   714.8
19060101 19061231   960.3
19070101 19071231   659.3
19080101 19081231   786.6
19090101 19091231   728.1
19100101 19101231  1029.3
19110101 19111231   750.0
19120101 19121231   930.5
19130101 19131231   619.2
19140101 19141231   835.2
19150101 19151231   421.7
19160101 19161231   742.6
19170101 19171231   947.9
19180101 19181231   475.4
19190101 19191231   367.5
19200101 19201231   738.6
19210101 19211231   789.6
19220101 19221231   441.0
19230101 19231231   391.8
19240101 19241231   905.1
19250101 19251231   786.8
19260101 19261231   573.2
19270101 19271231   892.3
19280101 19281231   903.2
19290101 19291231   690.9
19300101 19301231   793.5
19310101 19311231   896.6
19320101 19321231   578.7
19330101 19331231   845.9
19340101 19341231   841.3
19350101 19351231   721.4
19360101 19361231   617.9
19370101 19371231   665.8
19380101 19381231   697.9
19390101 19391231   938.1
19400101 19401231   773.1
19410101 19411231   590.2
19420101 19421231  1032.0
19430101 19431231   904.4
19440101 19441231   577.7
19450101 19451231   962.7
19460101 19461231   838.6
19470101 19471231   956.4
19480101 19481231   705.1
19490101 19491231   775.8
19500101 19501231  1241.4
19510101 19511231   655.1
19520101 19521231   741.7
19530101 19531231   678.6
19540101 19541231   988.9
19550101 19551231  1035.6
19560101 19561231  1022.6
19570101 19571231   434.7
19580101 19581231   844.7
19590101 19591231  1110.9
19600101 19601231   593.1
19610101 19611231   781.0
19620101 19621231   810.6
19630101 19631231   903.4
19640101 19641231   919.3
19650101 19651231   633.4
19660101 19661231   749.7
19670101 19671231  1068.1
19680101 19681231   834.4
19690101 19691231   910.0
19700101 19701231   891.7
19710101 19711231   985.3
19720101 19721231   790.3
19730101 19731231   926.9
19740101 19741231  1061.7
19750101 19751231   933.4
19760101 19761231   779.1
19770101 19771231   559.5
19780101 19781231  1021.6
19790101 19791231   693.6
19800101 19801231   489.3
19810101 19811231   923.5
19820101 19821231   835.1
19830101 19831231  1086.6
19840101 19841231   717.5
19850101 19851231   761.8
19860101 19861231   540.6
19870101 19871231   739.4
19880101 19881231  1078.8
19890101 19891231   997.1
19900101 19901231   759.3
19910101 19911231   648.9
19920101 19921231   916.6
19930101 19931231   354.5
19940101 19941231   470.0
19950101 19951231   880.2
19960101 19961231  1043.7
19970101 19971231   619.9
19980101 19981231   693.9
19990101 19991231   939.9
20000101 20001231   426.4
20010101 20011231   641.1
20020101 20021231   455.1
20030101 20031231   578.8
20040101 20041231   652.2
20050101 20051231   613.4
20060101 20061231   576.2
20070101 20071231   531.4
20080101 20081231   990.4
20090101 20091231   650.6
20100101 20101231  1112.4
20110101 20111231  1063.6
20120101 20121231   649.8
20130101 20131231   856.0
20140101 20141231   647.8
20150101 20151231   681.0
20160101 20161231   562.8
20170101 20171231   797.2
