PRCP       040152 19100101 20131231 missing_value=99999.9 MURGON POST OFFICE                        
19100101 19101231   872.0
19110101 19111231   586.1
19120101 19121231   815.6
19130101 19131231   848.2
19140101 19141231   748.8
19150101 19151231   624.6
19160101 19161231   778.1
19170101 19171231   880.5
19180101 19181231   532.2
19190101 19191231   435.3
19200101 19201231   655.9
19210101 19211231   939.4
19220101 19221231   514.2
19230101 19231231   684.9
19240101 19241231  1026.9
19250101 19251231   739.4
19260101 19261231   700.7
19270101 19271231  1081.1
19280101 19281231   926.1
19290101 19291231   914.1
19300101 19301231   889.6
19310101 19311231   883.5
19320101 19321231   625.3
19330101 19331231   993.1
19340101 19341231  1100.4
19350101 19351231   625.6
19360101 19361231   532.6
19370101 19371231   756.7
19380101 19381231   787.7
19390101 19391231   689.3
19400101 19401231   829.2
19410101 19411231   599.7
19420101 19421231  1168.6
19430101 19431231   871.6
19440101 19441231   526.6
19450101 19451231   811.4
19460101 19461231   575.5
19470101 19471231  1281.1
19480101 19481231   870.0
19490101 19491231  1112.2
19500101 19501231  1158.5
19510101 19511231   499.7
19520101 19521231   730.4
19530101 19531231   921.2
19540101 19541231  1255.9
19550101 19551231  1179.5
19560101 19561231  1465.3
19570101 19571231   431.1
19580101 19581231   784.6
19590101 19591231  1086.7
19600101 19601231   616.8
19610101 19611231   768.7
19620101 19621231   879.1
19630101 19631231   685.1
19640101 19641231   726.1
19650101 19651231   693.9
19660101 19661231   723.9
19670101 19671231   850.9
19680101 19681231   890.0
19690101 19691231   641.9
19700101 19701231   991.2
19710101 19711231   863.7
19720101 19721231   679.9
19730101 19731231  1013.6
19740101 19741231   788.2
19750101 19751231   829.7
19760101 19761231   787.0
19770101 19771231   393.3
19780101 19781231  1011.3
19790101 19791231   560.6
19800101 19801231   719.4
19810101 19811231   778.2
19820101 19821231   679.3
19830101 19831231  1126.9
19840101 19841231   787.3
19850101 19851231   687.4
19860101 19861231   772.6
19870101 19871231   676.8
19880101 19881231   717.8
19890101 19891231   890.8
19900101 19901231   695.8
19910101 19911231   587.6
19920101 19921231   846.6
19930101 19931231   523.9
19940101 19941231   555.0
19950101 19951231   867.5
19960101 19961231   791.2
19970101 19971231   574.1
19980101 19981231   979.2
19990101 19991231   797.2
20000101 20001231 99999.9
20010101 20011231   617.9
20020101 20021231   580.0
20030101 20031231   517.2
20040101 20041231   828.9
20050101 20051231   687.9
20060101 20061231   476.7
20070101 20071231   621.0
20080101 20081231   880.7
20090101 20091231   687.1
20100101 20101231  1298.1
20110101 20111231   813.2
20120101 20121231   646.1
20130101 20131231   860.8
