PRCP       040428 18960101 20121231 missing_value=99999.9 BRIAN PASTURES                            
18960101 18961231   783.4
18970101 18971231   934.7
18980101 18981231  1022.2
18990101 18991231   798.6
19000101 19001231   433.8
19010101 19011231   627.1
19020101 19021231   375.7
19030101 19031231   795.6
19040101 19041231   619.3
19050101 19051231   786.9
19060101 19061231   766.4
19070101 19071231   683.8
19080101 19081231   777.1
19090101 19091231   495.8
19100101 19101231   539.3
19110101 19111231   795.6
19120101 19121231   592.2
19130101 19131231  1009.2
19140101 19141231   720.8
19150101 19151231   456.4
19160101 19161231   772.7
19170101 19171231   777.6
19180101 19181231   463.9
19190101 19191231   266.4
19200101 19201231   674.3
19210101 19211231   954.6
19220101 19221231   408.3
19230101 19231231   594.5
19240101 19241231   981.3
19250101 19251231   750.1
19260101 19261231   663.2
19270101 19271231   844.0
19280101 19281231  1020.3
19290101 19291231   761.5
19300101 19301231   810.4
19310101 19311231   918.8
19320101 19321231   351.1
19330101 19331231  1065.8
19340101 19341231   999.2
19350101 19351231   498.2
19360101 19361231   641.1
19370101 19371231   744.3
19380101 19381231   807.7
19390101 19391231   927.1
19400101 19401231   510.0
19410101 19411231   513.6
19420101 19421231  1034.8
19430101 19431231   759.9
19440101 19441231   424.4
19450101 19451231   759.4
19460101 19461231   525.4
19470101 19471231  1174.5
19480101 19481231   723.9
19490101 19491231  1086.7
19500101 19501231  1189.6
19510101 19511231   427.9
19520101 19521231   788.8
19530101 19531231   937.0
19540101 19541231  1199.7
19550101 19551231  1047.5
19560101 19561231  1141.0
19570101 19571231   232.7
19580101 19581231   875.5
19590101 19591231  1006.5
19600101 19601231   575.6
19610101 19611231   729.3
19620101 19621231   629.8
19630101 19631231   418.3
19640101 19641231   743.6
19650101 19651231   495.1
19660101 19661231   880.7
19670101 19671231   681.9
19680101 19681231   904.6
19690101 19691231   477.0
19700101 19701231   853.1
19710101 19711231   946.5
19720101 19721231   851.1
19730101 19731231   944.9
19740101 19741231   646.4
19750101 19751231   666.2
19760101 19761231   962.6
19770101 19771231   494.5
19780101 19781231   822.6
19790101 19791231   634.2
19800101 19801231   594.1
19810101 19811231   826.9
19820101 19821231   512.9
19830101 19831231   853.9
19840101 19841231   744.9
19850101 19851231   773.4
19860101 19861231   700.2
19870101 19871231   653.6
19880101 19881231   628.4
19890101 19891231   644.6
19900101 19901231   626.6
19910101 19911231   597.9
19920101 19921231   835.9
19930101 19931231   625.3
19940101 19941231   580.3
19950101 19951231   660.8
19960101 19961231   759.5
19970101 19971231   555.1
19980101 19981231   826.0
19990101 19991231   620.8
20000101 20001231   576.7
20010101 20011231   695.1
20020101 20021231   604.2
20030101 20031231   642.6
20040101 20041231   758.0
20050101 20051231   629.2
20060101 20061231   327.8
20070101 20071231   653.4
20080101 20081231   631.5
20090101 20091231   788.0
20100101 20101231  1338.1
20110101 20111231   856.1
20120101 20121231   488.0
