PRCP       041013 19030101 20171231 missing_value=99999.9 CANNING DOWNS                             
19030101 19031231   930.9
19040101 19041231   673.6
19050101 19051231   663.4
19060101 19061231   746.5
19070101 19071231   606.7
19080101 19081231   711.0
19090101 19091231   599.4
19100101 19101231   652.8
19110101 19111231   527.9
19120101 19121231   722.0
19130101 19131231   629.8
19140101 19141231   586.8
19150101 19151231   433.6
19160101 19161231   757.3
19170101 19171231   730.1
19180101 19181231   417.6
19190101 19191231   426.0
19200101 19201231   775.1
19210101 19211231   796.6
19220101 19221231   492.9
19230101 19231231   410.4
19240101 19241231   858.6
19250101 19251231   556.4
19260101 19261231   440.9
19270101 19271231   604.5
19280101 19281231   698.8
19290101 19291231   689.3
19300101 19301231   528.2
19310101 19311231   634.2
19320101 19321231   631.2
19330101 19331231   649.7
19340101 19341231   634.8
19350101 19351231   481.3
19360101 19361231   501.3
19370101 19371231   641.2
19380101 19381231   679.9
19390101 19391231   789.6
19400101 19401231   637.4
19410101 19411231   455.5
19420101 19421231  1002.9
19430101 19431231   814.2
19440101 19441231   703.7
19450101 19451231   678.2
19460101 19461231   727.7
19470101 19471231   859.7
19480101 19481231   662.5
19490101 19491231   864.0
19500101 19501231   901.1
19510101 19511231   556.3
19520101 19521231   823.2
19530101 19531231   562.7
19540101 19541231   722.6
19550101 19551231   787.0
19560101 19561231   993.8
19570101 19571231   407.5
19580101 19581231   639.3
19590101 19591231   926.5
19600101 19601231   619.2
19610101 19611231   717.1
19620101 19621231   851.2
19630101 19631231   703.7
19640101 19641231   710.2
19650101 19651231   689.2
19660101 19661231   691.4
19670101 19671231   669.9
19680101 19681231   753.8
19690101 19691231   525.3
19700101 19701231   813.1
19710101 19711231   735.5
19720101 19721231   656.8
19730101 19731231   818.5
19740101 19741231   746.0
19750101 19751231  1068.1
19760101 19761231   897.0
19770101 19771231   588.6
19780101 19781231   774.9
19790101 19791231   521.2
19800101 19801231   539.2
19810101 19811231   657.6
19820101 19821231   552.0
19830101 19831231   978.2
19840101 19841231   620.4
19850101 19851231   599.6
19860101 19861231   596.6
19870101 19871231   712.6
19880101 19881231   928.7
19890101 19891231   830.0
19900101 19901231   586.4
19910101 19911231   560.4
19920101 19921231   734.6
19930101 19931231   431.2
19940101 19941231   466.0
19950101 19951231   779.6
19960101 19961231   773.9
19970101 19971231   665.4
19980101 19981231   810.3
19990101 19991231   899.8
20000101 20001231   410.2
20010101 20011231   622.2
20020101 20021231   406.8
20030101 20031231   582.4
20040101 20041231   629.0
20050101 20051231   601.8
20060101 20061231   581.3
20070101 20071231   547.0
20080101 20081231   714.0
20090101 20091231   448.8
20100101 20101231   987.5
20110101 20111231   861.0
20120101 20121231   478.7
20130101 20131231   666.5
20140101 20141231   551.4
20150101 20151231   641.2
20160101 20161231   709.9
20170101 20171231   589.3
