PRCP       041024 19060101 20171231 missing_value=99999.9 DOCTORS CREEK                             
19060101 19061231   933.4
19070101 19071231   706.9
19080101 19081231   815.2
19090101 19091231   801.0
19100101 19101231   855.4
19110101 19111231   521.2
19120101 19121231   866.8
19130101 19131231   531.1
19140101 19141231   542.8
19150101 19151231   424.3
19160101 19161231   860.2
19170101 19171231  1039.0
19180101 19181231   403.4
19190101 19191231   416.2
19200101 19201231   906.3
19210101 19211231   836.4
19220101 19221231   604.2
19230101 19231231   490.8
19240101 19241231   777.8
19250101 19251231   783.5
19260101 19261231   576.0
19270101 19271231   875.3
19280101 19281231   784.6
19290101 19291231   759.2
19300101 19301231   687.7
19310101 19311231   928.9
19320101 19321231   659.4
19330101 19331231   809.1
19340101 19341231   883.4
19350101 19351231   667.7
19360101 19361231   552.3
19370101 19371231   627.9
19380101 19381231   787.1
19390101 19391231   680.5
19400101 19401231   715.1
19410101 19411231   550.7
19420101 19421231   957.6
19430101 19431231   822.5
19440101 19441231   642.9
19450101 19451231   855.7
19460101 19461231   564.8
19470101 19471231   931.3
19480101 19481231   626.6
19490101 19491231   637.2
19500101 19501231  1154.8
19510101 19511231   462.3
19520101 19521231   726.5
19530101 19531231   514.3
19540101 19541231   958.0
19550101 19551231  1012.9
19560101 19561231  1077.9
19570101 19571231   393.3
19580101 19581231   745.9
19590101 19591231  1009.0
19600101 19601231   614.6
19610101 19611231   708.8
19620101 19621231   576.4
19630101 19631231   780.5
19640101 19641231   765.9
19650101 19651231   688.8
19660101 19661231   920.4
19670101 19671231   612.8
19680101 19681231   627.7
19690101 19691231   653.1
19700101 19701231   718.1
19710101 19711231   829.1
19720101 19721231   765.4
19730101 19731231   687.5
19740101 19741231   874.8
19750101 19751231   807.2
19760101 19761231   939.4
19770101 19771231   414.8
19780101 19781231   949.9
19790101 19791231   664.4
19800101 19801231   729.8
19810101 19811231  1085.1
19820101 19821231   773.6
19830101 19831231  1092.3
19840101 19841231   774.0
19850101 19851231   720.6
19860101 19861231   653.6
19870101 19871231   683.0
19880101 19881231   834.4
19890101 19891231   813.4
19900101 19901231   559.6
19910101 19911231   551.2
19920101 19921231   641.6
19930101 19931231   433.8
19940101 19941231   469.8
19950101 19951231   935.0
19960101 19961231   858.4
19970101 19971231   631.0
19980101 19981231   742.8
19990101 19991231   749.2
20000101 20001231   473.8
20010101 20011231   633.4
20020101 20021231   511.0
20030101 20031231   501.4
20040101 20041231   633.8
20050101 20051231   680.8
20060101 20061231   489.6
20070101 20071231   518.4
20080101 20081231   661.0
20090101 20091231   613.8
20100101 20101231  1056.6
20110101 20111231   933.6
20120101 20121231   644.0
20130101 20131231   867.6
20140101 20141231   562.2
20150101 20151231   810.2
20160101 20161231   621.2
20170101 20171231   610.2
